old_field_name,old_full_name,semantic_field_name,field_type,pages_0_indexed,rect_first_occurrence
f1_01[0],topmostSubform[0].Page1[0].f1_01[0],other_tax_year_begin_date,text,0,"[228.8, 720.5, 316.8, 731.499]"
f1_02[0],topmostSubform[0].Page1[0].f1_02[0],other_tax_year_end_date,text,0,"[365.6, 720.5, 453.6, 731.499]"
f1_03[0],topmostSubform[0].Page1[0].f1_03[0],name_shown_on_return,text,0,"[468.6, 720.5, 485.6, 731.499]"
c1_1[0],topmostSubform[0].Page1[0].c1_1[0],filed_pursuant_to_section_301_9100_2_q1,checkbox,0,"[36.0, 710.001, 44.0, 718.001]"
c1_2[0],topmostSubform[0].Page1[0].c1_2[0],filed_pursuant_to_section_301_9100_2_q2,checkbox,0,"[155.2, 710.001, 163.2, 718.001]"
f1_04[0],topmostSubform[0].Page1[0].f1_04[0],filed_pursuant_to_section_301_9100_2_q3,text,0,"[209.8, 708.001, 370.8, 720.0]"
c1_3[0],topmostSubform[0].Page1[0].c1_3[0],filed_pursuant_to_section_301_9100_2_q4,checkbox,0,"[374.8, 710.001, 382.8, 718.001]"
f1_05[0],topmostSubform[0].Page1[0].f1_05[0],top_deceased_you_mm,text,0,"[417.6, 708.001, 432.0, 720.0]"
f1_06[0],topmostSubform[0].Page1[0].f1_06[0],top_deceased_you_dd,text,0,"[439.2, 708.001, 453.6, 720.0]"
f1_07[0],topmostSubform[0].Page1[0].f1_07[0],top_deceased_you_yyyy,text,0,"[460.8, 708.001, 482.4, 720.0]"
f1_08[0],topmostSubform[0].Page1[0].f1_08[0],top_deceased_spouse_mm,text,0,"[511.2, 708.001, 525.6, 720.0]"
f1_09[0],topmostSubform[0].Page1[0].f1_09[0],top_deceased_spouse_dd,text,0,"[532.8, 708.001, 547.2, 720.0]"
f1_10[0],topmostSubform[0].Page1[0].f1_10[0],top_deceased_spouse_yyyy,text,0,"[554.4, 708.001, 576.0, 720.0]"
c1_4[0],topmostSubform[0].Page1[0].c1_4[0],other_q1,checkbox,0,"[36.0, 698.002, 44.0, 706.002]"
f1_11[0],topmostSubform[0].Page1[0].f1_11[0],other_q2,text,0,"[65.8, 696.002, 236.6, 708.001]"
f1_12[0],topmostSubform[0].Page1[0].f1_12[0],other_q3,text,0,"[238.6, 696.002, 409.4, 708.001]"
f1_13[0],topmostSubform[0].Page1[0].f1_13[0],other_q4,text,0,"[411.4, 696.002, 576.0, 708.001]"
f1_14[0],topmostSubform[0].Page1[0].f1_14[0],f1_14_0,text,0,"[36.0, 666.0, 244.05, 677.999]"
f1_15[0],topmostSubform[0].Page1[0].f1_15[0],f1_15_0,text,0,"[245.8, 666.0, 467.25, 677.999]"
f1_16[0],topmostSubform[0].Page1[0].f1_16[0],f1_16_0,text,0,"[469.0, 666.0, 576.0, 677.999]"
f1_17[0],topmostSubform[0].Page1[0].f1_17[0],f1_17_0,text,0,"[36.0, 641.999, 524.85, 654.0]"
f1_18[0],topmostSubform[0].Page1[0].f1_18[0],f1_18_0,text,0,"[526.6, 641.999, 576.0, 654.0]"
f1_19[0],topmostSubform[0].Page1[0].f1_19[0],f1_19_0,text,0,"[36.0, 617.998, 431.25, 629.999]"
f1_20[0],topmostSubform[0].Page1[0].f1_20[0],f1_20_0,text,0,"[433.0, 617.998, 496.05, 629.999]"
f1_21[0],topmostSubform[0].Page1[0].f1_21[0],f1_21_0,text,0,"[497.8, 617.998, 576.0, 629.999]"
f1_22[0],topmostSubform[0].Page1[0].f1_22[0],f1_22_0,text,0,"[36.0, 594.0, 244.05, 606.001]"
f1_23[0],topmostSubform[0].Page1[0].f1_23[0],f1_23_0,text,0,"[245.8, 594.0, 431.25, 606.001]"
f1_24[0],topmostSubform[0].Page1[0].f1_24[0],f1_24_0,text,0,"[433.0, 594.0, 576.0, 606.001]"
c1_5[0],topmostSubform[0].Page1[0].c1_5[0],filing_status_single_col_a,checkbox,0,"[102.799, 584.001, 110.799, 592.001]"
c1_5[1],topmostSubform[0].Page1[0].c1_5[1],filing_status_single_col_b,checkbox,0,"[160.399, 584.001, 168.399, 592.001]"
c1_5[2],topmostSubform[0].Page1[0].c1_5[2],married_filing_separately_mfs,checkbox,0,"[304.399, 584.001, 312.399, 592.001]"
c1_5[3],topmostSubform[0].Page1[0].c1_5[3],qualifying_surviving_spouse_qss,checkbox,0,"[462.799, 584.001, 470.799, 592.001]"
c1_5[4],topmostSubform[0].Page1[0].c1_5[4],estate,checkbox,0,"[527.599, 584.001, 535.599, 592.001]"
f1_25[0],topmostSubform[0].Page1[0].f1_25[0],the_qualifying_person_is_a_child_but,text,0,"[302.4, 558.0, 574.0, 569.999]"
c1_6[0],topmostSubform[0].Page1[0].c1_6[0],exchange_or_otherwise_dispose_of_a_digital_col_a,checkbox,0,"[513.2, 531.001, 521.2, 539.001]"
c1_6[1],topmostSubform[0].Page1[0].c1_6[1],exchange_or_otherwise_dispose_of_a_digital_col_b,checkbox,0,"[547.2, 531.001, 555.2, 539.001]"
c1_7[0],topmostSubform[0].Page1[0].Dependents_ReadOrder[0].c1_7[0],dependents_more_than_four_1,checkbox,0,"[79.699, 440.251, 87.699, 448.251]"
f1_26[0],topmostSubform[0].Page1[0].Table_Dependents[0].Row1[0].f1_26[0],dependent1_name,text,0,"[145.0, 504.003, 251.25, 516.002]"
f1_27[0],topmostSubform[0].Page1[0].Table_Dependents[0].Row1[0].f1_27[0],dependent2_name,text,0,"[253.0, 504.003, 359.25, 516.002]"
f1_28[0],topmostSubform[0].Page1[0].Table_Dependents[0].Row1[0].f1_28[0],dependent3_name,text,0,"[361.0, 504.003, 467.25, 516.002]"
f1_29[0],topmostSubform[0].Page1[0].Table_Dependents[0].Row1[0].f1_29[0],dependent4_name,text,0,"[469.0, 504.003, 576.0, 516.002]"
f1_30[0],topmostSubform[0].Page1[0].Table_Dependents[0].Row2[0].f1_30[0],dependent1_last_name,text,0,"[145.0, 492.004, 251.25, 504.003]"
f1_31[0],topmostSubform[0].Page1[0].Table_Dependents[0].Row2[0].f1_31[0],dependent2_last_name,text,0,"[253.0, 492.004, 359.25, 504.003]"
f1_32[0],topmostSubform[0].Page1[0].Table_Dependents[0].Row2[0].f1_32[0],dependent3_last_name,text,0,"[361.0, 492.004, 467.25, 504.003]"
f1_33[0],topmostSubform[0].Page1[0].Table_Dependents[0].Row2[0].f1_33[0],dependent4_last_name,text,0,"[469.0, 492.004, 576.0, 504.003]"
f1_34[0],topmostSubform[0].Page1[0].Table_Dependents[0].Row3[0].f1_34[0],dependent1_ssn,text,0,"[145.0, 474.004, 251.25, 486.004]"
f1_35[0],topmostSubform[0].Page1[0].Table_Dependents[0].Row3[0].f1_35[0],dependent2_ssn,text,0,"[253.0, 474.004, 359.25, 486.004]"
f1_36[0],topmostSubform[0].Page1[0].Table_Dependents[0].Row3[0].f1_36[0],dependent3_ssn,text,0,"[361.0, 474.004, 467.25, 486.004]"
f1_37[0],topmostSubform[0].Page1[0].Table_Dependents[0].Row3[0].f1_37[0],dependent4_ssn,text,0,"[469.0, 474.004, 576.0, 486.004]"
f1_38[0],topmostSubform[0].Page1[0].Table_Dependents[0].Row4[0].f1_38[0],dependent1_relationship,text,0,"[145.0, 462.005, 251.25, 474.004]"
f1_39[0],topmostSubform[0].Page1[0].Table_Dependents[0].Row4[0].f1_39[0],dependent2_relationship,text,0,"[253.0, 462.005, 359.25, 474.004]"
f1_40[0],topmostSubform[0].Page1[0].Table_Dependents[0].Row4[0].f1_40[0],dependent3_relationship,text,0,"[361.0, 462.005, 467.25, 474.004]"
f1_41[0],topmostSubform[0].Page1[0].Table_Dependents[0].Row4[0].f1_41[0],dependent4_relationship,text,0,"[469.0, 462.005, 576.0, 474.004]"
c1_8[0],topmostSubform[0].Page1[0].Table_Dependents[0].Row5[0].c1_8[0],here_you_more,checkbox,0,"[187.4, 437.005, 195.4, 445.005]"
c1_9[0],topmostSubform[0].Page1[0].Table_Dependents[0].Row5[0].c1_9[0],yes_col_a,checkbox,0,"[295.4, 437.005, 303.4, 445.005]"
c1_10[0],topmostSubform[0].Page1[0].Table_Dependents[0].Row5[0].c1_10[0],yes_col_b,checkbox,0,"[403.4, 437.005, 411.4, 445.005]"
c1_11[0],topmostSubform[0].Page1[0].Table_Dependents[0].Row5[0].c1_11[0],yes_col_c,checkbox,0,"[511.4, 437.005, 519.4, 445.005]"
c1_12[0],topmostSubform[0].Page1[0].Table_Dependents[0].Row6[0].Dependent1[0].c1_12[0],dependent1_born_before_2025_yes,checkbox,0,"[148.0, 410.004, 156.0, 418.004]"
c1_12[1],topmostSubform[0].Page1[0].Table_Dependents[0].Row6[0].Dependent1[0].c1_12[1],dependent1_born_before_2025_no,checkbox,0,"[198.4, 410.004, 206.4, 418.004]"
c1_13[0],topmostSubform[0].Page1[0].Table_Dependents[0].Row6[0].Dependent2[0].c1_13[0],dependent2_born_before_2025_yes,checkbox,0,"[256.0, 410.004, 264.0, 418.004]"
c1_13[1],topmostSubform[0].Page1[0].Table_Dependents[0].Row6[0].Dependent2[0].c1_13[1],dependent2_born_before_2025_no,checkbox,0,"[306.4, 410.004, 314.4, 418.004]"
