page,old_full_name,new_full_name,new_leaf_name,tooltip_label,type,rect
1,form1[0].Page1[0].f1_01[0],form1[0].Page1[0].taxpayer_name,taxpayer_name,Taxpayer Name,Text,"(36, 684, 445.65, 698.001)"
1,form1[0].Page1[0].f1_02[0],form1[0].Page1[0].taxpayer_ssn,taxpayer_ssn,Taxpayer Ssn,Text,"(447.4, 684, 576, 698.001)"
1,form1[0].Page1[0].f1_03[0],form1[0].Page1[0].line1_modified_adjusted_gross_income_from_form1040_line11b,line1_modified_adjusted_gross_income_from_form1040_line11b,Line1 Modified Adjusted Gross Income From Form1040 Line11b,Text,"(504, 660.002, 576, 672.001)"
1,form1[0].Page1[0].f1_04[0],form1[0].Page1[0].line2a_excluded_puerto_rico_income,line2a_excluded_puerto_rico_income,Line2a Excluded Puerto Rico Income,Text,"(410.4, 648, 481.65, 659.999)"
1,form1[0].Page1[0].f1_05[0],form1[0].Page1[0].line2b_form2555_line45_foreign_earned_income_exclusion,line2b_form2555_line45_foreign_earned_income_exclusion,Line2b Form2555 Line45 Foreign Earned Income Exclusion,Text,"(410.4, 636.001, 481.65, 648)"
1,form1[0].Page1[0].f1_06[0],form1[0].Page1[0].line2c_form2555_line50_housing_exclusion_or_deduction,line2c_form2555_line50_housing_exclusion_or_deduction,Line2c Form2555 Line50 Housing Exclusion Or Deduction,Text,"(410.4, 624.002, 481.65, 636.001)"
1,form1[0].Page1[0].f1_07[0],form1[0].Page1[0].line2d_form4563_line15_american_samoa_exclusion,line2d_form4563_line15_american_samoa_exclusion,Line2d Form4563 Line15 American Samoa Exclusion,Text,"(410.4, 612, 481.65, 623.999)"
1,form1[0].Page1[0].f1_08[0],form1[0].Page1[0].line2e_sum_of_excluded_income_lines_2a_through_2d,line2e_sum_of_excluded_income_lines_2a_through_2d,Line2e Sum Of Excluded Income Lines 2a Through 2d,Text,"(504, 600.001, 576, 612)"
1,form1[0].Page1[0].f1_09[0],form1[0].Page1[0].line3_modified_adjusted_gross_income_total,line3_modified_adjusted_gross_income_total,Line3 Modified Adjusted Gross Income Total,Text,"(504, 588.002, 576, 600.001)"
1,form1[0].Page1[0].f1_10[0],form1[0].Page1[0].line4a_qualified_tips_from_w2_box7,line4a_qualified_tips_from_w2_box7,Line4a Qualified Tips From W2 Box7,Text,"(410.4, 456.001, 481.65, 468)"
1,form1[0].Page1[0].f1_11[0],form1[0].Page1[0].line4b_tips_from_multiple_employers_worksheet,line4b_tips_from_multiple_employers_worksheet,Line4b Tips From Multiple Employers Worksheet,Text,"(410.4, 432, 481.65, 443.999)"
1,form1[0].Page1[0].f1_12[0],form1[0].Page1[0].line4c_total_qualified_tips_received_as_employee,line4c_total_qualified_tips_received_as_employee,Line4c Total Qualified Tips Received As Employee,Text,"(504, 396, 576, 407.999)"
1,form1[0].Page1[0].f1_13[0],form1[0].Page1[0].line5_tips_received_in_trade_or_business,line5_tips_received_in_trade_or_business,Line5 Tips Received In Trade Or Business,Text,"(504, 348.001, 576, 360)"
1,form1[0].Page1[0].f1_14[0],form1[0].Page1[0].line6_total_qualified_tips,line6_total_qualified_tips,Line6 Total Qualified Tips,Text,"(504, 336.002, 576, 348.001)"
1,form1[0].Page1[0].f1_15[0],form1[0].Page1[0].line7_smaller_of_line6_or_25000_cap,line7_smaller_of_line6_or_25000_cap,Line7 Smaller Of Line6 Or 25000 Cap,Text,"(504, 324, 576, 335.999)"
1,form1[0].Page1[0].f1_16[0],form1[0].Page1[0].line8_modified_adjusted_gross_income,line8_modified_adjusted_gross_income,Line8 Modified Adjusted Gross Income,Text,"(504, 312.001, 576, 324)"
1,form1[0].Page1[0].f1_17[0],form1[0].Page1[0].line9_tips_phaseout_threshold_150000_or_300000_mfj,line9_tips_phaseout_threshold_150000_or_300000_mfj,Line9 Tips Phaseout Threshold 150000 Or 300000 Mfj,Text,"(504, 300.002, 576, 312.001)"
1,form1[0].Page1[0].f1_18[0],form1[0].Page1[0].line10_excess_magi_over_tips_threshold,line10_excess_magi_over_tips_threshold,Line10 Excess Magi Over Tips Threshold,Text,"(504, 288, 576, 299.999)"
1,form1[0].Page1[0].f1_19[0],form1[0].Page1[0].line11_tips_phaseout_whole_thousands,line11_tips_phaseout_whole_thousands,Line11 Tips Phaseout Whole Thousands,Text,"(504, 264.002, 576, 276.001)"
1,form1[0].Page1[0].f1_20[0],form1[0].Page1[0].line12_tips_phaseout_reduction,line12_tips_phaseout_reduction,Line12 Tips Phaseout Reduction,Text,"(504, 252, 576, 263.999)"
1,form1[0].Page1[0].f1_21[0],form1[0].Page1[0].line13_no_tax_on_tips_deduction,line13_no_tax_on_tips_deduction,Line13 No Tax On Tips Deduction,Text,"(504, 240.001, 576, 252)"
1,form1[0].Page1[0].f1_22[0],form1[0].Page1[0].line14a_qualified_overtime_from_w2_box1,line14a_qualified_overtime_from_w2_box1,Line14a Qualified Overtime From W2 Box1,Text,"(410.4, 168.001, 481.65, 180)"
1,form1[0].Page1[0].f1_23[0],form1[0].Page1[0].line14b_qualified_overtime_from_1099,line14b_qualified_overtime_from_1099,Line14b Qualified Overtime From 1099,Text,"(410.4, 144, 481.65, 155.999)"
1,form1[0].Page1[0].f1_24[0],form1[0].Page1[0].line14c_total_qualified_overtime_compensation,line14c_total_qualified_overtime_compensation,Line14c Total Qualified Overtime Compensation,Text,"(504, 132.001, 576, 144)"
1,form1[0].Page1[0].f1_25[0],form1[0].Page1[0].line15_smaller_of_line14c_or_overtime_cap,line15_smaller_of_line14c_or_overtime_cap,Line15 Smaller Of Line14c Or Overtime Cap,Text,"(504, 120.002, 576, 132.001)"
1,form1[0].Page1[0].f1_26[0],form1[0].Page1[0].line16_modified_adjusted_gross_income,line16_modified_adjusted_gross_income,Line16 Modified Adjusted Gross Income,Text,"(504, 108, 576, 119.999)"
1,form1[0].Page1[0].f1_27[0],form1[0].Page1[0].line17_overtime_phaseout_threshold_150000_or_300000_mfj,line17_overtime_phaseout_threshold_150000_or_300000_mfj,Line17 Overtime Phaseout Threshold 150000 Or 300000 Mfj,Text,"(504, 96.001, 576, 108)"
1,form1[0].Page1[0].f1_28[0],form1[0].Page1[0].line18_excess_magi_over_overtime_threshold,line18_excess_magi_over_overtime_threshold,Line18 Excess Magi Over Overtime Threshold,Text,"(504, 84.002, 576, 96.001)"
1,form1[0].Page1[0].f1_29[0],form1[0].Page1[0].line19_overtime_phaseout_whole_thousands,line19_overtime_phaseout_whole_thousands,Line19 Overtime Phaseout Whole Thousands,Text,"(504, 60.001, 576, 72)"
1,form1[0].Page1[0].f1_30[0],form1[0].Page1[0].line20_overtime_phaseout_reduction,line20_overtime_phaseout_reduction,Line20 Overtime Phaseout Reduction,Text,"(504, 48.002, 576, 60.001)"
1,form1[0].Page1[0].f1_31[0],form1[0].Page1[0].line21_no_tax_on_overtime_deduction,line21_no_tax_on_overtime_deduction,Line21 No Tax On Overtime Deduction,Text,"(504, 36, 576, 47.999)"
2,form1[0].Page2[0].Table_Line22[0].Line22a[0].VIN-1_Comb[0].f2_01[0],form1[0].Page2[0].Table_Line22[0].Line22a[0].VIN-1_Comb[0].line22a_vehicle1_vin,line22a_vehicle1_vin,Line22a Vehicle1 Vin,Text,"(108, 620.998, 380.001, 632.998)"
2,form1[0].Page2[0].Table_Line22[0].Line22a[0].f2_02[0],form1[0].Page2[0].Table_Line22[0].Line22a[0].line22a_vehicle1_lender_name,line22a_vehicle1_lender_name,Line22a Vehicle1 Lender Name,Text,"(432, 617.998, 503.25, 629.998)"
2,form1[0].Page2[0].Table_Line22[0].Line22a[0].f2_03[0],form1[0].Page2[0].Table_Line22[0].Line22a[0].line22a_vehicle1_qualified_interest_amount,line22a_vehicle1_qualified_interest_amount,Line22a Vehicle1 Qualified Interest Amount,Text,"(504, 617.998, 576, 629.998)"
2,form1[0].Page2[0].Table_Line22[0].Line22b[0].VIN-2_Comb[0].f2_04[0],form1[0].Page2[0].Table_Line22[0].Line22b[0].VIN-2_Comb[0].line22b_vehicle2_vin,line22b_vehicle2_vin,Line22b Vehicle2 Vin,Text,"(108, 602.998, 380.001, 614.998)"
2,form1[0].Page2[0].Table_Line22[0].Line22b[0].f2_05[0],form1[0].Page2[0].Table_Line22[0].Line22b[0].line22b_vehicle2_lender_name,line22b_vehicle2_lender_name,Line22b Vehicle2 Lender Name,Text,"(432, 599.998, 503.25, 611.998)"
2,form1[0].Page2[0].Table_Line22[0].Line22b[0].f2_06[0],form1[0].Page2[0].Table_Line22[0].Line22b[0].line22b_vehicle2_qualified_interest_amount,line22b_vehicle2_qualified_interest_amount,Line22b Vehicle2 Qualified Interest Amount,Text,"(504, 599.998, 576, 611.998)"
2,form1[0].Page2[0].f2_07[0],form1[0].Page2[0].line23_total_qualified_passenger_vehicle_loan_interest,line23_total_qualified_passenger_vehicle_loan_interest,Line23 Total Qualified Passenger Vehicle Loan Interest,Text,"(504, 588.002, 576, 600.001)"
2,form1[0].Page2[0].f2_08[0],form1[0].Page2[0].line24_smaller_of_line23_or_10000_cap,line24_smaller_of_line23_or_10000_cap,Line24 Smaller Of Line23 Or 10000 Cap,Text,"(504, 576, 576, 587.999)"
2,form1[0].Page2[0].f2_09[0],form1[0].Page2[0].line25_modified_adjusted_gross_income,line25_modified_adjusted_gross_income,Line25 Modified Adjusted Gross Income,Text,"(504, 564.001, 576, 576)"
2,form1[0].Page2[0].f2_10[0],form1[0].Page2[0].line26_car_loan_interest_phaseout_threshold_100000_or_200000_mfj,line26_car_loan_interest_phaseout_threshold_100000_or_200000_mfj,Line26 Car Loan Interest Phaseout Threshold 100000 Or 200000 Mfj,Text,"(504, 552.002, 576, 564.001)"
2,form1[0].Page2[0].f2_11[0],form1[0].Page2[0].line27_excess_magi_over_car_loan_interest_threshold,line27_excess_magi_over_car_loan_interest_threshold,Line27 Excess Magi Over Car Loan Interest Threshold,Text,"(504, 540, 576, 551.999)"
2,form1[0].Page2[0].f2_12[0],form1[0].Page2[0].line28_car_loan_interest_phaseout_whole_thousands_round_up,line28_car_loan_interest_phaseout_whole_thousands_round_up,Line28 Car Loan Interest Phaseout Whole Thousands Round Up,Text,"(504, 516.002, 576, 528.001)"
2,form1[0].Page2[0].f2_13[0],form1[0].Page2[0].line29_car_loan_interest_phaseout_reduction,line29_car_loan_interest_phaseout_reduction,Line29 Car Loan Interest Phaseout Reduction,Text,"(504, 504, 576, 515.999)"
2,form1[0].Page2[0].f2_14[0],form1[0].Page2[0].line30_no_tax_on_car_loan_interest_deduction,line30_no_tax_on_car_loan_interest_deduction,Line30 No Tax On Car Loan Interest Deduction,Text,"(504, 480.002, 576, 492.001)"
