old_name,new_name,tooltip,page_index,rect_llx,rect_lly,rect_urx,rect_ury
f1_01[0],taxpayer_name,taxpayer_name,0,36,684,445.65,698.001
f1_02[0],taxpayer_ssn,taxpayer_ssn,0,447.4,684,576,698.001
f1_03[0],line1a_excess_aptc_repayment,line1a_excess_aptc_repayment,0,410.4,636.001,481.65,648
f1_04[0],line1b_repay_new_clean_vehicle_credit,line1b_repay_new_clean_vehicle_credit,0,410.4,594,481.65,605.999
f1_05[0],line1c_repay_preowned_clean_vehicle_credit,line1c_repay_preowned_clean_vehicle_credit,0,410.4,552.002,481.65,564.001
f1_06[0],line1d_recapture_net_epe_form4255_line2a_col_l,line1d_recapture_net_epe_form4255_line2a_col_l,0,410.4,534.002,481.65,546.001
c1_1[0],line1e_checkbox_line1a_col_n,line1e_checkbox_line1a_col_n,0,86.4,494.001,94.4,502.001
c1_1[1],line1e_checkbox_line1c_col_n,line1e_checkbox_line1c_col_n,0,201.6,494.001,209.6,502.001
c1_1[2],line1e_checkbox_line1d_col_n,line1e_checkbox_line1d_col_n,0,86.4,482.002,94.4,490.002
c1_1[3],line1e_checkbox_line2a_col_n,line1e_checkbox_line2a_col_n,0,201.6,482.002,209.6,490.002
f1_07[0],line1e_excessive_payments_form4255,line1e_excessive_payments_form4255,0,410.4,480.002,481.65,492.001
c1_2[0],line1f_checkbox_line1a_col_o,line1f_checkbox_line1a_col_o,0,86.4,440.001,94.4,448.001
c1_2[1],line1f_checkbox_line1c_col_o,line1f_checkbox_line1c_col_o,0,201.6,440.001,209.6,448.001
c1_2[2],line1f_checkbox_line1d_col_o,line1f_checkbox_line1d_col_o,0,86.4,428.002,94.4,436.002
c1_2[3],line1f_checkbox_line2a_col_o,line1f_checkbox_line2a_col_o,0,201.6,428.002,209.6,436.002
f1_08[0],line1f_20pct_ep_form4255,line1f_20pct_ep_form4255,0,410.4,426.002,481.65,438.001
f1_09[0],line1y_other_additions_description,line1y_other_additions_description,0,230.4,407.999,381.6,419.999
f1_10[0],line1y_other_additions_amount,line1y_other_additions_amount,0,410.4,408.002,481.65,420.001
f1_15[0],line1z_total_additions,line1z_total_additions,0,504,312.001,576,324
f1_16[0],line2_alternative_minimum_tax,line2_alternative_minimum_tax,0,410.4,294.001,481.65,306
f1_11[0],line3_partI_tax_total,line3_partI_tax_total,0,504,390.002,576,402.001
c1_4[0],line4_checkbox_4361,line4_checkbox_4361,0,158.4,314.001,166.4,322.001
c1_5[0],line4_checkbox_4029,line4_checkbox_4029,0,237.6,314.001,245.6,322.001
c1_6[0],line4_checkbox_other_exemption,line4_checkbox_other_exemption,0,466.8,230.002,474.8,238.002
f1_12[0],line4_self_employment_tax,line4_self_employment_tax,0,504,372.002,576,384.001
f1_14[0],line4_self_employment_exemption_desc,line4_self_employment_exemption_desc,0,252,312,324,324
f1_13[0],line5_unreported_tip_tax,line5_unreported_tip_tax,0,504,354.002,576,366.001
f1_14[0],line6_uncollected_ss_medicare_wages,line6_uncollected_ss_medicare_wages,0,252,312.001,324,324
f1_17[0],line7_total_additional_ss_medicare_tax,line7_total_additional_ss_medicare_tax,0,410.4,276.001,481.65,288
f1_18[0],line8_additional_tax_iras_other_accounts,line8_additional_tax_iras_other_accounts,0,504,258.001,576,270
c1_3[0],line8_checkbox_form5329_not_required,line8_checkbox_form5329_not_required,0,79.2,314.001,87.2,322.001
f1_19[0],line9_household_employment_taxes,line9_household_employment_taxes,0,504,228.002,576,240.001
f1_20[0],line10_repay_first_time_homebuyer_credit,line10_repay_first_time_homebuyer_credit,0,504,210.002,576,222.001
f1_21[0],line11_additional_medicare_tax,line11_additional_medicare_tax,0,504,192.002,576,210.002
f1_22[0],line12_net_investment_income_tax,line12_net_investment_income_tax,0,504,174.002,576,186.001
f1_23[0],line13_uncollected_ss_medicare_rrta_tips_gtl,line13_uncollected_ss_medicare_rrta_tips_gtl,0,504,156.002,576,168.001
f1_24[0],line14_interest_installment_lots_timeshares,line14_interest_installment_lots_timeshares,0,504,126.003,576,138.002
f1_25[0],line15_interest_deferred_tax_installment_sales_over150k,line15_interest_deferred_tax_installment_sales_over150k,0,504,108.003,576,120.002
f1_26[0],line16_recapture_low_income_housing_credit,line16_recapture_low_income_housing_credit,0,504,90.003,576,102.002
f2_01[0],line17a_recapture_other_credits_description,line17a_recapture_other_credits_description,1,64.8,684,381.6,695.999
f2_02[0],line17a_recapture_other_credits_amount,line17a_recapture_other_credits_amount,1,410.4,684,481.65,695.999
f2_03[0],line17b_recapture_federal_mortgage_subsidy,line17b_recapture_federal_mortgage_subsidy,1,410.4,666,481.65,677.999
f2_04[0],line17c_additional_tax_hsa_distributions,line17c_additional_tax_hsa_distributions,1,410.4,648,481.65,659.999
f2_05[0],line17d_additional_tax_hsa_ineligible,line17d_additional_tax_hsa_ineligible,1,410.4,618.001,481.65,630
f2_06[0],line17e_additional_tax_archer_msa_distributions,line17e_additional_tax_archer_msa_distributions,1,410.4,600.001,481.65,612
f2_07[0],line17f_additional_tax_medicare_advantage_msa,line17f_additional_tax_medicare_advantage_msa,1,410.4,582.001,481.65,594
f2_08[0],line17g_recapture_fractional_interest_tpp,line17g_recapture_fractional_interest_tpp,1,410.4,552.002,481.65,564.001
f2_09[0],line17h_income_nonqualified_deferred_comp_409A,line17h_income_nonqualified_deferred_comp_409A,1,410.4,522,481.65,533.999
f2_10[0],line17i_comp_nonqualified_deferred_comp_457A,line17i_comp_nonqualified_deferred_comp_457A,1,410.4,492.001,481.65,504
f2_11[0],line17j_section72m5_excess_benefits_tax,line17j_section72m5_excess_benefits_tax,1,410.4,474.001,481.65,486
f2_12[0],line17k_golden_parachute_payments,line17k_golden_parachute_payments,1,410.4,456.001,481.65,468
f2_13[0],line17l_tax_accumulation_distribution_trusts,line17l_tax_accumulation_distribution_trusts,1,410.4,438.001,481.65,450
f2_14[0],line17m_excise_tax_insider_stock_comp_expat_corp,line17m_excise_tax_insider_stock_comp_expat_corp,1,410.4,420.001,481.65,432
