old_field_name,old_full_name,semantic_field_name,field_type,pages_0_indexed,rect_first_occurrence
c1_1[0],topmostSubform[0].Page1[0].c1_1[0],line12_no_cannot_take_credit_checkbox,checkbox,0,"[65.200, 374.002, 73.200, 382.002]"
c1_1[1],topmostSubform[0].Page1[0].c1_1[1],line12_yes_subtract_line11_from_line8_checkbox,checkbox,0,"[65.200, 362.000, 73.200, 370.000]"
f1_1[0],topmostSubform[0].Page1[0].f1_1[0],name,text,0,"[36.000, 671.998, 460.050, 685.999]"
f1_2[0],topmostSubform[0].Page1[0].f1_2[0],social_security_number,text,0,"[461.800, 671.998, 576.000, 685.999]"
f1_3[0],topmostSubform[0].Page1[0].f1_3[0],line1_form1040_line11a_agi,text,0,"[504.000, 648.000, 576.000, 659.999]"
f1_4[0],topmostSubform[0].Page1[0].f1_4[0],line2a_puerto_rico_excluded_income,text,0,"[410.400, 636.001, 481.650, 648.000]"
f1_5[0],topmostSubform[0].Page1[0].f1_5[0],line2b_form2555_lines45_and_50,text,0,"[410.400, 624.002, 481.650, 636.001]"
f1_6[0],topmostSubform[0].Page1[0].f1_6[0],line2c_form4563_line15,text,0,"[410.400, 612.000, 481.650, 623.999]"
f1_7[0],topmostSubform[0].Page1[0].f1_7[0],line2d_add_lines_2a_through_2c,text,0,"[504.000, 600.001, 576.000, 612.000]"
f1_8[0],topmostSubform[0].Page1[0].f1_8[0],line3_add_lines_1_and_2d,text,0,"[504.000, 588.002, 576.000, 600.001]"
f1_9[0],topmostSubform[0].Page1[0].f1_9[0],line4_number_qualifying_children_under_17,text,0,"[410.400, 576.000, 482.400, 587.999]"
f1_10[0],topmostSubform[0].Page1[0].f1_10[0],line5_multiply_line4_by_2200,text,0,"[504.000, 564.001, 576.000, 576.000]"
f1_12[0],topmostSubform[0].Page1[0].f1_12[0],line7_multiply_line6_by_500,text,0,"[504.000, 504.000, 576.000, 515.999]"
f1_13[0],topmostSubform[0].Page1[0].f1_13[0],line8_add_lines_5_and_7,text,0,"[504.000, 492.001, 576.000, 504.000]"
