page,old_full_name,new_full_name,new_leaf_name,tooltip_label,type,rect
1,topmostSubform[0].Page1[0].f1_1[0],topmostSubform[0].Page1[0].taxpayer_name,taxpayer_name,Taxpayer Name,Text,"(36, 684, 445.65, 698.001)"
1,topmostSubform[0].Page1[0].f1_2[0],topmostSubform[0].Page1[0].taxpayer_ssn,taxpayer_ssn,Taxpayer Ssn,Text,"(446.4, 685, 576, 698.001)"
1,topmostSubform[0].Page1[0].f1_3[0],topmostSubform[0].Page1[0].line_a_principal_business_or_profession,line_a_principal_business_or_profession,Line A Principal Business Or Profession,Text,"(36, 659.999, 444.4, 674)"
1,topmostSubform[0].Page1[0].BComb[0].f1_4[0],topmostSubform[0].Page1[0].BComb[0].line_b_principal_business_code,line_b_principal_business_code,Line B Principal Business Code,Text,"(460.8, 661.002, 547.2, 672.001)"
1,topmostSubform[0].Page1[0].f1_5[0],topmostSubform[0].Page1[0].line_c_business_name,line_c_business_name,Line C Business Name,Text,"(36, 635.998, 445.65, 649.999)"
1,topmostSubform[0].Page1[0].DComb[0].f1_6[0],topmostSubform[0].Page1[0].DComb[0].line_d_ein,line_d_ein,Line D Ein,Text,"(446.4, 635.998, 576, 649.999)"
1,topmostSubform[0].Page1[0].f1_7[0],topmostSubform[0].Page1[0].line_e_business_address,line_e_business_address,Line E Business Address,Text,"(230.4, 624.002, 576, 636.001)"
1,topmostSubform[0].Page1[0].f1_8[0],topmostSubform[0].Page1[0].line_e_city_state_zip,line_e_city_state_zip,Line E City State Zip,Text,"(230.4, 612, 576, 623.999)"
1,topmostSubform[0].Page1[0].c1_1[0],topmostSubform[0].Page1[0].line_f_accounting_method_cash,line_f_accounting_method_cash,Line F Accounting Method Cash,CheckBox,"(168.8, 601.001, 176.8, 609.001)"
1,topmostSubform[0].Page1[0].c1_1[1],topmostSubform[0].Page1[0].line_f_accounting_method_accrual,line_f_accounting_method_accrual,Line F Accounting Method Accrual,CheckBox,"(233.6, 601.001, 241.6, 609.001)"
1,topmostSubform[0].Page1[0].c1_1[2],topmostSubform[0].Page1[0].line_f_accounting_method_other,line_f_accounting_method_other,Line F Accounting Method Other,CheckBox,"(305.6, 601.001, 313.6, 609.001)"
1,topmostSubform[0].Page1[0].f1_9[0],topmostSubform[0].Page1[0].line_f_accounting_method_other_specify,line_f_accounting_method_other_specify,Line F Accounting Method Other Specify,Text,"(374.4, 600.001, 576, 612)"
1,topmostSubform[0].Page1[0].c1_2[0],topmostSubform[0].Page1[0].line_g_materially_participated_yes,line_g_materially_participated_yes,Line G Materially Participated Yes,CheckBox,"(514.4, 590.002, 522.4, 598.002)"
1,topmostSubform[0].Page1[0].c1_2[1],topmostSubform[0].Page1[0].line_g_materially_participated_no,line_g_materially_participated_no,Line G Materially Participated No,CheckBox,"(550.4, 590.002, 558.4, 598.002)"
1,topmostSubform[0].Page1[0].c1_3[0],topmostSubform[0].Page1[0].line_h_checkbox_started_or_acquired_business_in_2025,line_h_checkbox_started_or_acquired_business_in_2025,Line H Checkbox Started Or Acquired Business In 2025,CheckBox,"(514.4, 578, 522.4, 586)"
1,topmostSubform[0].Page1[0].c1_4[0],topmostSubform[0].Page1[0].line_i_required_to_file_1099s_yes,line_i_required_to_file_1099s_yes,Line I Required To File 1099s Yes,CheckBox,"(514.4, 566.001, 522.4, 574.001)"
1,topmostSubform[0].Page1[0].c1_4[1],topmostSubform[0].Page1[0].line_i_required_to_file_1099s_no,line_i_required_to_file_1099s_no,Line I Required To File 1099s No,CheckBox,"(550.4, 566.001, 558.4, 574.001)"
1,topmostSubform[0].Page1[0].c1_5[0],topmostSubform[0].Page1[0].line_j_filed_required_1099s_yes,line_j_filed_required_1099s_yes,Line J Filed Required 1099s Yes,CheckBox,"(514.4, 554.002, 522.4, 562.002)"
1,topmostSubform[0].Page1[0].c1_5[1],topmostSubform[0].Page1[0].line_j_filed_required_1099s_no,line_j_filed_required_1099s_no,Line J Filed Required 1099s No,CheckBox,"(550.4, 554.002, 558.4, 562.002)"
1,topmostSubform[0].Page1[0].Line1_ReadOrder[0].c1_6[0],topmostSubform[0].Page1[0].Line1_ReadOrder[0].part1_line1_checkbox_statutory_employee_w2,part1_line1_checkbox_statutory_employee_w2,Part1 Line1 Checkbox Statutory Employee W2,CheckBox,"(433.999, 518.002, 441.999, 526.002)"
1,topmostSubform[0].Page1[0].f1_10[0],topmostSubform[0].Page1[0].part1_line1_gross_receipts_or_sales,part1_line1_gross_receipts_or_sales,Part1 Line1 Gross Receipts Or Sales,Text,"(475.2, 516.002, 576, 528.001)"
1,topmostSubform[0].Page1[0].f1_11[0],topmostSubform[0].Page1[0].part1_line2_returns_and_allowances,part1_line2_returns_and_allowances,Part1 Line2 Returns And Allowances,Text,"(475.2, 504, 576, 515.999)"
1,topmostSubform[0].Page1[0].f1_12[0],topmostSubform[0].Page1[0].part1_line3_subtract_line2_from_line1,part1_line3_subtract_line2_from_line1,Part1 Line3 Subtract Line2 From Line1,Text,"(475.2, 492.001, 576, 504)"
1,topmostSubform[0].Page1[0].f1_13[0],topmostSubform[0].Page1[0].part1_line4_cost_of_goods_sold_from_line42,part1_line4_cost_of_goods_sold_from_line42,Part1 Line4 Cost Of Goods Sold From Line42,Text,"(475.2, 480.002, 576, 492.001)"
1,topmostSubform[0].Page1[0].f1_14[0],topmostSubform[0].Page1[0].part1_line5_gross_profit,part1_line5_gross_profit,Part1 Line5 Gross Profit,Text,"(475.2, 468, 576, 479.999)"
1,topmostSubform[0].Page1[0].f1_15[0],topmostSubform[0].Page1[0].part1_line6_other_income_including_federal_state_fuel_tax_credit_or_refund,part1_line6_other_income_including_federal_state_fuel_tax_credit_or_refund,Part1 Line6 Other Income Including Federal State Fuel Tax Credit Or Refund,Text,"(475.2, 456.001, 576, 468)"
1,topmostSubform[0].Page1[0].f1_16[0],topmostSubform[0].Page1[0].part1_line7_gross_income,part1_line7_gross_income,Part1 Line7 Gross Income,Text,"(475.2, 444.002, 576, 456.001)"
1,topmostSubform[0].Page1[0].Lines8-17[0].f1_17[0],topmostSubform[0].Page1[0].Lines8-17[0].part2_line8_advertising,part2_line8_advertising,Part2 Line8 Advertising,Text,"(194.4, 420.001, 294.45, 432)"
1,topmostSubform[0].Page1[0].Lines8-17[0].f1_18[0],topmostSubform[0].Page1[0].Lines8-17[0].part2_line9_car_and_truck_expenses,part2_line9_car_and_truck_expenses,Part2 Line9 Car And Truck Expenses,Text,"(194.4, 396, 294.45, 407.999)"
1,topmostSubform[0].Page1[0].Lines8-17[0].f1_19[0],topmostSubform[0].Page1[0].Lines8-17[0].part2_line10_commissions_and_fees,part2_line10_commissions_and_fees,Part2 Line10 Commissions And Fees,Text,"(194.4, 384.001, 294.45, 396)"
1,topmostSubform[0].Page1[0].Lines8-17[0].f1_20[0],topmostSubform[0].Page1[0].Lines8-17[0].part2_line11_contract_labor,part2_line11_contract_labor,Part2 Line11 Contract Labor,Text,"(194.4, 372.002, 294.45, 384.001)"
1,topmostSubform[0].Page1[0].Lines8-17[0].f1_21[0],topmostSubform[0].Page1[0].Lines8-17[0].part2_line12_depletion,part2_line12_depletion,Part2 Line12 Depletion,Text,"(194.4, 360, 294.45, 371.999)"
1,topmostSubform[0].Page1[0].Lines8-17[0].f1_22[0],topmostSubform[0].Page1[0].Lines8-17[0].part2_line13_depreciation_and_section_179,part2_line13_depreciation_and_section_179,Part2 Line13 Depreciation And Section 179,Text,"(194.4, 324, 294.45, 335.999)"
1,topmostSubform[0].Page1[0].Lines8-17[0].f1_23[0],topmostSubform[0].Page1[0].Lines8-17[0].part2_line14_employee_benefit_programs_other_than_line_19,part2_line14_employee_benefit_programs_other_than_line_19,Part2 Line14 Employee Benefit Programs Other Than Line 19,Text,"(194.4, 300.002, 294.45, 312.001)"
1,topmostSubform[0].Page1[0].Lines8-17[0].f1_24[0],topmostSubform[0].Page1[0].Lines8-17[0].part2_line15_insurance_other_than_health,part2_line15_insurance_other_than_health,Part2 Line15 Insurance Other Than Health,Text,"(194.4, 288, 294.45, 299.999)"
1,topmostSubform[0].Page1[0].Lines8-17[0].f1_25[0],topmostSubform[0].Page1[0].Lines8-17[0].part2_line16a_interest_mortgage_paid_to_banks_etc,part2_line16a_interest_mortgage_paid_to_banks_etc,Part2 Line16a Interest Mortgage Paid To Banks Etc,Text,"(194.4, 264.002, 294.45, 276.001)"
1,topmostSubform[0].Page1[0].Lines8-17[0].f1_26[0],topmostSubform[0].Page1[0].Lines8-17[0].part2_line16b_interest_other,part2_line16b_interest_other,Part2 Line16b Interest Other,Text,"(194.4, 252, 294.45, 263.999)"
1,topmostSubform[0].Page1[0].Lines8-17[0].f1_27[0],topmostSubform[0].Page1[0].Lines8-17[0].part2_line17_legal_and_professional_services,part2_line17_legal_and_professional_services,Part2 Line17 Legal And Professional Services,Text,"(194.4, 240.001, 294.45, 252)"
1,topmostSubform[0].Page1[0].Lines18-27[0].f1_28[0],topmostSubform[0].Page1[0].Lines18-27[0].part2_line18_office_expense,part2_line18_office_expense,Part2 Line18 Office Expense,Text,"(475.2, 420.001, 576, 432)"
1,topmostSubform[0].Page1[0].Lines18-27[0].f1_29[0],topmostSubform[0].Page1[0].Lines18-27[0].part2_line19_pension_and_profit_sharing_plans,part2_line19_pension_and_profit_sharing_plans,Part2 Line19 Pension And Profit Sharing Plans,Text,"(475.2, 408.002, 576, 420.001)"
1,topmostSubform[0].Page1[0].Lines18-27[0].f1_30[0],topmostSubform[0].Page1[0].Lines18-27[0].part2_line20a_rent_or_lease_vehicles_machinery_equipment,part2_line20a_rent_or_lease_vehicles_machinery_equipment,Part2 Line20a Rent Or Lease Vehicles Machinery Equipment,Text,"(475.2, 384.001, 576, 396)"
1,topmostSubform[0].Page1[0].Lines18-27[0].f1_31[0],topmostSubform[0].Page1[0].Lines18-27[0].part2_line20b_rent_or_lease_other_business_property,part2_line20b_rent_or_lease_other_business_property,Part2 Line20b Rent Or Lease Other Business Property,Text,"(475.2, 372.002, 576, 384.001)"
1,topmostSubform[0].Page1[0].Lines18-27[0].f1_32[0],topmostSubform[0].Page1[0].Lines18-27[0].part2_line21_repairs_and_maintenance,part2_line21_repairs_and_maintenance,Part2 Line21 Repairs And Maintenance,Text,"(475.2, 360, 576, 371.999)"
1,topmostSubform[0].Page1[0].Lines18-27[0].f1_33[0],topmostSubform[0].Page1[0].Lines18-27[0].part2_line22_supplies,part2_line22_supplies,Part2 Line22 Supplies,Text,"(475.2, 348.001, 576, 360)"
1,topmostSubform[0].Page1[0].Lines18-27[0].f1_34[0],topmostSubform[0].Page1[0].Lines18-27[0].part2_line23_taxes_and_licenses,part2_line23_taxes_and_licenses,Part2 Line23 Taxes And Licenses,Text,"(475.2, 336.002, 576, 348.001)"
1,topmostSubform[0].Page1[0].Lines18-27[0].f1_35[0],topmostSubform[0].Page1[0].Lines18-27[0].part2_line24a_travel,part2_line24a_travel,Part2 Line24a Travel,Text,"(475.2, 312.001, 576, 324)"
1,topmostSubform[0].Page1[0].Lines18-27[0].f1_36[0],topmostSubform[0].Page1[0].Lines18-27[0].part2_line24b_deductible_meals,part2_line24b_deductible_meals,Part2 Line24b Deductible Meals,Text,"(475.2, 300.002, 576, 312.001)"
1,topmostSubform[0].Page1[0].Lines18-27[0].f1_37[0],topmostSubform[0].Page1[0].Lines18-27[0].part2_line25_utilities,part2_line25_utilities,Part2 Line25 Utilities,Text,"(475.2, 288, 576, 299.999)"
1,topmostSubform[0].Page1[0].Lines18-27[0].f1_38[0],topmostSubform[0].Page1[0].Lines18-27[0].part2_line26_wages_less_employment_credits,part2_line26_wages_less_employment_credits,Part2 Line26 Wages Less Employment Credits,Text,"(475.2, 276.001, 576, 288)"
