page,old_full_name,new_full_name,new_leaf_name,tooltip_label,type,rect
1,topmostSubform[0].Page1[0].f1_1[0],topmostSubform[0].Page1[0].taxpayer_name,taxpayer_name,Taxpayer Name,Text,"(36, 671.998, 452.85, 685.999)"
1,topmostSubform[0].Page1[0].f1_2[0],topmostSubform[0].Page1[0].taxpayer_ssn,taxpayer_ssn,Taxpayer Ssn,Text,"(453.6, 671.998, 576, 685.999)"
1,topmostSubform[0].Page1[0].c1_1[0],topmostSubform[0].Page1[0].qualified_opportunity_fund_disposed_yes,qualified_opportunity_fund_disposed_yes,Qualified Opportunity Fund Disposed Yes,CheckBox,"(496.8, 662.002, 504.8, 670.002)"
1,topmostSubform[0].Page1[0].c1_1[1],topmostSubform[0].Page1[0].qualified_opportunity_fund_disposed_no,qualified_opportunity_fund_disposed_no,Qualified Opportunity Fund Disposed No,CheckBox,"(540, 662.002, 548, 670.002)"
1,topmostSubform[0].Page1[0].Table_PartI[0].Row1a[0].f1_3[0],topmostSubform[0].Page1[0].Table_PartI[0].Row1a[0].line1a_short_term_basis_reported_no_adjustments_proceeds,line1a_short_term_basis_reported_no_adjustments_proceeds,Line1a Short Term Basis Reported No Adjustments Proceeds,Text,"(288, 504, 359.25, 516)"
1,topmostSubform[0].Page1[0].Table_PartI[0].Row1a[0].f1_4[0],topmostSubform[0].Page1[0].Table_PartI[0].Row1a[0].line1a_short_term_basis_reported_no_adjustments_cost,line1a_short_term_basis_reported_no_adjustments_cost,Line1a Short Term Basis Reported No Adjustments Cost,Text,"(360, 504, 431.25, 516)"
1,topmostSubform[0].Page1[0].Table_PartI[0].Row1a[0].f1_5[0],topmostSubform[0].Page1[0].Table_PartI[0].Row1a[0].line1a_short_term_basis_reported_no_adjustments_adjustments,line1a_short_term_basis_reported_no_adjustments_adjustments,Line1a Short Term Basis Reported No Adjustments Adjustments,Text,"(432, 504, 503.25, 516)"
1,topmostSubform[0].Page1[0].Table_PartI[0].Row1a[0].f1_6[0],topmostSubform[0].Page1[0].Table_PartI[0].Row1a[0].line1a_short_term_basis_reported_no_adjustments_gain_or_loss,line1a_short_term_basis_reported_no_adjustments_gain_or_loss,Line1a Short Term Basis Reported No Adjustments Gain Or Loss,Text,"(504, 504, 576, 516)"
1,topmostSubform[0].Page1[0].Table_PartI[0].Row1b[0].f1_7[0],topmostSubform[0].Page1[0].Table_PartI[0].Row1b[0].line1b_short_term_form8949_box_a_proceeds,line1b_short_term_form8949_box_a_proceeds,Line1b Short Term Form8949 Box A Proceeds,Text,"(288, 479.999, 359.25, 492)"
1,topmostSubform[0].Page1[0].Table_PartI[0].Row1b[0].f1_8[0],topmostSubform[0].Page1[0].Table_PartI[0].Row1b[0].line1b_short_term_form8949_box_a_cost,line1b_short_term_form8949_box_a_cost,Line1b Short Term Form8949 Box A Cost,Text,"(360, 479.999, 431.25, 492)"
1,topmostSubform[0].Page1[0].Table_PartI[0].Row1b[0].f1_9[0],topmostSubform[0].Page1[0].Table_PartI[0].Row1b[0].line1b_short_term_form8949_box_a_adjustments,line1b_short_term_form8949_box_a_adjustments,Line1b Short Term Form8949 Box A Adjustments,Text,"(432, 479.999, 503.25, 492)"
1,topmostSubform[0].Page1[0].Table_PartI[0].Row1b[0].f1_10[0],topmostSubform[0].Page1[0].Table_PartI[0].Row1b[0].line1b_short_term_form8949_box_a_gain_or_loss,line1b_short_term_form8949_box_a_gain_or_loss,Line1b Short Term Form8949 Box A Gain Or Loss,Text,"(504, 479.999, 576, 492)"
1,topmostSubform[0].Page1[0].Table_PartI[0].Row2[0].f1_11[0],topmostSubform[0].Page1[0].Table_PartI[0].Row2[0].line2_short_term_form8949_box_b_proceeds,line2_short_term_form8949_box_b_proceeds,Line2 Short Term Form8949 Box B Proceeds,Text,"(288, 455.998, 359.25, 467.999)"
1,topmostSubform[0].Page1[0].Table_PartI[0].Row2[0].f1_12[0],topmostSubform[0].Page1[0].Table_PartI[0].Row2[0].line2_short_term_form8949_box_b_cost,line2_short_term_form8949_box_b_cost,Line2 Short Term Form8949 Box B Cost,Text,"(360, 455.998, 431.25, 467.999)"
1,topmostSubform[0].Page1[0].Table_PartI[0].Row2[0].f1_13[0],topmostSubform[0].Page1[0].Table_PartI[0].Row2[0].line2_short_term_form8949_box_b_adjustments,line2_short_term_form8949_box_b_adjustments,Line2 Short Term Form8949 Box B Adjustments,Text,"(432, 455.998, 503.25, 467.999)"
1,topmostSubform[0].Page1[0].Table_PartI[0].Row2[0].f1_14[0],topmostSubform[0].Page1[0].Table_PartI[0].Row2[0].line2_short_term_form8949_box_b_gain_or_loss,line2_short_term_form8949_box_b_gain_or_loss,Line2 Short Term Form8949 Box B Gain Or Loss,Text,"(504, 455.998, 576, 467.999)"
1,topmostSubform[0].Page1[0].Table_PartI[0].Row3[0].f1_15[0],topmostSubform[0].Page1[0].Table_PartI[0].Row3[0].line3_short_term_form8949_box_c_proceeds,line3_short_term_form8949_box_c_proceeds,Line3 Short Term Form8949 Box C Proceeds,Text,"(288, 431.997, 359.25, 443.998)"
1,topmostSubform[0].Page1[0].Table_PartI[0].Row3[0].f1_16[0],topmostSubform[0].Page1[0].Table_PartI[0].Row3[0].line3_short_term_form8949_box_c_cost,line3_short_term_form8949_box_c_cost,Line3 Short Term Form8949 Box C Cost,Text,"(360, 431.997, 431.25, 443.998)"
1,topmostSubform[0].Page1[0].Table_PartI[0].Row3[0].f1_17[0],topmostSubform[0].Page1[0].Table_PartI[0].Row3[0].line3_short_term_form8949_box_c_adjustments,line3_short_term_form8949_box_c_adjustments,Line3 Short Term Form8949 Box C Adjustments,Text,"(432, 431.997, 503.25, 443.998)"
1,topmostSubform[0].Page1[0].Table_PartI[0].Row3[0].f1_18[0],topmostSubform[0].Page1[0].Table_PartI[0].Row3[0].line3_short_term_form8949_box_c_gain_or_loss,line3_short_term_form8949_box_c_gain_or_loss,Line3 Short Term Form8949 Box C Gain Or Loss,Text,"(504, 431.997, 576, 443.998)"
1,topmostSubform[0].Page1[0].f1_19[0],topmostSubform[0].Page1[0].line4_short_term_from_forms_6252_4684_6781_8824,line4_short_term_from_forms_6252_4684_6781_8824,Line4 Short Term From Forms 6252 4684 6781 8824,Text,"(504, 420.001, 576, 432)"
1,topmostSubform[0].Page1[0].f1_20[0],topmostSubform[0].Page1[0].line5_short_term_from_partnerships_s_corps_estates_trusts,line5_short_term_from_partnerships_s_corps_estates_trusts,Line5 Short Term From Partnerships S Corps Estates Trusts,Text,"(504, 408.002, 576, 420.001)"
1,topmostSubform[0].Page1[0].f1_21[0],topmostSubform[0].Page1[0].line6_short_term_capital_loss_carryover_prior_year,line6_short_term_capital_loss_carryover_prior_year,Line6 Short Term Capital Loss Carryover Prior Year,Text,"(507, 384.001, 573, 396)"
1,topmostSubform[0].Page1[0].f1_22[0],topmostSubform[0].Page1[0].line7_net_short_term_capital_gain_or_loss,line7_net_short_term_capital_gain_or_loss,Line7 Net Short Term Capital Gain Or Loss,Text,"(504, 360, 576, 371.999)"
1,topmostSubform[0].Page1[0].Table_PartII[0].Row8a[0].f1_23[0],topmostSubform[0].Page1[0].Table_PartII[0].Row8a[0].line8a_long_term_basis_reported_no_adjustments_proceeds,line8a_long_term_basis_reported_no_adjustments_proceeds,Line8a Long Term Basis Reported No Adjustments Proceeds,Text,"(288, 216, 359.25, 228)"
1,topmostSubform[0].Page1[0].Table_PartII[0].Row8a[0].f1_24[0],topmostSubform[0].Page1[0].Table_PartII[0].Row8a[0].line8a_long_term_basis_reported_no_adjustments_cost,line8a_long_term_basis_reported_no_adjustments_cost,Line8a Long Term Basis Reported No Adjustments Cost,Text,"(360, 216, 431.25, 228)"
1,topmostSubform[0].Page1[0].Table_PartII[0].Row8a[0].f1_25[0],topmostSubform[0].Page1[0].Table_PartII[0].Row8a[0].line8a_long_term_basis_reported_no_adjustments_adjustments,line8a_long_term_basis_reported_no_adjustments_adjustments,Line8a Long Term Basis Reported No Adjustments Adjustments,Text,"(432, 216, 503.25, 228)"
