old_field_name,old_full_name,semantic_field_name,field_type,pages_0_indexed,rect_first_occurrence
f1_1[0],topmostSubform[0].Page1[0].f1_1[0],name_shown_on_return,text,0,"[36.0, 683.968, 445.65, 695.97]"
f1_2[0],topmostSubform[0].Page1[0].f1_2[0],identifying_number,text,0,"[446.4, 683.968, 576.0, 695.97]"
f1_3[0],topmostSubform[0].Page1[0].f1_3[0],part_iv_c1,text,0,"[36.0, 659.967, 258.45, 671.968]"
f1_4[0],topmostSubform[0].Page1[0].CombField_LineB[0].f1_4[0],part_iv_c2,text,0,"[259.2, 659.97, 345.6, 671.969]"
c1_1[0],topmostSubform[0].Page1[0].LineC_ReadOrder[0].c1_1[0],part_iv_cash_accrual_c3,checkbox,0,"[359.6, 662.97, 367.6, 670.97]"
c1_1[1],topmostSubform[0].Page1[0].LineC_ReadOrder[0].c1_1[1],part_iv_cash_c4,checkbox,0,"[398.0, 662.97, 406.0, 670.97]"
f1_5[0],topmostSubform[0].Page1[0].CombField_LineD[0].f1_5[0],part_iv_cash_accrual_c5,text,0,"[446.4, 659.967, 576.0, 671.968]"
c1_2[0],topmostSubform[0].Page1[0].c1_2[0],part_iv_e_did_you_materially_participate_in_the_c1,checkbox,0,"[511.2, 649.468, 519.2, 657.468]"
c1_2[1],topmostSubform[0].Page1[0].c1_2[1],part_iv_e_did_you_materially_participate_in_the_c2,checkbox,0,"[547.2, 649.468, 555.2, 657.468]"
c1_3[0],topmostSubform[0].Page1[0].c1_3[0],part_iv_f_did_you_make_any_payments_in_c1,checkbox,0,"[511.2, 637.469, 519.2, 645.469]"
c1_3[1],topmostSubform[0].Page1[0].c1_3[1],part_iv_f_did_you_make_any_payments_in_c2,checkbox,0,"[547.2, 637.469, 555.2, 645.469]"
c1_4[0],topmostSubform[0].Page1[0].c1_4[0],part_iv_g_if_yes_did_you_or_will_c1,checkbox,0,"[511.2, 625.47, 519.2, 633.47]"
c1_4[1],topmostSubform[0].Page1[0].c1_4[1],part_iv_g_if_yes_did_you_or_will_c2,checkbox,0,"[547.2, 625.47, 555.2, 633.47]"
f1_6[0],topmostSubform[0].Page1[0].f1_6[0],part_i_line1a_sales_of_purchased_livestock_and_other_resale,text,0,"[410.4, 599.969, 481.65, 611.968]"
f1_7[0],topmostSubform[0].Page1[0].f1_7[0],part_i_lineb_cost_or_other_basis_of_purchased_livestock,text,0,"[410.4, 587.97, 481.65, 599.969]"
f1_8[0],topmostSubform[0].Page1[0].f1_8[0],part_i_linec_subtract_line_1b_from_line_1a_1c,text,0,"[504.0, 575.968, 576.0, 587.967]"
f1_9[0],topmostSubform[0].Page1[0].f1_9[0],part_i_line2_sales_of_livestock_produce_grains_and_other,text,0,"[504.0, 563.969, 576.0, 575.968]"
f1_10[0],topmostSubform[0].Page1[0].f1_10[0],part_i_line3a_cooperative_distributions_form_s_1099_patr_3a_c1,text,0,"[273.6, 551.97, 344.85, 563.969]"
f1_11[0],topmostSubform[0].Page1[0].f1_11[0],part_i_line3a_3b_taxable_amount_3b_c2,text,0,"[504.0, 551.97, 576.0, 563.969]"
f1_12[0],topmostSubform[0].Page1[0].f1_12[0],part_i_line4a_agricultural_program_payments_see_instructions_4a_c1,text,0,"[273.6, 539.968, 344.85, 551.967]"
f1_13[0],topmostSubform[0].Page1[0].f1_13[0],part_i_line4a_4b_taxable_amount_4b_c2,text,0,"[504.0, 539.968, 576.0, 551.967]"
f1_14[0],topmostSubform[0].Page1[0].f1_14[0],part_i_line5a_commodity_credit_corporation_ccc_loans_reported_under,text,0,"[504.0, 527.969, 576.0, 539.968]"
f1_15[0],topmostSubform[0].Page1[0].f1_15[0],part_i_lineb_ccc_loans_forfeited_5b_c1,text,0,"[273.6, 515.97, 344.85, 527.969]"
f1_16[0],topmostSubform[0].Page1[0].f1_16[0],part_i_line5c_taxable_amount_5c_c2,text,0,"[504.0, 515.97, 576.0, 527.969]"
f1_17[0],topmostSubform[0].Page1[0].f1_17[0],part_i_linea_amount_received_in_2025_6a_c1,text,0,"[273.6, 491.969, 344.85, 503.968]"
f1_18[0],topmostSubform[0].Page1[0].f1_18[0],part_i_line6b_taxable_amount_6b_c2,text,0,"[504.0, 491.969, 576.0, 503.968]"
c1_5[0],topmostSubform[0].Page1[0].c1_5[0],part_i_linec_if_election_to_defer_to_2026_is_c1,checkbox,0,"[335.6, 481.47, 343.6, 489.47]"
f1_19[0],topmostSubform[0].Page1[0].f1_19[0],part_i_linec_if_election_to_defer_to_2026_is_c2,text,0,"[504.0, 479.97, 576.0, 491.969]"
f1_20[0],topmostSubform[0].Page1[0].f1_20[0],part_i_line7_custom_hire_machine_work_income_7,text,0,"[504.0, 467.968, 576.0, 479.967]"
f1_21[0],topmostSubform[0].Page1[0].f1_21[0],part_i_line8_other_income_including_federal_and_state_gasoline,text,0,"[504.0, 455.969, 576.0, 467.968]"
f1_22[0],topmostSubform[0].Page1[0].f1_22[0],part_i_accrual_method_enter_the_amount_from_part,text,0,"[504.0, 431.968, 576.0, 443.967]"
f1_23[0],topmostSubform[0].Page1[0].Lines10-22[0].f1_23[0],part_ii_instructions_also_attach_form_4562_10,text,0,"[230.4, 395.968, 301.65, 407.967]"
f1_24[0],topmostSubform[0].Page1[0].Lines10-22[0].f1_24[0],part_ii_line11_chemicals_11_c1,text,0,"[230.4, 383.969, 301.65, 395.968]"
f1_25[0],topmostSubform[0].Page1[0].Lines10-22[0].f1_25[0],part_ii_line12_conservation_expenses_see_instructions_12_c1,text,0,"[230.4, 371.97, 301.65, 383.969]"
f1_26[0],topmostSubform[0].Page1[0].Lines10-22[0].f1_26[0],part_ii_line13_custom_hire_machine_work_13_c1,text,0,"[230.4, 359.968, 301.65, 371.967]"
f1_27[0],topmostSubform[0].Page1[0].Lines10-22[0].f1_27[0],part_ii_see_instructions_14_c1,text,0,"[230.4, 335.97, 301.65, 347.969]"
f1_28[0],topmostSubform[0].Page1[0].Lines10-22[0].f1_28[0],part_ii_on_line_23_15_c1,text,0,"[230.4, 311.969, 301.65, 323.968]"
f1_29[0],topmostSubform[0].Page1[0].Lines10-22[0].f1_29[0],part_ii_line16_feed_16_c1,text,0,"[230.4, 299.97, 301.65, 311.969]"
f1_30[0],topmostSubform[0].Page1[0].Lines10-22[0].f1_30[0],part_ii_line17_fertilizers_and_lime_17_c1,text,0,"[230.4, 287.968, 301.65, 299.967]"
f1_31[0],topmostSubform[0].Page1[0].Lines10-22[0].f1_31[0],part_ii_line18_freight_and_trucking_18,text,0,"[230.4, 275.969, 301.65, 287.968]"
f1_32[0],topmostSubform[0].Page1[0].Lines10-22[0].f1_32[0],part_ii_line19_gasoline_fuel_and_oil_19_c1,text,0,"[230.4, 263.97, 301.65, 275.969]"
f1_33[0],topmostSubform[0].Page1[0].Lines10-22[0].f1_33[0],part_ii_line20_insurance_other_than_health_20_c1,text,0,"[230.4, 251.968, 301.65, 263.967]"
f1_34[0],topmostSubform[0].Page1[0].Lines10-22[0].f1_34[0],part_ii_linea_mortgage_paid_to_banks_etc_21a_c1,text,0,"[230.4, 227.97, 301.65, 239.969]"
f1_35[0],topmostSubform[0].Page1[0].Lines10-22[0].f1_35[0],part_ii_lineb_other_21b_c1,text,0,"[230.4, 215.968, 301.65, 227.967]"
f1_36[0],topmostSubform[0].Page1[0].Lines10-22[0].f1_36[0],part_ii_line22_labor_hired_less_employment_credits_22_c1,text,0,"[230.4, 203.969, 301.65, 215.968]"
f1_37[0],topmostSubform[0].Page1[0].f1_37[0],part_ii_line10_23_pension_and_profit_sharing_plans_23,text,0,"[504.0, 407.97, 576.0, 419.969]"
f1_38[0],topmostSubform[0].Page1[0].f1_38[0],part_ii_line11_a_vehicles_machinery_equipment_24a_c2,text,0,"[504.0, 383.969, 576.0, 395.968]"
f1_39[0],topmostSubform[0].Page1[0].f1_39[0],part_ii_line12_b_other_land_animals_etc_24b_c2,text,0,"[504.0, 371.97, 576.0, 383.969]"
f1_40[0],topmostSubform[0].Page1[0].f1_40[0],part_ii_line13_25_repairs_and_maintenance_25_c2,text,0,"[504.0, 359.968, 576.0, 371.967]"
f1_41[0],topmostSubform[0].Page1[0].f1_41[0],part_ii_line14_26_seeds_and_plants_26,text,0,"[504.0, 347.969, 576.0, 359.968]"
f1_42[0],topmostSubform[0].Page1[0].f1_42[0],part_ii_line27_storage_and_warehousing_27_c2,text,0,"[504.0, 335.97, 576.0, 347.969]"
f1_43[0],topmostSubform[0].Page1[0].f1_43[0],part_ii_line15_28_supplies_28,text,0,"[504.0, 323.968, 576.0, 335.967]"
f1_44[0],topmostSubform[0].Page1[0].f1_44[0],part_ii_line29_taxes_29_c2,text,0,"[504.0, 311.969, 576.0, 323.968]"
f1_45[0],topmostSubform[0].Page1[0].f1_45[0],part_ii_line16_30_utilities_30_c2,text,0,"[504.0, 299.97, 576.0, 311.969]"
f1_46[0],topmostSubform[0].Page1[0].f1_46[0],part_ii_line17_31_veterinary_breeding_and_medicine_31_c2,text,0,"[504.0, 287.968, 576.0, 299.967]"
f1_47[0],topmostSubform[0].Page1[0].f1_47[0],part_ii_line19_a_c2,text,0,"[338.4, 263.97, 475.2, 275.969]"
f1_48[0],topmostSubform[0].Page1[0].f1_48[0],part_ii_line19_32a_c3,text,0,"[504.0, 263.97, 576.0, 275.969]"
f1_49[0],topmostSubform[0].Page1[0].f1_49[0],part_ii_line20_b_c2,text,0,"[338.4, 251.968, 475.2, 263.967]"
f1_50[0],topmostSubform[0].Page1[0].f1_50[0],part_ii_line20_32b_c3,text,0,"[504.0, 251.968, 576.0, 263.967]"
f1_51[0],topmostSubform[0].Page1[0].f1_51[0],part_ii_line21_c_c1,text,0,"[338.4, 239.969, 475.2, 251.968]"
f1_52[0],topmostSubform[0].Page1[0].f1_52[0],part_ii_line21_32c_c2,text,0,"[504.0, 239.969, 576.0, 251.968]"
f1_53[0],topmostSubform[0].Page1[0].f1_53[0],part_ii_d_c2,text,0,"[338.4, 227.97, 475.2, 239.969]"
f1_54[0],topmostSubform[0].Page1[0].f1_54[0],part_ii_32d_c3,text,0,"[504.0, 227.97, 576.0, 239.969]"
f1_55[0],topmostSubform[0].Page1[0].f1_55[0],part_ii_e_c2,text,0,"[338.4, 215.968, 475.2, 227.967]"
f1_56[0],topmostSubform[0].Page1[0].f1_56[0],part_ii_32e_c3,text,0,"[504.0, 215.968, 576.0, 227.967]"
f1_57[0],topmostSubform[0].Page1[0].f1_57[0],part_ii_line22_f_c2,text,0,"[338.4, 203.969, 475.2, 215.968]"
f1_58[0],topmostSubform[0].Page1[0].f1_58[0],part_ii_line22_32f_c3,text,0,"[504.0, 203.969, 576.0, 215.968]"
f1_59[0],topmostSubform[0].Page1[0].f1_59[0],part_ii_line33_total_expenses_add_lines_10_through_32f,text,0,"[504.0, 191.967, 576.0, 203.966]"
f1_60[0],topmostSubform[0].Page1[0].f1_60[0],part_ii_line34_net_farm_profit_or_loss_subtract_line,text,0,"[504.0, 179.968, 576.0, 191.967]"
c1_6[0],topmostSubform[0].Page1[0].c1_6[0],part_ii_a_c1,checkbox,0,"[65.8, 134.469, 73.8, 142.469]"
c1_6[1],topmostSubform[0].Page1[0].c1_6[1],part_ii_b_c2,checkbox,0,"[223.2, 134.469, 231.2, 142.469]"
f2_1[0],topmostSubform[0].Page2[0].f2_1[0],part_iii_line37_sales_of_livestock_produce_grains_and_other,text,1,"[504.0, 707.969, 576.0, 719.968]"
f2_2[0],topmostSubform[0].Page2[0].Line38a_ReadOrder[0].f2_2[0],part_iii_line38a_cooperative_distributions_form_s_1099_patr_38a_c1,text,1,"[273.6, 683.968, 344.85, 695.967]"
f2_3[0],topmostSubform[0].Page2[0].f2_3[0],part_iii_line38a_38b_taxable_amount_38b_c2,text,1,"[504.0, 683.968, 576.0, 695.967]"
f2_4[0],topmostSubform[0].Page2[0].Line39a_ReadOrder[0].f2_4[0],part_iii_line39a_agricultural_program_payments_39a_c1,text,1,"[273.6, 659.97, 344.85, 671.969]"
f2_5[0],topmostSubform[0].Page2[0].f2_5[0],part_iii_line39a_39b_taxable_amount_39b_c2,text,1,"[504.0, 659.97, 576.0, 671.969]"
f2_6[0],topmostSubform[0].Page2[0].f2_6[0],part_iii_linea_ccc_loans_reported_under_election_40a,text,1,"[504.0, 623.97, 576.0, 635.969]"
f2_7[0],topmostSubform[0].Page2[0].Line40b_ReadOrder[0].f2_7[0],part_iii_lineb_ccc_loans_forfeited_40b_c1,text,1,"[273.6, 599.969, 344.85, 611.968]"
f2_8[0],topmostSubform[0].Page2[0].f2_8[0],part_iii_line40c_taxable_amount_40c_c2,text,1,"[504.0, 599.969, 576.0, 611.968]"
f2_9[0],topmostSubform[0].Page2[0].f2_9[0],part_iii_line41_crop_insurance_proceeds_41,text,1,"[504.0, 575.968, 576.0, 587.967]"
f2_10[0],topmostSubform[0].Page2[0].f2_10[0],part_iii_line42_custom_hire_machine_work_income_42,text,1,"[504.0, 551.97, 576.0, 563.969]"
f2_11[0],topmostSubform[0].Page2[0].f2_11[0],part_iii_line43_other_income_see_instructions_43,text,1,"[504.0, 527.969, 576.0, 539.968]"
f2_12[0],topmostSubform[0].Page2[0].f2_12[0],part_iii_line44_add_amounts_in_the_right_column_for,text,1,"[504.0, 503.968, 576.0, 515.967]"
f2_13[0],topmostSubform[0].Page2[0].Line45_ReadOrder[0].f2_13[0],part_iii_not_include_sales_reported_on_form_4797,text,1,"[410.4, 479.97, 481.65, 491.969]"
f2_14[0],topmostSubform[0].Page2[0].f2_14[0],part_iii_line46_cost_of_livestock_produce_grains_and_other,text,1,"[410.4, 455.969, 481.65, 467.968]"
f2_15[0],topmostSubform[0].Page2[0].f2_15[0],part_iii_line47_add_lines_45_and_46_47,text,1,"[410.4, 431.968, 481.65, 443.967]"
f2_16[0],topmostSubform[0].Page2[0].f2_16[0],part_iii_line48_inventory_of_livestock_produce_grains_and_other,text,1,"[410.4, 407.97, 481.65, 419.969]"
f2_17[0],topmostSubform[0].Page2[0].f2_17[0],part_iii_line49_cost_of_livestock_produce_grains_and_other,text,1,"[504.0, 383.969, 576.0, 395.968]"
f2_18[0],topmostSubform[0].Page2[0].f2_18[0],part_iii_line50_gross_income_subtract_line_49_from_line,text,1,"[504.0, 359.968, 576.0, 371.967]"
