old_field_name,old_full_name,semantic_field_name,field_type,pages_0_indexed,rect_first_occurrence
c1_1[0],topmostSubform[0].Page1[0].c1_1[0],page1_0_c1_1_0,checkbox,0,"[550.400, 553.970, 558.400, 561.970]"
c1_1[1],topmostSubform[0].Page1[0].c1_1[1],page1_0_c1_1_1,checkbox,0,"[550.400, 529.969, 558.400, 537.969]"
c1_2[0],topmostSubform[0].Page1[0].c1_2[0],page1_0_c1_2_0,checkbox,0,"[550.400, 133.969, 558.400, 141.969]"
f1_1[0],topmostSubform[0].Page1[0].f1_1[0],page1_0_f1_1_0,text,0,"[36.000, 671.966, 460.050, 685.967]"
f1_2[0],topmostSubform[0].Page1[0].f1_2[0],page1_0_f1_2_0,text,0,"[460.800, 671.966, 576.000, 685.967]"
c1_1[0],topmostSubform[0].Page1[0].Married[0].c1_1[0],page1_0_married_0_c1_1_0,checkbox,0,"[550.400, 493.969, 558.400, 501.969]"
c1_1[1],topmostSubform[0].Page1[0].Married[0].c1_1[1],page1_0_married_0_c1_1_1,checkbox,0,"[550.400, 457.969, 558.400, 465.969]"
c1_1[2],topmostSubform[0].Page1[0].Married[0].c1_1[2],page1_0_married_0_c1_1_2,checkbox,0,"[550.400, 421.969, 558.400, 429.969]"
c1_1[3],topmostSubform[0].Page1[0].Married[0].c1_1[3],page1_0_married_0_c1_1_3,checkbox,0,"[550.400, 385.969, 558.400, 393.969]"
c1_1[4],topmostSubform[0].Page1[0].Married[0].c1_1[4],page1_0_married_0_c1_1_4,checkbox,0,"[550.400, 349.969, 558.400, 357.969]"
c1_1[0],topmostSubform[0].Page1[0].MarriedSeparate[0].c1_1[0],page1_0_married_separate_0_c1_1_0,checkbox,0,"[550.400, 313.969, 558.400, 321.969]"
c1_1[1],topmostSubform[0].Page1[0].MarriedSeparate[0].c1_1[1],page1_0_married_separate_0_c1_1_1,checkbox,0,"[550.400, 277.969, 558.400, 285.969]"
f2_1[0],topmostSubform[0].Page2[0].f2_1[0],page2_0_f2_1_0,text,1,"[504.000, 695.970, 576.000, 707.969]"
f2_2[0],topmostSubform[0].Page2[0].f2_2[0],page2_0_f2_2_0,text,1,"[504.000, 575.968, 576.000, 587.967]"
f2_3[0],topmostSubform[0].Page2[0].f2_3[0],page2_0_f2_3_0,text,1,"[504.000, 491.969, 576.000, 503.968]"
f2_4[0],topmostSubform[0].Page2[0].f2_4[0],page2_0_f2_4_0,text,1,"[410.400, 443.970, 481.650, 455.969]"
f2_5[0],topmostSubform[0].Page2[0].f2_5[0],page2_0_f2_5_0,text,1,"[410.400, 407.970, 481.650, 419.969]"
f2_6[0],topmostSubform[0].Page2[0].f2_6[0],page2_0_f2_6_0,text,1,"[410.400, 359.968, 481.650, 371.967]"
f2_7[0],topmostSubform[0].Page2[0].f2_7[0],page2_0_f2_7_0,text,1,"[316.800, 335.970, 388.050, 347.969]"
f2_8[0],topmostSubform[0].Page2[0].f2_8[0],page2_0_f2_8_0,text,1,"[316.800, 299.970, 388.050, 311.969]"
f2_9[0],topmostSubform[0].Page2[0].f2_9[0],page2_0_f2_9_0,text,1,"[316.800, 263.970, 388.050, 275.969]"
f2_10[0],topmostSubform[0].Page2[0].f2_10[0],page2_0_f2_10_0,text,1,"[410.400, 251.968, 481.650, 263.967]"
f2_11[0],topmostSubform[0].Page2[0].f2_11[0],page2_0_f2_11_0,text,1,"[504.000, 239.969, 576.000, 251.968]"
f2_12[0],topmostSubform[0].Page2[0].f2_12[0],page2_0_f2_12_0,text,1,"[504.000, 215.968, 576.000, 227.967]"
f2_13[0],topmostSubform[0].Page2[0].f2_13[0],page2_0_f2_13_0,text,1,"[504.000, 203.969, 576.000, 215.968]"
f2_14[0],topmostSubform[0].Page2[0].f2_14[0],page2_0_f2_14_0,text,1,"[504.000, 191.970, 576.000, 203.969]"
f2_15[0],topmostSubform[0].Page2[0].f2_15[0],page2_0_f2_15_0,text,1,"[504.000, 167.969, 576.000, 179.968]"
