page,old_full_name,new_full_name,new_leaf_name,tooltip_label,type,rect
1,topmostSubform[0].Page1[0].c1_1[0],topmostSubform[0].Page1[0].part1_box1_single_hoh_qss_65_or_older,part1_box1_single_hoh_qss_65_or_older,Part1 Box1 Single Hoh Qss 65 Or Older,CheckBox,"(550.4, 553.97, 558.4, 561.97)"
1,topmostSubform[0].Page1[0].c1_1[1],topmostSubform[0].Page1[0].part1_box2_single_hoh_qss_under_65_disabled,part1_box2_single_hoh_qss_under_65_disabled,Part1 Box2 Single Hoh Qss Under 65 Disabled,CheckBox,"(550.4, 529.969, 558.4, 537.969)"
1,topmostSubform[0].Page1[0].c1_2[0],topmostSubform[0].Page1[0].part2_physician_statement_already_filed_in_prior_year,part2_physician_statement_already_filed_in_prior_year,Part2 Physician Statement Already Filed In Prior Year,CheckBox,"(550.4, 133.969, 558.4, 141.969)"
1,topmostSubform[0].Page1[0].f1_1[0],topmostSubform[0].Page1[0].names_shown_on_return,names_shown_on_return,Names Shown On Return,Text,"(36, 671.966, 460.05, 685.967)"
1,topmostSubform[0].Page1[0].f1_2[0],topmostSubform[0].Page1[0].your_social_security_number,your_social_security_number,Your Social Security Number,Text,"(460.8, 671.966, 576, 685.967)"
1,topmostSubform[0].Page1[0].Married[0].c1_1[0],topmostSubform[0].Page1[0].Married[0].part1_box3_mfj_both_65_or_older,part1_box3_mfj_both_65_or_older,Part1 Box3 Mfj Both 65 Or Older,CheckBox,"(550.4, 493.969, 558.4, 501.969)"
1,topmostSubform[0].Page1[0].Married[0].c1_1[1],topmostSubform[0].Page1[0].Married[0].part1_box4_mfj_both_under_65_one_spouse_disabled,part1_box4_mfj_both_under_65_one_spouse_disabled,Part1 Box4 Mfj Both Under 65 One Spouse Disabled,CheckBox,"(550.4, 457.969, 558.4, 465.969)"
1,topmostSubform[0].Page1[0].Married[0].c1_1[2],topmostSubform[0].Page1[0].Married[0].part1_box5_mfj_both_under_65_both_disabled,part1_box5_mfj_both_under_65_both_disabled,Part1 Box5 Mfj Both Under 65 Both Disabled,CheckBox,"(550.4, 421.969, 558.4, 429.969)"
1,topmostSubform[0].Page1[0].Married[0].c1_1[3],topmostSubform[0].Page1[0].Married[0].part1_box6_mfj_one_65_or_older_other_under_65_disabled,part1_box6_mfj_one_65_or_older_other_under_65_disabled,Part1 Box6 Mfj One 65 Or Older Other Under 65 Disabled,CheckBox,"(550.4, 385.969, 558.4, 393.969)"
1,topmostSubform[0].Page1[0].Married[0].c1_1[4],topmostSubform[0].Page1[0].Married[0].part1_box7_mfj_one_65_or_older_other_under_65_not_disabled,part1_box7_mfj_one_65_or_older_other_under_65_not_disabled,Part1 Box7 Mfj One 65 Or Older Other Under 65 Not Disabled,CheckBox,"(550.4, 349.969, 558.4, 357.969)"
