old_field_name,old_full_name,semantic_field_name,field_type,pages_0_indexed,rect_first_occurrence
f1_01[0],topmostSubform[0].Page1[0].f1_01[0],internal_revenue_service_for_the_year_jan,text,0,"[298.4, 710.001, 352.8, 720.0]"
f1_02[0],topmostSubform[0].Page1[0].f1_02[0],2025_and_ending,text,0,"[406.4, 710.001, 460.8, 720.0]"
f1_03[0],topmostSubform[0].Page1[0].f1_03[0],name_shown_on_return,text,0,"[474.2, 710.001, 486.6, 720.0]"
c1_1[0],topmostSubform[0].Page1[0].c1_1[0],filed_pursuant_to_section_301_9100_2_col_a,checkbox,0,"[35.997, 698.002, 43.997, 706.002]"
c1_2[0],topmostSubform[0].Page1[0].c1_2[0],filed_pursuant_to_section_301_9100_2_col_b,checkbox,0,"[241.6, 698.002, 249.6, 706.002]"
f1_04[0],topmostSubform[0].Page1[0].f1_04[0],top_deceased_you_mm,text,0,"[295.2, 696.502, 309.6, 707.501]"
f1_05[0],topmostSubform[0].Page1[0].f1_05[0],top_deceased_you_dd,text,0,"[316.8, 696.502, 331.2, 707.501]"
f1_06[0],topmostSubform[0].Page1[0].f1_06[0],top_deceased_you_yyyy,text,0,"[338.4, 696.502, 360.0, 707.501]"
f1_07[0],topmostSubform[0].Page1[0].f1_07[0],taxpayer_blind,text,0,"[446.4, 696.502, 460.8, 707.501]"
f1_08[0],topmostSubform[0].Page1[0].f1_08[0],spouse_mm,text,0,"[468.0, 696.502, 482.4, 707.501]"
f1_09[0],topmostSubform[0].Page1[0].f1_09[0],spouse_mm_dd,text,0,"[489.6, 696.502, 511.2, 707.501]"
c1_3[0],topmostSubform[0].Page1[0].c1_3[0],other_q1,checkbox,0,"[35.997, 686.003, 43.997, 694.003]"
f1_10[0],topmostSubform[0].Page1[0].f1_10[0],other_q2,text,0,"[68.397, 684.503, 236.597, 695.502]"
f1_11[0],topmostSubform[0].Page1[0].f1_11[0],other_q3,text,0,"[238.597, 684.503, 409.397, 695.502]"
f1_12[0],topmostSubform[0].Page1[0].f1_12[0],other_q4,text,0,"[411.397, 684.503, 575.997, 695.502]"
f1_13[0],topmostSubform[0].Page1[0].f1_13[0],f1_13_0,text,0,"[36.0, 659.999, 251.25, 674.0]"
f1_14[0],topmostSubform[0].Page1[0].f1_14[0],f1_14_0,text,0,"[253.0, 659.999, 467.25, 674.0]"
f1_15[0],topmostSubform[0].Page1[0].f1_15[0],f1_15_0,text,0,"[469.0, 659.999, 576.0, 674.0]"
f1_16[0],topmostSubform[0].Page1[0].f1_16[0],f1_16_0,text,0,"[36.0, 635.998, 251.25, 649.999]"
f1_17[0],topmostSubform[0].Page1[0].f1_17[0],f1_17_0,text,0,"[253.0, 635.998, 467.25, 649.999]"
f1_18[0],topmostSubform[0].Page1[0].f1_18[0],f1_18_0,text,0,"[469.0, 635.998, 576.0, 649.999]"
f1_19[0],topmostSubform[0].Page1[0].f1_19[0],f1_19_0,text,0,"[36.0, 612.0, 503.25, 626.001]"
f1_20[0],topmostSubform[0].Page1[0].f1_20[0],f1_20_0,text,0,"[505.0, 612.0, 576.0, 626.001]"
f1_21[0],topmostSubform[0].Page1[0].f1_21[0],f1_21_0,text,0,"[36.0, 587.999, 308.85, 602.0]"
f1_22[0],topmostSubform[0].Page1[0].f1_22[0],f1_22_0,text,0,"[310.6, 587.999, 503.25, 602.0]"
f1_23[0],topmostSubform[0].Page1[0].f1_23[0],f1_23_0,text,0,"[505.0, 587.999, 576.0, 602.0]"
f1_24[0],topmostSubform[0].Page1[0].f1_24[0],f1_24_0,text,0,"[36.0, 563.998, 308.85, 577.999]"
f1_25[0],topmostSubform[0].Page1[0].f1_25[0],f1_25_0,text,0,"[310.6, 563.998, 503.25, 577.999]"
f1_26[0],topmostSubform[0].Page1[0].f1_26[0],f1_26_0,text,0,"[505.0, 563.998, 576.0, 577.999]"
c1_4[0],topmostSubform[0].Page1[0].c1_4[0],exchange_or_otherwise_dispose_of_a_digital_col_a,checkbox,0,"[518.4, 542.25, 526.4, 550.25]"
c1_4[1],topmostSubform[0].Page1[0].c1_4[1],exchange_or_otherwise_dispose_of_a_digital_col_b,checkbox,0,"[553.2, 542.25, 561.2, 550.25]"
c1_5[0],topmostSubform[0].Page1[0].FilingStatus_ReadOrder[0].c1_5[0],part_i_single_col_b,checkbox,0,"[68.799, 506.0, 76.799, 514.0]"
c1_5[1],topmostSubform[0].Page1[0].FilingStatus_ReadOrder[0].c1_5[1],part_i_married_filing_jointly_col_b,checkbox,0,"[68.799, 494.001, 76.799, 502.001]"
c1_5[2],topmostSubform[0].Page1[0].FilingStatus_ReadOrder[0].c1_5[2],part_i_married_filing_separately_mfs_enter_spouse_s,checkbox,0,"[68.799, 482.002, 76.799, 490.002]"
f1_27[0],topmostSubform[0].Page1[0].FilingStatus_ReadOrder[0].f1_27[0],part_i_full_name_here,text,0,"[136.8, 468.0, 316.8, 479.999]"
c1_5[0],topmostSubform[0].Page1[0].c1_5[0],part_i_single_col_b,checkbox,0,"[333.199, 506.0, 341.199, 514.0]"
c1_5[1],topmostSubform[0].Page1[0].c1_5[1],part_i_married_filing_jointly_col_b,checkbox,0,"[333.199, 494.001, 341.199, 502.001]"
f1_28[0],topmostSubform[0].Page1[0].f1_28[0],part_i_enter_the_child_s_name,text,0,"[432.0, 468.0, 576.0, 479.999]"
c1_6[0],topmostSubform[0].Page1[0].c1_6[0],treat_nonresident_spouse_as_resident,checkbox,0,"[68.799, 452.0, 76.799, 460.0]"
f1_29[0],topmostSubform[0].Page1[0].f1_29[0],nonresident_spouse_name,text,0,"[295.2, 440.001, 576.0, 450.0]"
c1_7[0],topmostSubform[0].Page1[0].c1_7[0],part_i_credit_actc_if_more_than_four_qualifying,checkbox,0,"[568.0, 416.25, 576.0, 424.25]"
f1_30[0],topmostSubform[0].Page1[0].Table_Dependents[0].Row1[0].f1_30[0],dependent1_name,text,0,"[145.0, 390.002, 251.25, 402.001]"
f1_31[0],topmostSubform[0].Page1[0].Table_Dependents[0].Row1[0].f1_31[0],dependent2_name,text,0,"[253.0, 390.002, 359.25, 402.001]"
f1_32[0],topmostSubform[0].Page1[0].Table_Dependents[0].Row1[0].f1_32[0],dependent3_name,text,0,"[361.0, 390.002, 467.25, 402.001]"
f1_33[0],topmostSubform[0].Page1[0].Table_Dependents[0].Row1[0].f1_33[0],dependent4_name,text,0,"[469.0, 390.002, 576.0, 402.001]"
f1_34[0],topmostSubform[0].Page1[0].Table_Dependents[0].Row2[0].f1_34[0],dependent1_last_name,text,0,"[145.0, 378.003, 251.25, 390.002]"
f1_35[0],topmostSubform[0].Page1[0].Table_Dependents[0].Row2[0].f1_35[0],dependent2_last_name,text,0,"[253.0, 378.003, 359.25, 390.002]"
f1_36[0],topmostSubform[0].Page1[0].Table_Dependents[0].Row2[0].f1_36[0],dependent3_last_name,text,0,"[361.0, 378.003, 467.25, 390.002]"
f1_37[0],topmostSubform[0].Page1[0].Table_Dependents[0].Row2[0].f1_37[0],dependent4_last_name,text,0,"[469.0, 378.003, 576.0, 390.002]"
f1_38[0],topmostSubform[0].Page1[0].Table_Dependents[0].Row3[0].f1_38[0],dependent1_ssn,text,0,"[145.0, 366.004, 251.25, 378.003]"
f1_39[0],topmostSubform[0].Page1[0].Table_Dependents[0].Row3[0].f1_39[0],dependent2_ssn,text,0,"[253.0, 366.004, 359.25, 378.003]"
f1_40[0],topmostSubform[0].Page1[0].Table_Dependents[0].Row3[0].f1_40[0],dependent3_ssn,text,0,"[361.0, 366.004, 467.25, 378.003]"
f1_41[0],topmostSubform[0].Page1[0].Table_Dependents[0].Row3[0].f1_41[0],dependent4_ssn,text,0,"[469.0, 366.004, 576.0, 378.003]"
f1_42[0],topmostSubform[0].Page1[0].Table_Dependents[0].Row4[0].f1_42[0],dependent1_relationship,text,0,"[145.0, 354.005, 251.25, 366.004]"
f1_43[0],topmostSubform[0].Page1[0].Table_Dependents[0].Row4[0].f1_43[0],dependent2_relationship,text,0,"[253.0, 354.005, 359.25, 366.004]"
