old_field_name,old_full_name,semantic_field_name,field_type,pages_0_indexed,rect_first_occurrence
f1_1[0],topmostSubform[0].Page1[0].f1_1[0],name,text,0,"[36.0, 684.0, 359.25, 698.001]"
f1_2[0],topmostSubform[0].Page1[0].f1_2[0],social_security_number,text,0,"[489.6, 684.0, 576.0, 707.001]"
c1_1[0],topmostSubform[0].Page1[0].c1_1[0],line_a_form_4361_exempt_but_other_se,checkbox,0,"[565.0, 626.002, 573.0, 634.002]"
f1_3[0],topmostSubform[0].Page1[0].f1_3[0],part1_line1a_net_farm_profit_loss,text,0,"[504.0, 588.002, 576.0, 600.001]"
f1_4[0],topmostSubform[0].Page1[0].f1_4[0],part1_line1b_ss_crp_payments,text,0,"[508.0, 564.001, 573.0, 576.0]"
f1_5[0],topmostSubform[0].Page1[0].f1_5[0],part1_line2_net_nonfarm_profit,text,0,"[504.0, 528.001, 576.0, 540.0]"
f1_6[0],topmostSubform[0].Page1[0].f1_6[0],part1_line3_combine,text,0,"[504.0, 516.002, 576.0, 528.001]"
f1_7[0],topmostSubform[0].Page1[0].f1_7[0],part1_line4a,text,0,"[504.0, 504.0, 576.0, 515.999]"
f1_8[0],topmostSubform[0].Page1[0].f1_8[0],part1_line4b_optional_methods,text,0,"[504.0, 480.002, 576.0, 492.001]"
f1_9[0],topmostSubform[0].Page1[0].f1_9[0],part1_line4c_combine,text,0,"[504.0, 456.001, 576.0, 468.0]"
f1_10[0],topmostSubform[0].Page1[0].Line5a_ReadOrder[0].f1_10[0],part1_line5a_church_employee_income,text,0,"[410.4, 432.0, 481.65, 443.999]"
f1_11[0],topmostSubform[0].Page1[0].f1_11[0],part1_line5b,text,0,"[504.0, 420.001, 576.0, 432.0]"
f1_12[0],topmostSubform[0].Page1[0].f1_12[0],part1_line6_add_4c_5b,text,0,"[504.0, 408.002, 576.0, 420.001]"
f1_13[0],topmostSubform[0].Page1[0].f1_13[0],part1_line7_max_ss_wage_base,text,0,"[575.0, 384.001, 576.0, 396.0]"
f1_14[0],topmostSubform[0].Page1[0].Line8a_ReadOrder[0].f1_14[0],part1_line8a_ss_wages_tips,text,0,"[410.4, 348.001, 481.65, 360.0]"
f1_15[0],topmostSubform[0].Page1[0].f1_15[0],part1_line8b_unreported_tips_4137,text,0,"[410.4, 336.002, 481.65, 348.001]"
f1_16[0],topmostSubform[0].Page1[0].f1_16[0],part1_line8c_wages_form8919,text,0,"[410.4, 324.0, 481.65, 335.999]"
f1_17[0],topmostSubform[0].Page1[0].f1_17[0],part1_line8d_add,text,0,"[504.0, 312.001, 576.0, 324.0]"
f1_18[0],topmostSubform[0].Page1[0].f1_18[0],part1_line9_subtract,text,0,"[504.0, 300.002, 576.0, 312.001]"
f1_19[0],topmostSubform[0].Page1[0].f1_19[0],part1_line10_ss_portion,text,0,"[504.0, 288.0, 576.0, 299.999]"
f1_20[0],topmostSubform[0].Page1[0].f1_20[0],part1_line11_medicare_portion,text,0,"[504.0, 276.001, 576.0, 288.0]"
f1_21[0],topmostSubform[0].Page1[0].f1_21[0],part1_line12_se_tax,text,0,"[504.0, 252.0, 576.0, 263.999]"
f1_22[0],topmostSubform[0].Page1[0].f1_22[0],part1_line13_half_se_deduction,text,0,"[410.4, 216.0, 481.65, 227.999]"
f2_1[0],topmostSubform[0].Page2[0].f2_1[0],part2_line14_max_income_optional,text,1,"[575.0, 696.002, 576.0, 708.001]"
f2_2[0],topmostSubform[0].Page2[0].f2_2[0],part2_line15_farm_optional,text,1,"[504.0, 672.001, 576.0, 684.0]"
f2_3[0],topmostSubform[0].Page2[0].f2_3[0],part2_line16_subtract,text,1,"[504.0, 624.002, 576.0, 636.001]"
f2_4[0],topmostSubform[0].Page2[0].f2_4[0],part2_line17_nonfarm_optional,text,1,"[504.0, 600.001, 576.0, 612.0]"
