old_field_name,old_full_name,semantic_field_name,field_type,pages_0_indexed,rect_first_occurrence
f1_01[0],topmostSubform[0].Page1[0].f1_01[0],part_ii_this_return_is_for_calendar_year_enter,text,0,"[218.0, 701.968, 263.4, 713.967]"
f1_02[0],topmostSubform[0].Page1[0].f1_02[0],part_ii_or_fiscal_year_enter_month_and_year,text,0,"[446.4, 701.968, 576.0, 713.967]"
f1_03[0],topmostSubform[0].Page1[0].f1_03[0],part_ii_col_a_1,text,0,"[36.0, 677.967, 272.85, 691.968]"
f1_04[0],topmostSubform[0].Page1[0].f1_04[0],part_ii_col_b_1,text,0,"[274.6, 677.967, 445.65, 691.968]"
f1_05[0],topmostSubform[0].Page1[0].f1_05[0],part_ii_col_c_1,text,0,"[447.4, 677.967, 576.0, 691.968]"
f1_06[0],topmostSubform[0].Page1[0].f1_06[0],part_ii_col_a_2,text,0,"[36.0, 653.966, 272.85, 667.967]"
f1_07[0],topmostSubform[0].Page1[0].f1_07[0],part_ii_col_b_2,text,0,"[274.6, 653.966, 445.65, 667.967]"
f1_08[0],topmostSubform[0].Page1[0].f1_08[0],part_ii_col_c_2,text,0,"[447.4, 653.966, 576.0, 667.967]"
f1_09[0],topmostSubform[0].Page1[0].Address_ReadOrder[0].f1_09[0],home_address_street,text,0,"[36.0, 629.968, 388.05, 643.969]"
f1_10[0],topmostSubform[0].Page1[0].Address_ReadOrder[0].f1_10[0],home_address_apt_no,text,0,"[389.8, 629.968, 445.65, 643.969]"
f1_11[0],topmostSubform[0].Page1[0].Address_ReadOrder[0].f1_11[0],home_address_city,text,0,"[36.0, 605.967, 308.85, 619.968]"
f1_12[0],topmostSubform[0].Page1[0].Address_ReadOrder[0].f1_12[0],home_address_state,text,0,"[310.6, 605.967, 373.65, 619.968]"
f1_13[0],topmostSubform[0].Page1[0].Address_ReadOrder[0].f1_13[0],home_address_zip,text,0,"[375.4, 605.967, 445.65, 619.968]"
f1_14[0],topmostSubform[0].Page1[0].Address_ReadOrder[0].f1_14[0],foreign_address_country,text,0,"[36.0, 581.966, 222.45, 595.967]"
f1_15[0],topmostSubform[0].Page1[0].Address_ReadOrder[0].f1_15[0],foreign_address_province_state_county,text,0,"[224.2, 581.966, 373.65, 595.967]"
f1_16[0],topmostSubform[0].Page1[0].Address_ReadOrder[0].f1_16[0],foreign_address_postal_code,text,0,"[375.4, 581.966, 445.65, 595.967]"
c1_1[0],topmostSubform[0].Page1[0].c1_1[0],part_ii_you_col_a,checkbox,0,"[468.0, 585.469, 476.0, 593.469]"
c1_2[0],topmostSubform[0].Page1[0].c1_2[0],part_ii_you_col_b,checkbox,0,"[518.4, 585.469, 526.4, 593.469]"
c1_3[0],topmostSubform[0].Page1[0].c1_3[0],part_ii_single_married_filing_jointly_married_filing_separately_col_a,checkbox,0,"[36.0, 546.219, 44.0, 554.219]"
c1_3[1],topmostSubform[0].Page1[0].c1_3[1],part_ii_single,checkbox,0,"[79.2, 546.219, 87.2, 554.219]"
c1_3[2],topmostSubform[0].Page1[0].c1_3[2],part_ii_single_married_filing_jointly,checkbox,0,"[172.8, 546.219, 180.8, 554.219]"
c1_3[3],topmostSubform[0].Page1[0].c1_3[3],part_ii_single_married_filing_jointly_married_filing_separately_col_b,checkbox,0,"[309.6, 546.219, 317.6, 554.219]"
c1_3[4],topmostSubform[0].Page1[0].c1_3[4],part_ii_single_married_filing_jointly_married_filing_separately_col_c,checkbox,0,"[432.0, 546.219, 440.0, 554.219]"
f1_17[0],topmostSubform[0].Page1[0].f1_17[0],part_ii_enter_the_child_s_name_if_the,text,0,"[342.0, 515.97, 576.0, 526.969]"
c1_4[0],topmostSubform[0].Page1[0].Table_IncomeDeductions[0].Line1[0].Adjusted[0].c1_4[0],part_ii_included_check_here_1,checkbox,0,"[344.8, 446.47, 352.8, 454.47]"
f1_18[0],topmostSubform[0].Page1[0].Table_IncomeDeductions[0].Line1[0].f1_18[0],part_ii_included_check_here_1_col_a,text,0,"[381.6, 443.967, 445.65, 455.968]"
f1_19[0],topmostSubform[0].Page1[0].Table_IncomeDeductions[0].Line1[0].f1_19[0],part_ii_included_check_here_1_col_b,text,0,"[446.4, 443.967, 510.45, 455.968]"
f1_20[0],topmostSubform[0].Page1[0].Table_IncomeDeductions[0].Line1[0].f1_20[0],part_ii_included_check_here_1_col_c,text,0,"[511.2, 443.967, 576.0, 455.968]"
f1_21[0],topmostSubform[0].Page1[0].Table_IncomeDeductions[0].Line2[0].f1_21[0],part_ii_line2_itemized_deductions_or_standard_deduction_2_col_a,text,0,"[381.6, 431.968, 445.65, 443.967]"
f1_22[0],topmostSubform[0].Page1[0].Table_IncomeDeductions[0].Line2[0].f1_22[0],part_ii_line2_itemized_deductions_or_standard_deduction_2_col_b,text,0,"[446.4, 431.968, 510.45, 443.967]"
f1_23[0],topmostSubform[0].Page1[0].Table_IncomeDeductions[0].Line2[0].f1_23[0],part_ii_line2_itemized_deductions_or_standard_deduction_2_col_c,text,0,"[511.2, 431.968, 576.0, 443.967]"
f1_24[0],topmostSubform[0].Page1[0].Table_IncomeDeductions[0].Line3[0].f1_24[0],part_ii_line3_subtract_line_2_from_line_1_3_col_a,text,0,"[381.6, 419.969, 445.65, 431.968]"
f1_25[0],topmostSubform[0].Page1[0].Table_IncomeDeductions[0].Line3[0].f1_25[0],part_ii_line3_subtract_line_2_from_line_1_3_col_b,text,0,"[446.4, 419.969, 510.45, 431.968]"
f1_26[0],topmostSubform[0].Page1[0].Table_IncomeDeductions[0].Line3[0].f1_26[0],part_ii_line3_subtract_line_2_from_line_1_3_col_c,text,0,"[511.2, 419.969, 576.0, 431.968]"
f1_27[0],topmostSubform[0].Page1[0].Table_IncomeDeductions[0].Line4a[0].f1_27[0],part_ii_line4a_qualified_business_income_deduction_4a_col_a,text,0,"[381.6, 407.97, 445.65, 419.969]"
f1_28[0],topmostSubform[0].Page1[0].Table_IncomeDeductions[0].Line4a[0].f1_28[0],part_ii_line4a_qualified_business_income_deduction_4a_col_b,text,0,"[446.4, 407.97, 510.45, 419.969]"
f1_29[0],topmostSubform[0].Page1[0].Table_IncomeDeductions[0].Line4a[0].f1_29[0],part_ii_line4a_qualified_business_income_deduction_4a_col_c,text,0,"[511.2, 407.97, 576.0, 419.969]"
f1_30[0],topmostSubform[0].Page1[0].Table_IncomeDeductions[0].Line4b[0].f1_30[0],part_ii_schedule_1_a_form_1040_attach_your_col_a,text,0,"[381.6, 383.969, 445.65, 395.97]"
f1_31[0],topmostSubform[0].Page1[0].Table_IncomeDeductions[0].Line4b[0].f1_31[0],part_ii_schedule_1_a_form_1040_attach_your_col_b,text,0,"[446.4, 383.969, 510.45, 395.97]"
f1_32[0],topmostSubform[0].Page1[0].Table_IncomeDeductions[0].Line4b[0].f1_32[0],part_ii_schedule_1_a_form_1040_attach_your_col_c,text,0,"[511.2, 383.969, 576.0, 395.97]"
f1_33[0],topmostSubform[0].Page1[0].Table_IncomeDeductions[0].Line5[0].f1_33[0],part_ii_result_for_column_c_is_zero_or_col_a,text,0,"[381.6, 359.968, 445.65, 371.969]"
f1_34[0],topmostSubform[0].Page1[0].Table_IncomeDeductions[0].Line5[0].f1_34[0],part_ii_result_for_column_c_is_zero_or_col_b,text,0,"[446.4, 359.968, 510.45, 371.969]"
f1_35[0],topmostSubform[0].Page1[0].Table_IncomeDeductions[0].Line5[0].f1_35[0],part_ii_result_for_column_c_is_zero_or_col_c,text,0,"[511.2, 359.968, 576.0, 371.969]"
f1_36[0],topmostSubform[0].Page1[0].Table_TaxLiability[0].Line6[0].Tax[0].f1_36[0],part_ii_1,text,0,"[64.8, 323.968, 352.8, 335.967]"
f1_37[0],topmostSubform[0].Page1[0].Table_TaxLiability[0].Line6[0].f1_37[0],part_ii_6_col_a,text,0,"[381.6, 323.968, 445.65, 335.969]"
f1_38[0],topmostSubform[0].Page1[0].Table_TaxLiability[0].Line6[0].f1_38[0],part_ii_6_col_b,text,0,"[446.4, 323.968, 510.45, 335.969]"
f1_39[0],topmostSubform[0].Page1[0].Table_TaxLiability[0].Line6[0].f1_39[0],part_ii_6_col_c,text,0,"[511.2, 323.968, 576.0, 335.969]"
c1_5[0],topmostSubform[0].Page1[0].Table_TaxLiability[0].Line7[0].Credits[0].c1_5[0],part_ii_included_check_here_2,checkbox,0,"[344.8, 302.47, 352.8, 310.47]"
f1_40[0],topmostSubform[0].Page1[0].Table_TaxLiability[0].Line7[0].f1_40[0],part_ii_included_check_here_7_col_a,text,0,"[381.6, 299.967, 445.65, 311.968]"
f1_41[0],topmostSubform[0].Page1[0].Table_TaxLiability[0].Line7[0].f1_41[0],part_ii_included_check_here_7_col_b,text,0,"[446.4, 299.967, 510.45, 311.968]"
f1_42[0],topmostSubform[0].Page1[0].Table_TaxLiability[0].Line7[0].f1_42[0],part_ii_included_check_here_7_col_c,text,0,"[511.2, 299.967, 576.0, 311.968]"
f1_43[0],topmostSubform[0].Page1[0].Table_TaxLiability[0].Line8[0].f1_43[0],part_ii_line8_subtract_line_7_from_line_6_if_col_a,text,0,"[381.6, 287.968, 445.65, 299.967]"
f1_44[0],topmostSubform[0].Page1[0].Table_TaxLiability[0].Line8[0].f1_44[0],part_ii_line8_subtract_line_7_from_line_6_if_col_b,text,0,"[446.4, 287.968, 510.45, 299.967]"
f1_45[0],topmostSubform[0].Page1[0].Table_TaxLiability[0].Line8[0].f1_45[0],part_ii_line8_subtract_line_7_from_line_6_if_col_c,text,0,"[511.2, 287.968, 576.0, 299.967]"
f1_46[0],topmostSubform[0].Page1[0].Table_TaxLiability[0].Line9[0].f1_46[0],part_ii_line9_reserved_for_future_use_9_col_a,text,0,"[381.6, 275.969, 445.65, 287.968]"
f1_47[0],topmostSubform[0].Page1[0].Table_TaxLiability[0].Line9[0].f1_47[0],part_ii_line9_reserved_for_future_use_9_col_b,text,0,"[446.4, 275.969, 510.45, 287.968]"
f1_48[0],topmostSubform[0].Page1[0].Table_TaxLiability[0].Line9[0].f1_48[0],part_ii_line9_reserved_for_future_use_9_col_c,text,0,"[511.2, 275.969, 576.0, 287.968]"
f1_49[0],topmostSubform[0].Page1[0].Table_TaxLiability[0].Line10[0].f1_49[0],part_ii_line10_other_taxes_10_col_a,text,0,"[381.6, 263.97, 445.65, 275.969]"
f1_50[0],topmostSubform[0].Page1[0].Table_TaxLiability[0].Line10[0].f1_50[0],part_ii_line10_other_taxes_10_col_b,text,0,"[446.4, 263.97, 510.45, 275.969]"
f1_51[0],topmostSubform[0].Page1[0].Table_TaxLiability[0].Line10[0].f1_51[0],part_ii_line10_other_taxes_10_col_c,text,0,"[511.2, 263.97, 576.0, 275.969]"
f1_52[0],topmostSubform[0].Page1[0].Table_TaxLiability[0].Line11[0].f1_52[0],part_ii_line11_total_tax_add_lines_8_and_10_col_a,text,0,"[381.6, 251.971, 445.65, 263.97]"
