old_field_name,old_full_name,semantic_field_name,field_type,pages_0_indexed,rect_first_occurrence
f1_1[0],topmostSubform[0].Page1[0].f1_1[0],page1_0_f1_1_0,text,1,"[36.000, 659.967, 186.450, 673.968]"
f1_2[0],topmostSubform[0].Page1[0].f1_2[0],page1_0_f1_2_0,text,1,"[187.200, 659.967, 331.200, 673.968]"
f1_3[0],topmostSubform[0].Page1[0].f1_3[0],page1_0_f1_3_0,text,1,"[332.200, 659.967, 576.000, 673.968]"
f1_4[0],topmostSubform[0].Page1[0].f1_4[0],page1_0_f1_4_0,text,1,"[36.000, 635.966, 330.450, 649.967]"
f1_5[0],topmostSubform[0].Page1[0].f1_5[0],page1_0_f1_5_0,text,1,"[331.200, 635.966, 453.600, 649.967]"
f1_6[0],topmostSubform[0].Page1[0].f1_6[0],page1_0_f1_6_0,text,1,"[453.600, 635.966, 576.000, 649.967]"
f1_7[0],topmostSubform[0].Page1[0].f1_7[0],page1_0_f1_7_0,text,1,"[36.000, 611.968, 330.450, 625.969]"
f1_8[0],topmostSubform[0].Page1[0].f1_8[0],page1_0_f1_8_0,text,1,"[331.200, 611.968, 453.600, 625.969]"
f1_9[0],topmostSubform[0].Page1[0].f1_9[0],page1_0_f1_9_0,text,1,"[453.600, 611.968, 576.000, 625.969]"
f1_10[0],topmostSubform[0].Page1[0].f1_10[0],page1_0_f1_10_0,text,1,"[36.000, 587.967, 187.200, 601.968]"
f1_11[0],topmostSubform[0].Page1[0].f1_11[0],page1_0_f1_11_0,text,1,"[187.200, 587.967, 331.200, 601.968]"
f1_12[0],topmostSubform[0].Page1[0].f1_12[0],page1_0_f1_12_0,text,1,"[332.200, 587.967, 576.000, 601.968]"
f1_13[0],topmostSubform[0].Page1[0].f1_13[0],page1_0_f1_13_0,text,1,"[36.000, 563.966, 186.450, 577.967]"
f1_14[0],topmostSubform[0].Page1[0].f1_14[0],page1_0_f1_14_0,text,1,"[188.200, 563.966, 330.450, 577.967]"
f1_15[0],topmostSubform[0].Page1[0].f1_15[0],page1_0_f1_15_0,text,1,"[332.200, 563.966, 576.000, 577.967]"
c1_1[0],topmostSubform[0].Page1[0].Pg1Header[0].c1_1[0],page1_0_pg1_header_0_c1_1_0,checkbox,1,"[417.600, 743.719, 430.100, 756.219]"
c1_1[1],topmostSubform[0].Page1[0].Pg1Header[0].c1_1[1],page1_0_pg1_header_0_c1_1_1,checkbox,1,"[417.600, 719.217, 430.100, 731.717]"
f1_16[0],topmostSubform[0].Page1[0].Table_PartII[0].Row16[0].f1_16[0],page1_0_table_part_ii_0_row16_0_f1_16_0,text,1,"[51.400, 491.966, 229.650, 515.967]"
f1_17[0],topmostSubform[0].Page1[0].Table_PartII[0].Row16[0].f1_17[0],page1_0_table_part_ii_0_row16_0_f1_17_0,text,1,"[230.400, 491.966, 316.800, 515.967]"
f1_18[0],topmostSubform[0].Page1[0].Table_PartII[0].Row16[0].f1_18[0],page1_0_table_part_ii_0_row16_0_f1_18_0,text,1,"[316.800, 491.966, 403.200, 515.967]"
f1_19[0],topmostSubform[0].Page1[0].Table_PartII[0].Row16[0].f1_19[0],page1_0_table_part_ii_0_row16_0_f1_19_0,text,1,"[403.200, 491.966, 489.600, 515.967]"
f1_20[0],topmostSubform[0].Page1[0].Table_PartII[0].Row16[0].f1_20[0],page1_0_table_part_ii_0_row16_0_f1_20_0,text,1,"[489.600, 491.966, 576.000, 515.967]"
f1_21[0],topmostSubform[0].Page1[0].Table_PartII[0].Row17[0].f1_21[0],page1_0_table_part_ii_0_row17_0_f1_21_0,text,1,"[51.400, 467.965, 229.650, 491.966]"
f1_22[0],topmostSubform[0].Page1[0].Table_PartII[0].Row17[0].f1_22[0],page1_0_table_part_ii_0_row17_0_f1_22_0,text,1,"[230.400, 467.965, 316.800, 491.966]"
f1_23[0],topmostSubform[0].Page1[0].Table_PartII[0].Row17[0].f1_23[0],page1_0_table_part_ii_0_row17_0_f1_23_0,text,1,"[316.800, 467.965, 403.200, 491.966]"
f1_24[0],topmostSubform[0].Page1[0].Table_PartII[0].Row17[0].f1_24[0],page1_0_table_part_ii_0_row17_0_f1_24_0,text,1,"[403.200, 467.965, 489.600, 491.966]"
f1_25[0],topmostSubform[0].Page1[0].Table_PartII[0].Row17[0].f1_25[0],page1_0_table_part_ii_0_row17_0_f1_25_0,text,1,"[489.600, 467.965, 576.000, 491.966]"
f1_26[0],topmostSubform[0].Page1[0].Table_PartII[0].Row18[0].f1_26[0],page1_0_table_part_ii_0_row18_0_f1_26_0,text,1,"[51.400, 443.964, 229.650, 467.965]"
f1_27[0],topmostSubform[0].Page1[0].Table_PartII[0].Row18[0].f1_27[0],page1_0_table_part_ii_0_row18_0_f1_27_0,text,1,"[230.400, 443.964, 316.800, 467.965]"
f1_28[0],topmostSubform[0].Page1[0].Table_PartII[0].Row18[0].f1_28[0],page1_0_table_part_ii_0_row18_0_f1_28_0,text,1,"[316.800, 443.964, 403.200, 467.965]"
f1_29[0],topmostSubform[0].Page1[0].Table_PartII[0].Row18[0].f1_29[0],page1_0_table_part_ii_0_row18_0_f1_29_0,text,1,"[403.200, 443.964, 489.600, 467.965]"
f1_30[0],topmostSubform[0].Page1[0].Table_PartII[0].Row18[0].f1_30[0],page1_0_table_part_ii_0_row18_0_f1_30_0,text,1,"[489.600, 443.964, 576.000, 467.965]"
f1_31[0],topmostSubform[0].Page1[0].Table_PartII[0].Row19[0].f1_31[0],page1_0_table_part_ii_0_row19_0_f1_31_0,text,1,"[51.400, 419.963, 229.650, 443.964]"
f1_32[0],topmostSubform[0].Page1[0].Table_PartII[0].Row19[0].f1_32[0],page1_0_table_part_ii_0_row19_0_f1_32_0,text,1,"[230.400, 419.963, 316.800, 443.964]"
f1_33[0],topmostSubform[0].Page1[0].Table_PartII[0].Row19[0].f1_33[0],page1_0_table_part_ii_0_row19_0_f1_33_0,text,1,"[316.800, 419.963, 403.200, 443.964]"
f1_34[0],topmostSubform[0].Page1[0].Table_PartII[0].Row19[0].f1_34[0],page1_0_table_part_ii_0_row19_0_f1_34_0,text,1,"[403.200, 419.963, 489.600, 443.964]"
f1_35[0],topmostSubform[0].Page1[0].Table_PartII[0].Row19[0].f1_35[0],page1_0_table_part_ii_0_row19_0_f1_35_0,text,1,"[489.600, 419.963, 576.000, 443.964]"
f1_36[0],topmostSubform[0].Page1[0].Table_PartII[0].Row20[0].f1_36[0],page1_0_table_part_ii_0_row20_0_f1_36_0,text,1,"[51.400, 395.962, 229.650, 419.963]"
f1_37[0],topmostSubform[0].Page1[0].Table_PartII[0].Row20[0].f1_37[0],page1_0_table_part_ii_0_row20_0_f1_37_0,text,1,"[230.400, 395.962, 316.800, 419.963]"
f1_38[0],topmostSubform[0].Page1[0].Table_PartII[0].Row20[0].f1_38[0],page1_0_table_part_ii_0_row20_0_f1_38_0,text,1,"[316.800, 395.962, 403.200, 419.963]"
f1_39[0],topmostSubform[0].Page1[0].Table_PartII[0].Row20[0].f1_39[0],page1_0_table_part_ii_0_row20_0_f1_39_0,text,1,"[403.200, 395.962, 489.600, 419.963]"
f1_40[0],topmostSubform[0].Page1[0].Table_PartII[0].Row20[0].f1_40[0],page1_0_table_part_ii_0_row20_0_f1_40_0,text,1,"[489.600, 395.962, 576.000, 419.963]"
f1_41[0],topmostSubform[0].Page1[0].Table_PartIII[0].Row21[0].f1_41[0],page1_0_table_part_iii_0_row21_0_f1_41_0,text,1,"[158.400, 323.965, 280.050, 347.966]"
f1_42[0],topmostSubform[0].Page1[0].Table_PartIII[0].Row21[0].f1_42[0],page1_0_table_part_iii_0_row21_0_f1_42_0,text,1,"[280.800, 323.965, 424.050, 347.966]"
f1_43[0],topmostSubform[0].Page1[0].Table_PartIII[0].Row21[0].f1_43[0],page1_0_table_part_iii_0_row21_0_f1_43_0,text,1,"[424.800, 323.965, 576.000, 347.966]"
f1_44[0],topmostSubform[0].Page1[0].Table_PartIII[0].Row22[0].f1_44[0],page1_0_table_part_iii_0_row22_0_f1_44_0,text,1,"[158.400, 299.964, 280.050, 323.965]"
f1_45[0],topmostSubform[0].Page1[0].Table_PartIII[0].Row22[0].f1_45[0],page1_0_table_part_iii_0_row22_0_f1_45_0,text,1,"[280.800, 299.964, 424.050, 323.965]"
f1_46[0],topmostSubform[0].Page1[0].Table_PartIII[0].Row22[0].f1_46[0],page1_0_table_part_iii_0_row22_0_f1_46_0,text,1,"[424.800, 299.964, 576.000, 323.965]"
f1_47[0],topmostSubform[0].Page1[0].Table_PartIII[0].Row23[0].f1_47[0],page1_0_table_part_iii_0_row23_0_f1_47_0,text,1,"[158.400, 275.963, 280.050, 299.964]"
