old_field_name,old_full_name,semantic_field_name,field_type,pages_0_indexed,rect_first_occurrence
c1_1[0],topmostSubform[0].CopyA[0].c1_1[0],copy_a_0_c1_1_0,checkbox,1,"[187.200, 757.508, 197.200, 767.508]"
c1_1[1],topmostSubform[0].CopyA[0].c1_1[1],copy_a_0_c1_1_1,checkbox,1,"[244.800, 757.508, 254.800, 767.508]"
c1_2[0],topmostSubform[0].CopyA[0].LeftCol[0].c1_2[0],copy_a_0_left_col_0_c1_2_0,checkbox,1,"[282.700, 664.008, 290.700, 672.008]"
f1_1[0],topmostSubform[0].CopyA[0].LeftCol[0].f1_1[0],copy_a_0_left_col_0_f1_1_0,text,1,"[52.400, 684.008, 294.200, 732.007]"
f1_2[0],topmostSubform[0].CopyA[0].LeftCol[0].f1_2[0],copy_a_0_left_col_0_f1_2_0,text,1,"[50.400, 660.007, 172.800, 674.008]"
f1_3[0],topmostSubform[0].CopyA[0].LeftCol[0].f1_3[0],copy_a_0_left_col_0_f1_3_0,text,1,"[172.800, 660.007, 280.800, 674.008]"
f1_4[0],topmostSubform[0].CopyA[0].LeftCol[0].f1_4[0],copy_a_0_left_col_0_f1_4_0,text,1,"[52.400, 624.007, 294.200, 650.007]"
f1_5[0],topmostSubform[0].CopyA[0].LeftCol[0].f1_5[0],copy_a_0_left_col_0_f1_5_0,text,1,"[52.400, 600.006, 294.200, 614.007]"
f1_6[0],topmostSubform[0].CopyA[0].LeftCol[0].f1_6[0],copy_a_0_left_col_0_f1_6_0,text,1,"[52.400, 576.008, 294.200, 590.009]"
f1_7[0],topmostSubform[0].CopyA[0].LeftCol[0].f1_7[0],copy_a_0_left_col_0_f1_7_0,text,1,"[52.400, 552.007, 200.600, 566.008]"
f1_9[0],topmostSubform[0].CopyA[0].RightCol[0].Box4_ReadOrder[0].f1_9[0],copy_a_0_right_col_0_box4_read_order_0_f1_9_0,text,1,"[302.400, 624.010, 395.000, 636.009]"
f1_11[0],topmostSubform[0].CopyA[0].RightCol[0].Box6_ReadOrder[0].f1_11[0],copy_a_0_right_col_0_box6_read_order_0_f1_11_0,text,1,"[302.400, 576.008, 395.000, 588.007]"
c1_3[0],topmostSubform[0].CopyA[0].RightCol[0].c1_3[0],copy_a_0_right_col_0_c1_3_0,checkbox,1,"[484.300, 579.508, 492.300, 587.508]"
c1_4[0],topmostSubform[0].CopyA[0].RightCol[0].c1_4[0],copy_a_0_right_col_0_c1_4_0,checkbox,1,"[282.700, 556.008, 290.700, 564.008]"
c1_5[0],topmostSubform[0].CopyA[0].RightCol[0].c1_5[0],copy_a_0_right_col_0_c1_5_0,checkbox,1,"[383.500, 556.008, 391.500, 564.008]"
f1_8[0],topmostSubform[0].CopyA[0].RightCol[0].f1_8[0],copy_a_0_right_col_0_f1_8_0,text,1,"[302.400, 720.008, 395.000, 732.007]"
f1_10[0],topmostSubform[0].CopyA[0].RightCol[0].f1_10[0],copy_a_0_right_col_0_f1_10_0,text,1,"[403.200, 624.010, 495.800, 636.009]"
f1_12[0],topmostSubform[0].CopyA[0].RightCol[0].f1_12[0],copy_a_0_right_col_0_f1_12_0,text,1,"[403.200, 552.010, 495.800, 564.009]"
c2_1[0],topmostSubform[0].CopyB[0].c2_1[0],copy_b_0_c2_1_0,checkbox,2,"[244.800, 757.508, 254.800, 767.508]"
f2_1[0],topmostSubform[0].CopyB[0].LeftCol[0].f2_1[0],copy_b_0_left_col_0_f2_1_0,text,2,"[52.400, 684.008, 294.200, 732.007]"
f2_2[0],topmostSubform[0].CopyB[0].LeftCol[0].f2_2[0],copy_b_0_left_col_0_f2_2_0,text,2,"[50.400, 660.007, 172.800, 674.008]"
f2_3[0],topmostSubform[0].CopyB[0].LeftCol[0].f2_3[0],copy_b_0_left_col_0_f2_3_0,text,2,"[172.800, 660.007, 295.200, 674.008]"
f2_4[0],topmostSubform[0].CopyB[0].LeftCol[0].f2_4[0],copy_b_0_left_col_0_f2_4_0,text,2,"[52.400, 624.007, 294.200, 650.007]"
f2_5[0],topmostSubform[0].CopyB[0].LeftCol[0].f2_5[0],copy_b_0_left_col_0_f2_5_0,text,2,"[52.400, 600.006, 294.200, 614.007]"
f2_6[0],topmostSubform[0].CopyB[0].LeftCol[0].f2_6[0],copy_b_0_left_col_0_f2_6_0,text,2,"[52.400, 576.008, 294.200, 590.009]"
f2_7[0],topmostSubform[0].CopyB[0].LeftCol[0].f2_7[0],copy_b_0_left_col_0_f2_7_0,text,2,"[52.400, 552.007, 200.600, 566.008]"
f2_9[0],topmostSubform[0].CopyB[0].RightCol[0].Box4_ReadOrder[0].f2_9[0],copy_b_0_right_col_0_box4_read_order_0_f2_9_0,text,2,"[302.400, 624.010, 395.000, 636.009]"
f2_11[0],topmostSubform[0].CopyB[0].RightCol[0].Box6_ReadOrder[0].f2_11[0],copy_b_0_right_col_0_box6_read_order_0_f2_11_0,text,2,"[302.400, 576.008, 395.000, 588.007]"
c2_3[0],topmostSubform[0].CopyB[0].RightCol[0].c2_3[0],copy_b_0_right_col_0_c2_3_0,checkbox,2,"[484.300, 579.508, 492.300, 587.508]"
c2_4[0],topmostSubform[0].CopyB[0].RightCol[0].c2_4[0],copy_b_0_right_col_0_c2_4_0,checkbox,2,"[282.700, 556.008, 290.700, 564.008]"
c2_5[0],topmostSubform[0].CopyB[0].RightCol[0].c2_5[0],copy_b_0_right_col_0_c2_5_0,checkbox,2,"[383.500, 556.008, 391.500, 564.008]"
f2_8[0],topmostSubform[0].CopyB[0].RightCol[0].f2_8[0],copy_b_0_right_col_0_f2_8_0,text,2,"[302.400, 720.008, 395.000, 732.007]"
f2_10[0],topmostSubform[0].CopyB[0].RightCol[0].f2_10[0],copy_b_0_right_col_0_f2_10_0,text,2,"[403.200, 624.010, 495.800, 636.009]"
f2_12[0],topmostSubform[0].CopyB[0].RightCol[0].f2_12[0],copy_b_0_right_col_0_f2_12_0,text,2,"[403.200, 552.010, 495.800, 564.009]"
