old_field_name,old_full_name,semantic_field_name,field_type,pages_0_indexed,rect_first_occurrence
f2_9[0],topmostSubform[0].Copy1[0].Box14[0].f2_9[0],copy1_0_box14_0_f2_9_0,text,2,"[52.400, 432.000, 128.600, 443.999]"
f2_10[0],topmostSubform[0].Copy1[0].Box14[0].f2_10[0],copy1_0_box14_0_f2_10_0,text,2,"[52.400, 420.001, 128.600, 432.000]"
f2_11[0],topmostSubform[0].Copy1[0].Box15[0].f2_11[0],copy1_0_box15_0_f2_11_0,text,2,"[130.600, 432.000, 207.800, 443.999]"
f2_12[0],topmostSubform[0].Copy1[0].Box15[0].f2_12[0],copy1_0_box15_0_f2_12_0,text,2,"[130.600, 420.001, 207.800, 432.000]"
f2_13[0],topmostSubform[0].Copy1[0].Box16[0].f2_13[0],copy1_0_box16_0_f2_13_0,text,2,"[223.200, 432.000, 294.200, 443.999]"
f2_14[0],topmostSubform[0].Copy1[0].Box16[0].f2_14[0],copy1_0_box16_0_f2_14_0,text,2,"[223.200, 420.001, 294.200, 432.000]"
c2_1[0],topmostSubform[0].Copy1[0].Copy1Header[0].c2_1[0],copy1_0_copy1_header_0_c2_1_0,checkbox,2,"[187.200, 757.500, 197.200, 767.500]"
c2_1[1],topmostSubform[0].Copy1[0].Copy1Header[0].c2_1[1],copy1_0_copy1_header_0_c2_1_1,checkbox,2,"[244.800, 757.500, 254.800, 767.500]"
f2_1[0],topmostSubform[0].Copy1[0].LeftCol[0].f2_1[0],copy1_0_left_col_0_f2_1_0,text,2,"[52.400, 659.999, 294.200, 738.000]"
f2_2[0],topmostSubform[0].Copy1[0].LeftCol[0].f2_2[0],copy1_0_left_col_0_f2_2_0,text,2,"[52.400, 612.000, 179.000, 649.999]"
f2_3[0],topmostSubform[0].Copy1[0].LeftCol[0].f2_3[0],copy1_0_left_col_0_f2_3_0,text,2,"[181.000, 612.000, 294.200, 649.999]"
f2_4[0],topmostSubform[0].Copy1[0].LeftCol[0].f2_4[0],copy1_0_left_col_0_f2_4_0,text,2,"[52.400, 576.000, 294.200, 602.000]"
f2_5[0],topmostSubform[0].Copy1[0].LeftCol[0].f2_5[0],copy1_0_left_col_0_f2_5_0,text,2,"[52.400, 540.000, 294.200, 566.000]"
f2_6[0],topmostSubform[0].Copy1[0].LeftCol[0].f2_6[0],copy1_0_left_col_0_f2_6_0,text,2,"[52.400, 504.000, 294.200, 530.000]"
f2_7[0],topmostSubform[0].Copy1[0].LeftCol[0].f2_7[0],copy1_0_left_col_0_f2_7_0,text,2,"[52.400, 479.999, 294.200, 494.000]"
f2_8[0],topmostSubform[0].Copy1[0].LeftCol[0].f2_8[0],copy1_0_left_col_0_f2_8_0,text,2,"[52.400, 455.998, 222.200, 469.999]"
c2_3[0],topmostSubform[0].Copy1[0].LeftCol[0].FATCA[0].c2_3[0],copy1_0_left_col_0_fatca_0_c2_3_0,checkbox,2,"[275.599, 458.001, 283.599, 466.001]"
f2_19[0],topmostSubform[0].Copy1[0].RightCol[0].Box1d[0].f2_19[0],copy1_0_right_col_0_box1d_0_f2_19_0,text,2,"[309.600, 636.001, 395.000, 648.000]"
f2_21[0],topmostSubform[0].Copy1[0].RightCol[0].Box1f[0].f2_21[0],copy1_0_right_col_0_box1f_0_f2_21_0,text,2,"[309.600, 612.000, 395.000, 623.999]"
c2_4[0],topmostSubform[0].Copy1[0].RightCol[0].Box2[0].c2_4[0],copy1_0_right_col_0_box2_0_c2_4_0,checkbox,2,"[381.600, 602.001, 389.600, 610.001]"
c2_4[1],topmostSubform[0].Copy1[0].RightCol[0].Box2[0].c2_4[1],copy1_0_right_col_0_box2_0_c2_4_1,checkbox,2,"[381.600, 590.002, 389.600, 598.002]"
c2_4[2],topmostSubform[0].Copy1[0].RightCol[0].Box2[0].c2_4[2],copy1_0_right_col_0_box2_0_c2_4_2,checkbox,2,"[381.600, 578.000, 389.600, 586.000]"
f2_23[0],topmostSubform[0].Copy1[0].RightCol[0].Box4[0].f2_23[0],copy1_0_right_col_0_box4_0_f2_23_0,text,2,"[309.600, 552.002, 395.000, 564.001]"
c2_7[0],topmostSubform[0].Copy1[0].RightCol[0].Box6[0].c2_7[0],copy1_0_right_col_0_box6_0_c2_7_0,checkbox,2,"[381.600, 530.001, 389.600, 538.001]"
c2_7[1],topmostSubform[0].Copy1[0].RightCol[0].Box6[0].c2_7[1],copy1_0_right_col_0_box6_0_c2_7_1,checkbox,2,"[381.600, 518.002, 389.600, 526.002]"
f2_24[0],topmostSubform[0].Copy1[0].RightCol[0].Box8[0].f2_24[0],copy1_0_right_col_0_box8_0_f2_24_0,text,2,"[309.600, 480.002, 395.000, 492.001]"
f2_26[0],topmostSubform[0].Copy1[0].RightCol[0].Box10[0].f2_26[0],copy1_0_right_col_0_box10_0_f2_26_0,text,2,"[309.600, 444.002, 395.000, 456.001]"
c2_9[0],topmostSubform[0].Copy1[0].RightCol[0].Box12[0].c2_9[0],copy1_0_right_col_0_box12_0_c2_9_0,checkbox,2,"[376.399, 422.001, 384.399, 430.001]"
c2_5[0],topmostSubform[0].Copy1[0].RightCol[0].c2_5[0],copy1_0_right_col_0_c2_5_0,checkbox,2,"[482.400, 590.002, 490.400, 598.002]"
c2_5[1],topmostSubform[0].Copy1[0].RightCol[0].c2_5[1],copy1_0_right_col_0_c2_5_1,checkbox,2,"[482.400, 578.000, 490.400, 586.000]"
c2_6[0],topmostSubform[0].Copy1[0].RightCol[0].c2_6[0],copy1_0_right_col_0_c2_6_0,checkbox,2,"[477.199, 554.002, 485.199, 562.002]"
c2_8[0],topmostSubform[0].Copy1[0].RightCol[0].c2_8[0],copy1_0_right_col_0_c2_8_0,checkbox,2,"[477.199, 518.002, 485.199, 526.002]"
f2_15[0],topmostSubform[0].Copy1[0].RightCol[0].f2_15[0],copy1_0_right_col_0_f2_15_0,text,2,"[296.200, 708.001, 423.800, 746.000]"
f2_16[0],topmostSubform[0].Copy1[0].RightCol[0].f2_16[0],copy1_0_right_col_0_f2_16_0,text,2,"[296.200, 684.000, 576.000, 698.001]"
f2_17[0],topmostSubform[0].Copy1[0].RightCol[0].f2_17[0],copy1_0_right_col_0_f2_17_0,text,2,"[296.200, 659.999, 395.000, 674.000]"
f2_18[0],topmostSubform[0].Copy1[0].RightCol[0].f2_18[0],copy1_0_right_col_0_f2_18_0,text,2,"[397.000, 659.999, 495.800, 674.000]"
f2_20[0],topmostSubform[0].Copy1[0].RightCol[0].f2_20[0],copy1_0_right_col_0_f2_20_0,text,2,"[410.400, 636.001, 495.800, 648.000]"
f2_22[0],topmostSubform[0].Copy1[0].RightCol[0].f2_22[0],copy1_0_right_col_0_f2_22_0,text,2,"[410.400, 612.000, 495.800, 623.999]"
f2_25[0],topmostSubform[0].Copy1[0].RightCol[0].f2_25[0],copy1_0_right_col_0_f2_25_0,text,2,"[410.400, 480.002, 495.800, 492.001]"
f2_27[0],topmostSubform[0].Copy1[0].RightCol[0].f2_27[0],copy1_0_right_col_0_f2_27_0,text,2,"[410.400, 444.002, 495.800, 456.001]"
f2_28[0],topmostSubform[0].Copy1[0].RightCol[0].f2_28[0],copy1_0_right_col_0_f2_28_0,text,2,"[410.400, 420.001, 495.800, 432.000]"
f2_9[0],topmostSubform[0].Copy2[0].Box14_ReadOrder[0].f2_9[0],copy2_0_box14_read_order_0_f2_9_0,text,5,"[52.400, 432.000, 128.600, 443.999]"
f2_10[0],topmostSubform[0].Copy2[0].Box14_ReadOrder[0].f2_10[0],copy2_0_box14_read_order_0_f2_10_0,text,5,"[52.400, 420.001, 128.600, 432.000]"
f2_11[0],topmostSubform[0].Copy2[0].Box15_ReadOrder[0].f2_11[0],copy2_0_box15_read_order_0_f2_11_0,text,5,"[130.600, 432.000, 207.800, 443.999]"
f2_12[0],topmostSubform[0].Copy2[0].Box15_ReadOrder[0].f2_12[0],copy2_0_box15_read_order_0_f2_12_0,text,5,"[130.600, 420.001, 207.800, 432.000]"
f2_13[0],topmostSubform[0].Copy2[0].Box16_ReadOrder[0].f2_13[0],copy2_0_box16_read_order_0_f2_13_0,text,5,"[223.200, 432.000, 294.200, 443.999]"
f2_14[0],topmostSubform[0].Copy2[0].Box16_ReadOrder[0].f2_14[0],copy2_0_box16_read_order_0_f2_14_0,text,5,"[223.200, 420.001, 294.200, 432.000]"
c2_1[0],topmostSubform[0].Copy2[0].Copy2Header[0].c2_1[0],copy2_0_copy2_header_0_c2_1_0,checkbox,5,"[244.800, 757.500, 254.800, 767.500]"
f2_1[0],topmostSubform[0].Copy2[0].LeftCol_ReadOrder[0].f2_1[0],copy2_0_left_col_read_order_0_f2_1_0,text,5,"[52.400, 659.999, 294.200, 738.000]"
f2_2[0],topmostSubform[0].Copy2[0].LeftCol_ReadOrder[0].f2_2[0],copy2_0_left_col_read_order_0_f2_2_0,text,5,"[52.400, 612.000, 179.000, 649.999]"
f2_3[0],topmostSubform[0].Copy2[0].LeftCol_ReadOrder[0].f2_3[0],copy2_0_left_col_read_order_0_f2_3_0,text,5,"[181.000, 612.000, 294.200, 649.999]"
f2_4[0],topmostSubform[0].Copy2[0].LeftCol_ReadOrder[0].f2_4[0],copy2_0_left_col_read_order_0_f2_4_0,text,5,"[52.400, 576.000, 294.200, 602.000]"
f2_5[0],topmostSubform[0].Copy2[0].LeftCol_ReadOrder[0].f2_5[0],copy2_0_left_col_read_order_0_f2_5_0,text,5,"[52.400, 540.000, 294.200, 566.000]"
f2_6[0],topmostSubform[0].Copy2[0].LeftCol_ReadOrder[0].f2_6[0],copy2_0_left_col_read_order_0_f2_6_0,text,5,"[52.400, 504.000, 294.200, 530.000]"
f2_7[0],topmostSubform[0].Copy2[0].LeftCol_ReadOrder[0].f2_7[0],copy2_0_left_col_read_order_0_f2_7_0,text,5,"[52.400, 479.999, 294.200, 494.000]"
f2_8[0],topmostSubform[0].Copy2[0].LeftCol_ReadOrder[0].f2_8[0],copy2_0_left_col_read_order_0_f2_8_0,text,5,"[52.400, 455.998, 222.200, 469.999]"
c2_3[0],topmostSubform[0].Copy2[0].LeftCol_ReadOrder[0].FATCA[0].c2_3[0],copy2_0_left_col_read_order_0_fatca_0_c2_3_0,checkbox,5,"[275.599, 458.001, 283.599, 466.001]"
f2_19[0],topmostSubform[0].Copy2[0].RightCol_ReadOrder[0].Box1d_ReadOrder[0].f2_19[0],copy2_0_right_col_read_order_0_box1d_read_order_0_f2_19_0,text,5,"[309.600, 636.001, 395.000, 648.000]"
f2_21[0],topmostSubform[0].Copy2[0].RightCol_ReadOrder[0].Box1f_ReadOrder[0].f2_21[0],copy2_0_right_col_read_order_0_box1f_read_order_0_f2_21_0,text,5,"[309.600, 612.000, 395.000, 623.999]"
c2_4[0],topmostSubform[0].Copy2[0].RightCol_ReadOrder[0].Box2_ReadOrder[0].c2_4[0],copy2_0_right_col_read_order_0_box2_read_order_0_c2_4_0,checkbox,5,"[381.600, 602.001, 389.600, 610.001]"
c2_4[1],topmostSubform[0].Copy2[0].RightCol_ReadOrder[0].Box2_ReadOrder[0].c2_4[1],copy2_0_right_col_read_order_0_box2_read_order_0_c2_4_1,checkbox,5,"[381.600, 590.002, 389.600, 598.002]"
c2_4[2],topmostSubform[0].Copy2[0].RightCol_ReadOrder[0].Box2_ReadOrder[0].c2_4[2],copy2_0_right_col_read_order_0_box2_read_order_0_c2_4_2,checkbox,5,"[381.600, 578.000, 389.600, 586.000]"
f2_23[0],topmostSubform[0].Copy2[0].RightCol_ReadOrder[0].Box4_ReadOrder[0].f2_23[0],copy2_0_right_col_read_order_0_box4_read_order_0_f2_23_0,text,5,"[309.600, 552.002, 395.000, 564.001]"
c2_7[0],topmostSubform[0].Copy2[0].RightCol_ReadOrder[0].Box6_ReadOrder[0].c2_7[0],copy2_0_right_col_read_order_0_box6_read_order_0_c2_7_0,checkbox,5,"[381.600, 530.001, 389.600, 538.001]"
c2_7[1],topmostSubform[0].Copy2[0].RightCol_ReadOrder[0].Box6_ReadOrder[0].c2_7[1],copy2_0_right_col_read_order_0_box6_read_order_0_c2_7_1,checkbox,5,"[381.600, 518.002, 389.600, 526.002]"
f2_24[0],topmostSubform[0].Copy2[0].RightCol_ReadOrder[0].Box8_ReadOrder[0].f2_24[0],copy2_0_right_col_read_order_0_box8_read_order_0_f2_24_0,text,5,"[309.600, 480.002, 395.000, 492.001]"
f2_26[0],topmostSubform[0].Copy2[0].RightCol_ReadOrder[0].Box10_ReadOrder[0].f2_26[0],copy2_0_right_col_read_order_0_box10_read_order_0_f2_26_0,text,5,"[309.600, 444.002, 395.000, 456.001]"
c2_9[0],topmostSubform[0].Copy2[0].RightCol_ReadOrder[0].Box12_ReadOrder[0].c2_9[0],copy2_0_right_col_read_order_0_box12_read_order_0_c2_9_0,checkbox,5,"[376.399, 422.001, 384.399, 430.001]"
c2_5[0],topmostSubform[0].Copy2[0].RightCol_ReadOrder[0].c2_5[0],copy2_0_right_col_read_order_0_c2_5_0,checkbox,5,"[482.400, 590.002, 490.400, 598.002]"
c2_5[1],topmostSubform[0].Copy2[0].RightCol_ReadOrder[0].c2_5[1],copy2_0_right_col_read_order_0_c2_5_1,checkbox,5,"[482.400, 578.000, 490.400, 586.000]"
c2_6[0],topmostSubform[0].Copy2[0].RightCol_ReadOrder[0].c2_6[0],copy2_0_right_col_read_order_0_c2_6_0,checkbox,5,"[477.199, 554.002, 485.199, 562.002]"
c2_8[0],topmostSubform[0].Copy2[0].RightCol_ReadOrder[0].c2_8[0],copy2_0_right_col_read_order_0_c2_8_0,checkbox,5,"[477.199, 518.002, 485.199, 526.002]"
f2_15[0],topmostSubform[0].Copy2[0].RightCol_ReadOrder[0].f2_15[0],copy2_0_right_col_read_order_0_f2_15_0,text,5,"[296.200, 708.001, 423.800, 746.000]"
f2_16[0],topmostSubform[0].Copy2[0].RightCol_ReadOrder[0].f2_16[0],copy2_0_right_col_read_order_0_f2_16_0,text,5,"[296.200, 684.000, 576.000, 698.001]"
f2_17[0],topmostSubform[0].Copy2[0].RightCol_ReadOrder[0].f2_17[0],copy2_0_right_col_read_order_0_f2_17_0,text,5,"[296.200, 659.999, 395.000, 674.000]"
f2_18[0],topmostSubform[0].Copy2[0].RightCol_ReadOrder[0].f2_18[0],copy2_0_right_col_read_order_0_f2_18_0,text,5,"[397.000, 659.999, 495.800, 674.000]"
f2_20[0],topmostSubform[0].Copy2[0].RightCol_ReadOrder[0].f2_20[0],copy2_0_right_col_read_order_0_f2_20_0,text,5,"[410.400, 636.001, 495.800, 648.000]"
f2_22[0],topmostSubform[0].Copy2[0].RightCol_ReadOrder[0].f2_22[0],copy2_0_right_col_read_order_0_f2_22_0,text,5,"[410.400, 612.000, 495.800, 623.999]"
