old_field_name,old_full_name,semantic_field_name,field_type,pages_0_indexed,rect_first_occurrence
c1_1[0],topmostSubform[0].CopyA[0].CopyHeader[0].c1_1[0],copy_a_0_copy_header_0_c1_1_0,checkbox,0,"[187.200, 757.500, 196.200, 766.500]"
c1_1[1],topmostSubform[0].CopyA[0].CopyHeader[0].c1_1[1],copy_a_0_copy_header_0_c1_1_1,checkbox,0,"[244.800, 757.500, 253.800, 766.500]"
f1_1[0],topmostSubform[0].CopyA[0].CopyHeader[0].CalendarYear[0].f1_1[0],copy_a_0_copy_header_0_calendar_year_0_f1_1_0,text,0,"[417.600, 687.000, 446.400, 695.999]"
f1_2[0],topmostSubform[0].CopyA[0].LeftColumn[0].f1_2[0],copy_a_0_left_column_0_f1_2_0,text,0,"[52.400, 684.000, 294.450, 732.000]"
f1_3[0],topmostSubform[0].CopyA[0].LeftColumn[0].f1_3[0],copy_a_0_left_column_0_f1_3_0,text,0,"[50.400, 659.999, 172.800, 674.000]"
f1_4[0],topmostSubform[0].CopyA[0].LeftColumn[0].f1_4[0],copy_a_0_left_column_0_f1_4_0,text,0,"[172.800, 659.999, 295.200, 674.000]"
f1_5[0],topmostSubform[0].CopyA[0].LeftColumn[0].f1_5[0],copy_a_0_left_column_0_f1_5_0,text,0,"[52.400, 623.999, 294.450, 649.999]"
f1_6[0],topmostSubform[0].CopyA[0].LeftColumn[0].f1_6[0],copy_a_0_left_column_0_f1_6_0,text,0,"[52.400, 599.998, 294.450, 613.999]"
f1_7[0],topmostSubform[0].CopyA[0].LeftColumn[0].f1_7[0],copy_a_0_left_column_0_f1_7_0,text,0,"[52.400, 576.000, 294.450, 590.001]"
f1_8[0],topmostSubform[0].CopyA[0].LeftColumn[0].f1_8[0],copy_a_0_left_column_0_f1_8_0,text,0,"[50.400, 551.999, 295.200, 566.000]"
f1_9[0],topmostSubform[0].CopyA[0].RightColumn[0].f1_9[0],copy_a_0_right_column_0_f1_9_0,text,0,"[295.200, 720.000, 396.000, 732.000]"
f1_10[0],topmostSubform[0].CopyA[0].RightColumn[0].f1_10[0],copy_a_0_right_column_0_f1_10_0,text,0,"[309.600, 684.000, 395.000, 695.999]"
f1_11[0],topmostSubform[0].CopyA[0].RightColumn[0].f1_11[0],copy_a_0_right_column_0_f1_11_0,text,0,"[295.200, 659.999, 396.000, 674.000]"
f1_12[0],topmostSubform[0].CopyA[0].RightColumn[0].f1_12[0],copy_a_0_right_column_0_f1_12_0,text,0,"[398.000, 659.999, 496.050, 674.000]"
f1_13[0],topmostSubform[0].CopyA[0].RightColumn[0].f1_13[0],copy_a_0_right_column_0_f1_13_0,text,0,"[295.200, 576.000, 495.800, 602.000]"
c1_1[0],topmostSubform[0].CopyB[0].CopyHeader[0].c1_1[0],copy_b_0_copy_header_0_c1_1_0,checkbox,1,"[244.800, 757.000, 254.800, 767.000]"
f1_1[0],topmostSubform[0].CopyB[0].CopyHeader[0].CalendarYear[0].f1_1[0],copy_b_0_copy_header_0_calendar_year_0_f1_1_0,text,1,"[417.600, 687.000, 446.400, 695.999]"
f1_2[0],topmostSubform[0].CopyB[0].LeftColumn[0].f1_2[0],copy_b_0_left_column_0_f1_2_0,text,1,"[52.400, 684.000, 294.450, 732.000]"
f1_3[0],topmostSubform[0].CopyB[0].LeftColumn[0].f1_3[0],copy_b_0_left_column_0_f1_3_0,text,1,"[50.400, 659.999, 172.800, 674.000]"
f1_4[0],topmostSubform[0].CopyB[0].LeftColumn[0].f1_4[0],copy_b_0_left_column_0_f1_4_0,text,1,"[172.800, 659.999, 295.200, 674.000]"
f1_5[0],topmostSubform[0].CopyB[0].LeftColumn[0].f1_5[0],copy_b_0_left_column_0_f1_5_0,text,1,"[52.400, 623.999, 294.450, 649.999]"
f1_6[0],topmostSubform[0].CopyB[0].LeftColumn[0].f1_6[0],copy_b_0_left_column_0_f1_6_0,text,1,"[52.400, 599.998, 294.450, 613.999]"
f1_7[0],topmostSubform[0].CopyB[0].LeftColumn[0].f1_7[0],copy_b_0_left_column_0_f1_7_0,text,1,"[52.400, 576.000, 294.450, 590.001]"
f1_8[0],topmostSubform[0].CopyB[0].LeftColumn[0].f1_8[0],copy_b_0_left_column_0_f1_8_0,text,1,"[50.400, 551.999, 295.200, 566.000]"
f1_9[0],topmostSubform[0].CopyB[0].RightColumn[0].f1_9[0],copy_b_0_right_column_0_f1_9_0,text,1,"[295.200, 720.000, 396.000, 732.000]"
f1_10[0],topmostSubform[0].CopyB[0].RightColumn[0].f1_10[0],copy_b_0_right_column_0_f1_10_0,text,1,"[307.200, 684.000, 395.000, 695.999]"
f1_11[0],topmostSubform[0].CopyB[0].RightColumn[0].f1_11[0],copy_b_0_right_column_0_f1_11_0,text,1,"[295.200, 659.999, 396.000, 674.000]"
f1_12[0],topmostSubform[0].CopyB[0].RightColumn[0].f1_12[0],copy_b_0_right_column_0_f1_12_0,text,1,"[398.000, 659.999, 496.050, 674.000]"
f1_13[0],topmostSubform[0].CopyB[0].RightColumn[0].f1_13[0],copy_b_0_right_column_0_f1_13_0,text,1,"[295.200, 576.000, 495.800, 602.000]"
