old_field_name,semantic_field_name,field_type,pages_0_indexed,rect_first_occurrence
c1_1[0],copyA_void_checkbox,checkbox,"1","[187.200, 757.500, 197.200, 767.500]"
c1_1[1],copyA_corrected_checkbox,checkbox,"1","[244.800, 757.500, 254.800, 767.500]"
c1_2[0],copyA_box2_basis_reported_to_irs,checkbox,"1","[376.399, 488.500, 384.399, 496.500]"
c1_3[0],copyA_box3a_reported_to_irs_gross_proceeds,checkbox,"1","[410.400, 500.502, 418.400, 508.502]"
c1_3[1],copyA_box3a_reported_to_irs_net_proceeds,checkbox,"1","[410.400, 488.500, 418.400, 496.500]"
c1_4[0],copyA_box3b_reserved_for_future_use,checkbox,"1","[302.400, 464.502, 310.400, 472.502]"
c1_4[1],copyA_box3b_qof,checkbox,"1","[302.400, 452.500, 310.400, 460.500]"
c1_5[0],copyA_box5_loss_not_allowed_based_on_amount_in_1f,checkbox,"1","[109.999, 410.502, 117.999, 418.502]"
c1_6[0],copyA_box6_short_term,checkbox,"1","[144.000, 422.501, 152.000, 430.501]"
c1_6[1],copyA_box6_long_term,checkbox,"1","[144.000, 410.502, 152.000, 418.502]"
c1_6[2],copyA_box6_ordinary,checkbox,"1","[216.000, 422.501, 224.000, 430.501]"
c1_7[0],copyA_box7_check_if_1f_is_only_cash,checkbox,"1","[376.399, 410.502, 384.399, 418.502]"
c1_8[0],copyA_box8_broker_relied_on_customer_provided_acquisition_information,checkbox,"1","[477.199, 410.502, 485.199, 418.502]"
c1_9[0],copyA_box9_digital_asset_is_noncovered_security,checkbox,"1","[109.999, 356.502, 117.999, 364.502]"
c1_11a[0],copyA_box11a_qualifying_stablecoins,checkbox,"1","[403.200, 368.501, 411.200, 376.501]"
c1_11a[1],copyA_box11a_specified_nfts,checkbox,"1","[403.200, 356.502, 411.200, 364.502]"
f1_1[0],copyA_filer_name,text,"1","[52.400, 720.000, 294.450, 746.000]"
f1_2[0],copyA_filer_street_address,text,"1","[52.400, 695.999, 208.050, 710.000]"
f1_3[0],copyA_filer_room_or_suite_no,text,"1","[209.800, 695.999, 294.450, 710.000]"
f1_4[0],copyA_filer_city_or_town,text,"1","[52.400, 671.998, 208.050, 685.999]"
f1_5[0],copyA_filer_telephone_number,text,"1","[209.800, 671.998, 294.450, 685.999]"
f1_6[0],copyA_filer_state_or_province,text,"1","[52.400, 648.000, 172.050, 662.001]"
f1_7[0],copyA_filer_country,text,"1","[173.800, 648.000, 208.050, 662.001]"
f1_8[0],copyA_filer_zip_or_foreign_postal_code,text,"1","[209.800, 648.000, 294.450, 662.001]"
f1_9[0],copyA_filer_tin,text,"1","[52.400, 612.000, 172.050, 624.000]"
f1_10[0],copyA_recipient_tin,text,"1","[173.800, 612.000, 294.450, 624.000]"
f1_11[0],copyA_recipient_name,text,"1","[52.400, 576.000, 294.450, 602.000]"
f1_12[0],copyA_recipient_street_address,text,"1","[52.400, 551.999, 244.050, 566.000]"
f1_13[0],copyA_recipient_apt_no,text,"1","[245.800, 551.999, 294.450, 566.000]"
f1_14[0],copyA_recipient_city_or_town,text,"1","[52.400, 527.998, 294.450, 541.999]"
f1_15[0],copyA_recipient_state_or_province,text,"1","[52.400, 504.000, 172.050, 518.001]"
f1_16[0],copyA_recipient_country,text,"1","[173.800, 504.000, 208.050, 518.001]"
f1_17[0],copyA_recipient_zip_or_foreign_postal_code,text,"1","[209.800, 504.000, 294.450, 518.001]"
f1_18[0],copyA_account_number,text,"1","[52.400, 479.999, 294.450, 494.000]"
f1_19[0],copyA_cusip_number,text,"1","[52.400, 450.000, 294.450, 469.999]"
f1_20[0],copyA_box1a_code_for_digital_asset,text,"1","[296.200, 708.001, 424.050, 746.000]"
f1_21[0],copyA_box1b_name_of_digital_asset,text,"1","[296.200, 684.000, 496.050, 698.001]"
f1_22[0],copyA_box1c_number_of_units,text,"1","[296.200, 648.000, 496.050, 674.000]"
f1_23[0],copyA_box1d_and_1e_dates,text,"1","[296.200, 612.000, 496.050, 624.000]"
f1_24[0],copyA_box1d_date_acquired,text,"1","[296.200, 576.000, 395.250, 588.000]"
f1_25[0],copyA_box1e_date_sold_or_disposed,text,"1","[397.000, 576.000, 496.050, 588.000]"
f1_26[0],copyA_box1f_proceeds,text,"1","[305.200, 552.002, 395.000, 564.001]"
f1_27[0],copyA_box1g_cost_or_other_basis,text,"1","[406.000, 552.002, 495.800, 564.001]"
f1_28[0],copyA_box1h_accrued_market_discount,text,"1","[305.200, 528.001, 395.000, 540.000]"
f1_29[0],copyA_box1i_wash_sale_loss_disallowed,text,"1","[406.000, 528.001, 495.800, 540.000]"
f1_30[0],copyA_box4_federal_income_tax_withheld,text,"1","[406.000, 450.000, 495.800, 461.999]"
f1_31[0],copyA_box11b_number_of_transactions,text,"1","[52.400, 306.000, 128.850, 317.999]"
f1_32[0],copyA_box11c_aggregate_gross_proceeds_of_specified_nfts,text,"1","[139.600, 306.000, 265.400, 317.999]"
f1_33[0],copyA_box12a_number_of_units_transferred_in_1,text,"1","[267.400, 330.001, 395.000, 342.000]"
f1_34[0],copyA_box12a_number_of_units_transferred_in_2,text,"1","[267.400, 318.002, 395.000, 330.001]"
f1_35[0],copyA_box12a_number_of_units_transferred_in_3,text,"1","[267.400, 306.000, 395.000, 317.999]"
f1_36[0],copyA_box12b_transfer_in_date,text,"1","[397.000, 306.000, 496.050, 317.999]"
f1_37[0],copyA_box14_state_name_1,text,"1","[52.400, 282.002, 229.400, 294.001]"
f1_38[0],copyA_box14_state_name_2,text,"1","[52.400, 270.000, 229.400, 281.999]"
f1_39[0],copyA_box15_state_identification_no_1,text,"1","[231.400, 282.002, 409.400, 294.001]"
f1_40[0],copyA_box15_state_identification_no_2,text,"1","[231.400, 270.000, 409.400, 281.999]"
f1_41[0],copyA_box16_state_tax_withheld_1,text,"1","[417.600, 282.002, 576.000, 294.001]"
f1_42[0],copyA_box16_state_tax_withheld_2,text,"1","[417.600, 270.000, 576.000, 281.999]"
c2_1[0],copyOther_void_checkbox,checkbox,"2,3,5","[187.200, 757.500, 197.200, 767.500]"
c2_1[1],copyOther_corrected_checkbox,checkbox,"2","[244.800, 757.500, 254.800, 767.500]"
c2_2[0],copyOther_box2_basis_reported_to_irs,checkbox,"2,3,5","[376.399, 488.500, 384.399, 496.500]"
c2_3[0],copyOther_box3a_reported_to_irs_gross_proceeds,checkbox,"2,3,5","[410.400, 500.502, 418.400, 508.502]"
c2_3[1],copyOther_box3a_reported_to_irs_net_proceeds,checkbox,"2,3,5","[410.400, 488.500, 418.400, 496.500]"
c2_4[0],copyOther_box3b_reserved_for_future_use,checkbox,"2,3,5","[302.400, 464.502, 310.400, 472.502]"
c2_4[1],copyOther_box3b_qof,checkbox,"2,3,5","[302.400, 452.500, 310.400, 460.500]"
c2_5[0],copyOther_box5_loss_not_allowed_based_on_amount_in_1f,checkbox,"2,3,5","[109.999, 410.502, 117.999, 418.502]"
c2_6[0],copyOther_box6_short_term,checkbox,"2,3,5","[144.000, 422.501, 152.000, 430.501]"
c2_6[1],copyOther_box6_long_term,checkbox,"2,3,5","[144.000, 410.502, 152.000, 418.502]"
c2_6[2],copyOther_box6_ordinary,checkbox,"2,3,5","[216.000, 422.501, 224.000, 430.501]"
c2_7[0],copyOther_box7_check_if_1f_is_only_cash,checkbox,"2,3,5","[376.399, 410.502, 384.399, 418.502]"
c2_8[0],copyOther_box8_broker_relied_on_customer_provided_acquisition_information,checkbox,"2,3,5","[477.199, 410.502, 485.199, 418.502]"
c2_9[0],copyOther_box9_digital_asset_is_noncovered_security,checkbox,"2,3,5","[109.999, 356.502, 117.999, 364.502]"
c2_11a[0],copyOther_box11a_qualifying_stablecoins,checkbox,"2,3,5","[403.200, 368.501, 411.200, 376.501]"
c2_11a[1],copyOther_box11a_specified_nfts,checkbox,"2,3,5","[403.200, 356.502, 411.200, 364.502]"
f2_1[0],copyOther_filer_name,text,"2,3,5","[52.400, 720.000, 294.450, 746.000]"
f2_2[0],copyOther_filer_street_address,text,"2,3,5","[52.400, 695.999, 208.050, 710.000]"
f2_3[0],copyOther_filer_room_or_suite_no,text,"2,3,5","[209.800, 695.999, 294.450, 710.000]"
f2_4[0],copyOther_filer_city_or_town,text,"2,3,5","[52.400, 671.998, 208.050, 685.999]"
f2_5[0],copyOther_filer_telephone_number,text,"2,3,5","[209.800, 671.998, 294.450, 685.999]"
f2_6[0],copyOther_filer_state_or_province,text,"2,3,5","[52.400, 648.000, 172.050, 662.001]"
f2_7[0],copyOther_filer_country,text,"2,3,5","[173.800, 648.000, 208.050, 662.001]"
f2_8[0],copyOther_filer_zip_or_foreign_postal_code,text,"2,3,5","[209.800, 648.000, 294.450, 662.001]"
f2_9[0],copyOther_filer_tin,text,"2,3,5","[52.400, 612.000, 172.050, 624.000]"
f2_10[0],copyOther_recipient_tin,text,"2,3,5","[173.800, 612.000, 294.450, 624.000]"
f2_11[0],copyOther_recipient_name,text,"2,3,5","[52.400, 576.000, 294.450, 602.000]"
f2_12[0],copyOther_recipient_street_address,text,"2,3,5","[52.400, 551.999, 244.050, 566.000]"
