old_field_name,semantic_field_name,field_type,pages_0_indexed,rect_first_occurrence
c1_1[0],copyA_void_checkbox,checkbox,"1","[187.200, 758.000, 196.200, 767.000]"
c1_1[1],copyA_corrected_checkbox,checkbox,"1","[244.800, 758.000, 253.800, 767.000]"
c1_3[0],copyA_box11_fatca_filing_requirement_checkbox,checkbox,"1","[262.199, 472.658, 271.199, 481.658]"
c1_4[0],copyA_second_tin_notified_checkbox,checkbox,"1","[262.199, 445.502, 271.199, 454.502]"
f1_1[0],copyA_calendar_year,text,"1","[417.600, 686.000, 446.400, 695.999]"
f1_2[0],copyA_payer_name_address_phone,text,"1","[52.400, 659.999, 294.450, 736.000]"
f1_3[0],copyA_payer_tin,text,"1","[50.400, 612.000, 172.800, 647.999]"
f1_4[0],copyA_recipient_tin,text,"1","[172.800, 612.000, 295.200, 647.999]"
f1_5[0],copyA_recipient_name,text,"1","[52.400, 576.000, 294.450, 602.000]"
f1_6[0],copyA_recipient_street_address,text,"1","[52.400, 540.000, 294.450, 566.000]"
f1_7[0],copyA_recipient_city_state_zip,text,"1","[52.400, 504.000, 294.450, 530.000]"
f1_8[0],copyA_account_number,text,"1","[50.400, 432.000, 237.600, 458.000]"
f1_9[0],copyA_box1a_total_ordinary_dividends,text,"1","[305.200, 720.000, 395.000, 731.999]"
f1_10[0],copyA_box1b_qualified_dividends,text,"1","[305.200, 684.000, 395.000, 695.999]"
f1_11[0],copyA_box2a_total_capital_gain_distributions,text,"1","[305.200, 660.002, 395.000, 672.001]"
f1_12[0],copyA_box2b_unrecaptured_section_1250_gain,text,"1","[406.000, 660.002, 495.800, 672.001]"
f1_13[0],copyA_box2c_section_1202_gain,text,"1","[305.200, 636.001, 395.000, 648.000]"
f1_14[0],copyA_box2d_collectibles_28_percent_gain,text,"1","[406.000, 636.001, 495.800, 648.000]"
f1_15[0],copyA_box2e_section_897_ordinary_dividends,text,"1","[305.200, 612.000, 395.000, 623.999]"
f1_16[0],copyA_box2f_section_897_capital_gain,text,"1","[406.000, 612.000, 495.800, 623.999]"
f1_17[0],copyA_box3_nondividend_distributions,text,"1","[305.200, 588.002, 395.000, 600.001]"
f1_18[0],copyA_box4_federal_income_tax_withheld,text,"1","[406.000, 588.002, 495.800, 600.001]"
f1_19[0],copyA_box5_section_199a_dividends,text,"1","[305.200, 564.001, 395.000, 576.000]"
f1_20[0],copyA_box6_investment_expenses,text,"1","[406.000, 564.001, 495.800, 576.000]"
f1_21[0],copyA_box7_foreign_tax_paid,text,"1","[305.200, 528.001, 395.000, 540.000]"
f1_22[0],copyA_box8_foreign_country_or_us_possession,text,"1","[398.000, 528.001, 496.050, 540.000]"
f1_23[0],copyA_box9_cash_liquidation_distributions,text,"1","[305.200, 504.000, 395.000, 515.999]"
f1_24[0],copyA_box10_noncash_liquidation_distributions,text,"1","[406.000, 504.000, 495.800, 515.999]"
f1_25[0],copyA_box12_exempt_interest_dividends,text,"1","[305.200, 468.000, 395.000, 479.999]"
f1_26[0],copyA_box13_specified_private_activity_bond_interest_dividends,text,"1","[406.000, 468.000, 495.800, 479.999]"
f1_27[0],copyA_box14_state_1,text,"1","[295.200, 443.999, 331.200, 458.000]"
f1_28[0],copyA_box14_state_2,text,"1","[295.200, 432.000, 331.200, 443.999]"
f1_29[0],copyA_box15_state_identification_no_1,text,"1","[331.200, 443.999, 396.000, 458.000]"
f1_30[0],copyA_box15_state_identification_no_2,text,"1","[331.200, 432.000, 396.000, 443.999]"
f1_31[0],copyA_box16_state_tax_withheld_1,text,"1","[406.000, 444.002, 495.800, 456.001]"
f1_32[0],copyA_box16_state_tax_withheld_2,text,"1","[406.000, 432.000, 495.800, 443.999]"
c2_1[0],copyOther_void_checkbox,checkbox,"2,3,5","[187.200, 758.000, 196.200, 767.000]"
c2_1[1],copyOther_corrected_checkbox,checkbox,"2,5","[244.800, 758.000, 253.800, 767.000]"
c2_3[0],copyOther_box11_fatca_filing_requirement_checkbox,checkbox,"2,3,5","[262.199, 472.658, 271.199, 481.658]"
f2_1[0],copyOther_calendar_year,text,"2,3,5","[417.600, 686.000, 446.400, 695.999]"
f2_2[0],copyOther_payer_name_address_phone,text,"2,3,5","[52.400, 659.999, 294.450, 736.000]"
f2_3[0],copyOther_payer_tin,text,"2,3,5","[50.400, 612.000, 172.800, 649.999]"
f2_4[0],copyOther_recipient_tin,text,"2,3,5","[172.800, 612.000, 295.200, 649.999]"
f2_5[0],copyOther_recipient_name,text,"2,3,5","[52.400, 576.000, 294.450, 602.000]"
f2_6[0],copyOther_recipient_street_address,text,"2,3,5","[52.400, 540.000, 294.450, 566.000]"
f2_7[0],copyOther_recipient_city_state_zip,text,"2,3,5","[52.400, 504.000, 294.450, 530.000]"
f2_8[0],copyOther_account_number,text,"2,3,5","[50.400, 432.000, 295.200, 458.000]"
f2_9[0],copyOther_box1a_total_ordinary_dividends,text,"2,3,5","[305.200, 720.000, 395.000, 731.999]"
f2_10[0],copyOther_box1b_qualified_dividends,text,"2,3,5","[305.200, 684.000, 395.000, 695.999]"
f2_11[0],copyOther_box2a_total_capital_gain_distributions,text,"2,3,5","[305.200, 660.002, 395.000, 672.001]"
f2_12[0],copyOther_box2b_unrecaptured_section_1250_gain,text,"2,3,5","[406.000, 660.002, 495.800, 672.001]"
f2_13[0],copyOther_box2c_section_1202_gain,text,"2,3,5","[305.200, 636.001, 395.000, 648.000]"
f2_14[0],copyOther_box2d_collectibles_28_percent_gain,text,"2,3,5","[406.000, 636.001, 495.800, 648.000]"
f2_15[0],copyOther_box2e_section_897_ordinary_dividends,text,"2,3,5","[305.200, 612.000, 395.000, 623.999]"
f2_16[0],copyOther_box2f_section_897_capital_gain,text,"2,3,5","[406.000, 612.000, 495.800, 623.999]"
f2_17[0],copyOther_box3_nondividend_distributions,text,"2,3,5","[305.200, 588.002, 395.000, 600.001]"
f2_18[0],copyOther_box4_federal_income_tax_withheld,text,"2,3,5","[406.000, 588.002, 495.800, 600.001]"
f2_19[0],copyOther_box5_section_199a_dividends,text,"2,3,5","[305.200, 564.001, 395.000, 576.000]"
f2_20[0],copyOther_box6_investment_expenses,text,"2,3,5","[406.000, 564.001, 495.800, 576.000]"
f2_21[0],copyOther_box7_foreign_tax_paid,text,"2,3,5","[305.200, 528.001, 395.000, 540.000]"
f2_22[0],copyOther_box8_foreign_country_or_us_possession,text,"2,3,5","[398.000, 528.001, 496.050, 540.000]"
f2_23[0],copyOther_box9_cash_liquidation_distributions,text,"2,3,5","[305.200, 504.000, 395.000, 515.999]"
f2_24[0],copyOther_box10_noncash_liquidation_distributions,text,"2,3,5","[406.000, 504.000, 495.800, 515.999]"
f2_25[0],copyOther_box12_exempt_interest_dividends,text,"2,3,5","[305.200, 468.000, 395.000, 479.999]"
f2_26[0],copyOther_box13_specified_private_activity_bond_interest_dividends,text,"2,3,5","[406.000, 468.000, 495.800, 479.999]"
f2_27[0],copyOther_box14_state_1,text,"2,3,5","[295.200, 443.999, 331.200, 458.000]"
f2_28[0],copyOther_box14_state_2,text,"2,3,5","[295.200, 432.000, 331.200, 443.999]"
f2_29[0],copyOther_box15_state_identification_no_1,text,"2,3,5","[331.200, 443.999, 396.000, 458.000]"
f2_30[0],copyOther_box15_state_identification_no_2,text,"2,3,5","[331.200, 432.000, 396.000, 443.999]"
f2_31[0],copyOther_box16_state_tax_withheld_1,text,"2,3,5","[406.000, 444.002, 495.800, 456.001]"
f2_32[0],copyOther_box16_state_tax_withheld_2,text,"2,3,5","[406.000, 432.000, 495.800, 443.999]"
