old_field_name,old_full_name,semantic_field_name,field_type,pages_0_indexed,rect_first_occurrence
c2_1[0],topmostSubform[0].Copy1[0].CopyHeader[0].c2_1[0],copy1_0_copy_header_0_c2_1_0,checkbox,2,"[187.200, 757.508, 197.200, 767.508]"
c2_1[1],topmostSubform[0].Copy1[0].CopyHeader[0].c2_1[1],copy1_0_copy_header_0_c2_1_1,checkbox,2,"[244.800, 757.508, 254.800, 767.508]"
f2_1[0],topmostSubform[0].Copy1[0].CopyHeader[0].CalendarYear[0].f2_1[0],copy1_0_copy_header_0_calendar_year_0_f2_1_0,text,2,"[417.600, 687.008, 446.400, 696.007]"
f2_2[0],topmostSubform[0].Copy1[0].LeftColumn[0].f2_2[0],copy1_0_left_column_0_f2_2_0,text,2,"[52.400, 684.008, 294.200, 736.008]"
f2_3[0],topmostSubform[0].Copy1[0].LeftColumn[0].f2_3[0],copy1_0_left_column_0_f2_3_0,text,2,"[50.400, 660.007, 172.800, 674.008]"
f2_4[0],topmostSubform[0].Copy1[0].LeftColumn[0].f2_4[0],copy1_0_left_column_0_f2_4_0,text,2,"[172.800, 660.007, 295.200, 674.008]"
f2_5[0],topmostSubform[0].Copy1[0].LeftColumn[0].f2_5[0],copy1_0_left_column_0_f2_5_0,text,2,"[52.400, 624.007, 294.200, 650.007]"
f2_6[0],topmostSubform[0].Copy1[0].LeftColumn[0].f2_6[0],copy1_0_left_column_0_f2_6_0,text,2,"[52.400, 600.006, 294.200, 614.007]"
f2_7[0],topmostSubform[0].Copy1[0].LeftColumn[0].f2_7[0],copy1_0_left_column_0_f2_7_0,text,2,"[52.400, 576.008, 294.200, 590.009]"
f2_8[0],topmostSubform[0].Copy1[0].LeftColumn[0].f2_8[0],copy1_0_left_column_0_f2_8_0,text,2,"[50.400, 552.007, 295.200, 566.008]"
f2_11[0],topmostSubform[0].Copy1[0].RightColumn[0].Box3_ReadOrder[0].f2_11[0],copy1_0_right_column_0_box3_read_order_0_f2_11_0,text,2,"[295.200, 660.010, 396.000, 672.009]"
f2_13[0],topmostSubform[0].Copy1[0].RightColumn[0].Box5_ReadOrder[0].f2_13[0],copy1_0_right_column_0_box5_read_order_0_f2_13_0,text,2,"[302.400, 636.009, 394.000, 648.008]"
f2_15[0],topmostSubform[0].Copy1[0].RightColumn[0].Box7_ReadOrder[0].f2_15[0],copy1_0_right_column_0_box7_read_order_0_f2_15_0,text,2,"[302.400, 612.008, 394.000, 624.007]"
f2_17[0],topmostSubform[0].Copy1[0].RightColumn[0].Box10a_ReadOrder[0].f2_17[0],copy1_0_right_column_0_box10a_read_order_0_f2_17_0,text,2,"[295.200, 564.006, 338.400, 576.007]"
f2_18[0],topmostSubform[0].Copy1[0].RightColumn[0].Box10a_ReadOrder[0].f2_18[0],copy1_0_right_column_0_box10a_read_order_0_f2_18_0,text,2,"[295.200, 552.010, 338.400, 564.009]"
f2_19[0],topmostSubform[0].Copy1[0].RightColumn[0].Box10b_ReadOrder[0].f2_19[0],copy1_0_right_column_0_box10b_read_order_0_f2_19_0,text,2,"[338.400, 564.006, 417.600, 576.007]"
f2_20[0],topmostSubform[0].Copy1[0].RightColumn[0].Box10b_ReadOrder[0].f2_20[0],copy1_0_right_column_0_box10b_read_order_0_f2_20_0,text,2,"[338.400, 552.010, 417.600, 564.009]"
c2_3[0],topmostSubform[0].Copy1[0].RightColumn[0].c2_3[0],copy1_0_right_column_0_c2_3_0,checkbox,2,"[479.600, 614.008, 487.600, 622.008]"
f2_9[0],topmostSubform[0].Copy1[0].RightColumn[0].f2_9[0],copy1_0_right_column_0_f2_9_0,text,2,"[302.400, 720.008, 394.000, 732.007]"
