old_field_name,semantic_field_name,field_type,pages_0_indexed,rect_first_occurrence
c1_1[0],copyA_void_checkbox,checkbox,"1","[187.200, 757.500, 197.200, 767.500]"
c1_1[1],copyA_corrected_checkbox,checkbox,"1","[244.800, 757.500, 254.800, 767.500]"
c1_2[0],copyA_fatca_filing_requirement_checkbox,checkbox,"1","[268.399, 474.000, 276.399, 482.000]"
c1_3[0],copyA_second_tin_notified_checkbox,checkbox,"1","[268.399, 446.002, 276.399, 454.002]"
CalendarYear1_1[0],copyA_calendar_year,text,"1","[432.000, 687.000, 460.800, 695.999]"
f1_1[0],copyA_payer_name_address_phone,text,"1","[52.400, 659.999, 294.200, 736.000]"
f1_2[0],copyA_payer_tin,text,"1","[52.400, 612.000, 171.800, 649.999]"
f1_3[0],copyA_recipient_tin,text,"1","[173.800, 612.000, 294.200, 649.999]"
f1_4[0],copyA_recipient_name,text,"1","[52.400, 576.000, 294.200, 602.000]"
f1_5[0],copyA_recipient_street_address,text,"1","[52.400, 540.000, 294.200, 566.000]"
f1_6[0],copyA_recipient_city_state_zip,text,"1","[52.400, 504.000, 294.200, 530.000]"
f1_7[0],copyA_account_number,text,"1","[52.400, 432.000, 251.000, 458.000]"
f1_8[0],copyA_payer_rtn_optional,text,"1","[296.200, 720.000, 395.000, 746.000]"
f1_9[0],copyA_box1_interest_income,text,"1","[302.400, 684.000, 395.000, 695.999]"
f1_10[0],copyA_box2_early_withdrawal_penalty,text,"1","[302.400, 648.000, 495.800, 659.999]"
f1_11[0],copyA_box3_interest_on_us_savings_bonds_and_treasury_obligations,text,"1","[302.400, 612.000, 495.800, 623.999]"
f1_12[0],copyA_box4_federal_income_tax_withheld,text,"1","[302.400, 588.002, 395.000, 600.001]"
f1_13[0],copyA_box5_investment_expenses,text,"1","[403.200, 588.002, 495.800, 600.001]"
f1_14[0],copyA_box6_foreign_tax_paid,text,"1","[302.400, 564.001, 395.000, 576.000]"
f1_15[0],copyA_box7_foreign_country_or_us_territory,text,"1","[397.000, 563.998, 495.800, 575.999]"
f1_16[0],copyA_box8_tax_exempt_interest,text,"1","[302.400, 528.001, 395.000, 540.000]"
f1_17[0],copyA_box9_specified_private_activity_bond_interest,text,"1","[403.200, 528.001, 495.800, 540.000]"
f1_18[0],copyA_box10_market_discount,text,"1","[302.400, 492.001, 395.000, 504.000]"
f1_19[0],copyA_box11_bond_premium,text,"1","[403.200, 492.001, 495.800, 504.000]"
f1_20[0],copyA_box12_bond_premium_on_treasury_obligations,text,"1","[302.400, 468.000, 395.000, 479.999]"
f1_21[0],copyA_box13_bond_premium_on_tax_exempt_bond,text,"1","[403.200, 468.000, 495.800, 479.999]"
f1_22[0],copyA_box14_tax_exempt_and_tax_credit_bond_cusip_no,text,"1","[296.200, 432.000, 395.000, 444.000]"
f1_23[0],copyA_box15_state_1,text,"1","[397.000, 443.999, 423.800, 456.000]"
f1_24[0],copyA_box15_state_2,text,"1","[397.000, 432.000, 423.800, 443.999]"
f1_25[0],copyA_box16_state_identification_no_1,text,"1","[425.800, 443.999, 495.800, 456.000]"
f1_26[0],copyA_box16_state_identification_no_2,text,"1","[425.800, 432.000, 495.800, 443.999]"
f1_27[0],copyA_box17_state_tax_withheld_1,text,"1","[504.000, 444.002, 576.000, 456.001]"
f1_28[0],copyA_box17_state_tax_withheld_2,text,"1","[504.000, 432.000, 576.000, 443.999]"
c2_1[0],copyOther_void_checkbox,checkbox,"2,3,5","[187.200, 757.500, 197.200, 767.500]"
c2_1[1],copyOther_corrected_checkbox,checkbox,"2","[244.800, 757.500, 254.800, 767.500]"
c2_2[0],copyOther_fatca_filing_requirement_checkbox,checkbox,"2,3,5","[268.399, 474.000, 276.399, 482.000]"
CalendarYear2_1[0],copyOther_calendar_year,text,"2,3,5","[432.000, 687.000, 460.800, 695.999]"
f2_1[0],copyOther_payer_name_address_phone,text,"2,3,5","[52.400, 659.999, 294.200, 736.000]"
f2_2[0],copyOther_payer_tin,text,"2,3,5","[52.400, 612.000, 171.800, 649.999]"
f2_3[0],copyOther_recipient_tin,text,"2,3,5","[173.800, 612.000, 294.200, 649.999]"
f2_4[0],copyOther_recipient_name,text,"2,3,5","[52.400, 576.000, 294.200, 602.000]"
f2_5[0],copyOther_recipient_street_address,text,"2,3,5","[52.400, 540.000, 294.200, 566.000]"
f2_6[0],copyOther_recipient_city_state_zip,text,"2,3,5","[52.400, 504.000, 294.200, 530.000]"
f2_7[0],copyOther_account_number,text,"2,3,5","[52.400, 432.000, 294.200, 458.000]"
f2_8[0],copyOther_payer_rtn_optional,text,"2,3,5","[296.200, 720.000, 395.000, 746.000]"
f2_9[0],copyOther_box1_interest_income,text,"2,3,5","[302.400, 684.000, 395.000, 695.999]"
f2_10[0],copyOther_box2_early_withdrawal_penalty,text,"2,3,5","[302.400, 648.000, 495.800, 659.999]"
f2_11[0],copyOther_box3_interest_on_us_savings_bonds_and_treasury_obligations,text,"2,3,5","[302.400, 612.000, 495.800, 623.999]"
f2_12[0],copyOther_box4_federal_income_tax_withheld,text,"2,3,5","[302.400, 588.002, 395.000, 600.001]"
f2_13[0],copyOther_box5_investment_expenses,text,"2,3,5","[403.200, 588.002, 495.800, 600.001]"
f2_14[0],copyOther_box6_foreign_tax_paid,text,"2,3,5","[302.400, 564.001, 395.000, 576.000]"
f2_15[0],copyOther_box7_foreign_country_or_us_territory,text,"2,3,5","[397.000, 563.998, 495.800, 575.999]"
f2_16[0],copyOther_box8_tax_exempt_interest,text,"2,3,5","[302.400, 528.001, 395.000, 540.000]"
f2_17[0],copyOther_box9_specified_private_activity_bond_interest,text,"2,3,5","[403.200, 528.001, 495.800, 540.000]"
f2_18[0],copyOther_box10_market_discount,text,"2,3,5","[302.400, 492.001, 395.000, 504.000]"
f2_19[0],copyOther_box11_bond_premium,text,"2,3,5","[403.200, 492.001, 495.800, 504.000]"
f2_20[0],copyOther_box12_bond_premium_on_treasury_obligations,text,"2,3,5","[302.400, 468.000, 395.000, 479.999]"
f2_21[0],copyOther_box13_bond_premium_on_tax_exempt_bond,text,"2,3,5","[403.200, 468.000, 495.800, 479.999]"
f2_22[0],copyOther_box14_tax_exempt_and_tax_credit_bond_cusip_no,text,"2,3,5","[296.200, 432.000, 395.000, 444.000]"
f2_23[0],copyOther_box15_state_1,text,"2,3,5","[397.000, 443.999, 423.800, 456.000]"
f2_24[0],copyOther_box15_state_2,text,"2,3,5","[397.000, 432.000, 423.800, 443.999]"
f2_25[0],copyOther_box16_state_identification_no_1,text,"2,3,5","[425.800, 443.999, 495.800, 456.000]"
f2_26[0],copyOther_box16_state_identification_no_2,text,"2,3,5","[425.800, 432.000, 495.800, 443.999]"
f2_27[0],copyOther_box17_state_tax_withheld_1,text,"2,3,5","[504.000, 444.002, 576.000, 456.001]"
f2_28[0],copyOther_box17_state_tax_withheld_2,text,"2,3,5","[504.000, 432.000, 576.000, 443.999]"
