old_field_name,old_full_name,semantic_field_name,field_type,pages_0_indexed,rect_first_occurrence
c2_1[0],topmostSubform[0].Copy1[0].CopyHeader[0].c2_1[0],topmos_subform_0_copy1_0_cop_header_0_c2_1_0,checkbox,2,"[187.200,758.000,196.200,767.000]"
c2_1[1],topmostSubform[0].Copy1[0].CopyHeader[0].c2_1[1],topmos_subform_0_copy1_0_cop_header_0_c2_1_1,checkbox,2,"[244.800,758.000,253.800,767.000]"
f2_1[0],topmostSubform[0].Copy1[0].CopyHeader[0].CalendarYear[0].f2_1[0],topmos_subform_0_copy1_0_cop_header_0_calenda_year_0_f2_1_0,text,2,"[417.600,675.001,446.400,684.000]"
c2_4[0],topmostSubform[0].Copy1[0].LeftCol[0].c2_4[0],topmos_subform_0_copy1_0_lef_col_0_c2_4_0,checkbox,2,"[281.200,631.000,291.200,641.000]"
c2_5[0],topmostSubform[0].Copy1[0].LeftCol[0].c2_5[0],topmos_subform_0_copy1_0_lef_col_0_c2_5_0,checkbox,2,"[281.200,614.500,291.200,624.500]"
f2_2[0],topmostSubform[0].Copy1[0].LeftCol[0].f2_2[0],topmos_subform_0_copy1_0_lef_col_0_f2_2_0,text,2,"[52.400,654.001,294.200,734.000]"
f2_3[0],topmostSubform[0].Copy1[0].LeftCol[0].f2_3[0],topmos_subform_0_copy1_0_lef_col_0_f2_3_0,text,2,"[52.400,576.000,294.200,600.000]"
f2_4[0],topmostSubform[0].Copy1[0].LeftCol[0].f2_4[0],topmos_subform_0_copy1_0_lef_col_0_f2_4_0,text,2,"[52.400,528.001,294.200,564.000]"
f2_5[0],topmostSubform[0].Copy1[0].LeftCol[0].f2_5[0],topmos_subform_0_copy1_0_lef_col_0_f2_5_0,text,2,"[52.400,504.000,294.200,516.001]"
f2_6[0],topmostSubform[0].Copy1[0].LeftCol[0].f2_6[0],topmos_subform_0_copy1_0_lef_col_0_f2_6_0,text,2,"[52.400,468.000,294.200,492.000]"
f2_7[0],topmostSubform[0].Copy1[0].LeftCol[0].f2_7[0],topmos_subform_0_copy1_0_lef_col_0_f2_7_0,text,2,"[50.400,432.000,295.200,456.000]"
c2_2[0],topmostSubform[0].Copy1[0].LeftCol[0].FILERCheckbox_ReadOrder[0].c2_2[0],topmos_subform_0_copy1_0_lef_col_0_filercheckbox_rea_order_0_c2_2_0,checkbox,2,"[158.800,631.000,168.800,641.000]"
c2_3[0],topmostSubform[0].Copy1[0].LeftCol[0].FILERCheckbox_ReadOrder[0].c2_3[0],topmos_subform_0_copy1_0_lef_col_0_filercheckbox_rea_order_0_c2_3_0,checkbox,2,"[158.800,614.500,168.800,624.500]"
f2_11[0],topmostSubform[0].Copy1[0].RghtCol[0].Box1b_ReadOrder[0].f2_11[0],topmos_subform_0_copy1_0_rgh_col_0_box1b_rea_order_0_f2_11_0,text,2,"[305.200,642.002,395.000,654.001]"
f2_15[0],topmostSubform[0].Copy1[0].RghtCol[0].Box5a_ReadOrder[0].f2_15[0],topmos_subform_0_copy1_0_rgh_col_0_box5a_rea_order_0_f2_15_0,text,2,"[305.200,588.002,395.000,600.001]"
f2_17[0],topmostSubform[0].Copy1[0].RghtCol[0].Box5c_ReadOrder[0].f2_17[0],topmos_subform_0_copy1_0_rgh_col_0_box5c_rea_order_0_f2_17_0,text,2,"[305.200,564.001,395.000,576.000]"
f2_19[0],topmostSubform[0].Copy1[0].RghtCol[0].Box5e_ReadOrder[0].f2_19[0],topmos_subform_0_copy1_0_rgh_col_0_box5e_rea_order_0_f2_19_0,text,2,"[305.200,540.000,395.000,551.999]"
