old_field_name,old_full_name,semantic_field_name,field_type,pages_0_indexed,rect_first_occurrence
f2_22[0],topmostSubform[0].Copy1[0].Box16_ReadOrder[0].f2_22[0],topmos_subform_0_copy1_0_box16_rea_order_0_f2_22_0,text,2,"[309.600,444.002,395.000,456.001]"
f2_23[0],topmostSubform[0].Copy1[0].Box16_ReadOrder[0].f2_23[0],topmos_subform_0_copy1_0_box16_rea_order_0_f2_23_0,text,2,"[309.600,432.000,395.000,443.999]"
f2_24[0],topmostSubform[0].Copy1[0].Box17_ReadOrder[0].f2_24[0],topmos_subform_0_copy1_0_box17_rea_order_0_f2_24_0,text,2,"[396.000,444.002,496.800,456.001]"
f2_25[0],topmostSubform[0].Copy1[0].Box17_ReadOrder[0].f2_25[0],topmos_subform_0_copy1_0_box17_rea_order_0_f2_25_0,text,2,"[396.000,432.000,496.800,443.999]"
c2_1[0],topmostSubform[0].Copy1[0].CopyHeader[0].c2_1[0],topmos_subform_0_copy1_0_cop_header_0_c2_1_0,checkbox,2,"[187.200,757.000,197.200,767.000]"
c2_1[1],topmostSubform[0].Copy1[0].CopyHeader[0].c2_1[1],topmos_subform_0_copy1_0_cop_header_0_c2_1_1,checkbox,2,"[244.800,757.000,254.800,767.000]"
f2_1[0],topmostSubform[0].Copy1[0].CopyHeader[0].CalendarYear[0].f2_1[0],topmos_subform_0_copy1_0_cop_header_0_calenda_year_0_f2_1_0,text,2,"[417.600,687.000,446.400,695.999]"
f2_26[0],topmostSubform[0].Copy1[0].f2_26[0],topmos_subform_0_copy1_0_f2_26_0,text,2,"[511.200,444.002,576.000,456.001]"
f2_27[0],topmostSubform[0].Copy1[0].f2_27[0],topmos_subform_0_copy1_0_f2_27_0,text,2,"[511.200,432.000,576.000,443.999]"
f2_2[0],topmostSubform[0].Copy1[0].LeftColumn[0].f2_2[0],topmos_subform_0_copy1_0_lef_column_0_f2_2_0,text,2,"[52.400,659.999,294.200,732.000]"
f2_3[0],topmostSubform[0].Copy1[0].LeftColumn[0].f2_3[0],topmos_subform_0_copy1_0_lef_column_0_f2_3_0,text,2,"[50.400,612.000,172.800,647.999]"
f2_4[0],topmostSubform[0].Copy1[0].LeftColumn[0].f2_4[0],topmos_subform_0_copy1_0_lef_column_0_f2_4_0,text,2,"[172.800,612.000,295.200,647.999]"
f2_5[0],topmostSubform[0].Copy1[0].LeftColumn[0].f2_5[0],topmos_subform_0_copy1_0_lef_column_0_f2_5_0,text,2,"[52.400,576.000,294.200,600.000]"
f2_6[0],topmostSubform[0].Copy1[0].LeftColumn[0].f2_6[0],topmos_subform_0_copy1_0_lef_column_0_f2_6_0,text,2,"[52.400,540.000,294.200,564.000]"
