old_field_name,old_full_name,semantic_field_name,field_type,pages_0_indexed,rect_first_occurrence
f2_2[0],topmostSubform[0].Copy1[0].LeftCol[0].f2_2[0],copy1_0_left_col_0_f2_2_0,text,2,"[52.400, 684.008, 294.450, 732.007]"
f2_3[0],topmostSubform[0].Copy1[0].LeftCol[0].f2_3[0],copy1_0_left_col_0_f2_3_0,text,2,"[50.400, 660.007, 172.800, 674.008]"
f2_4[0],topmostSubform[0].Copy1[0].LeftCol[0].f2_4[0],copy1_0_left_col_0_f2_4_0,text,2,"[172.800, 660.007, 295.200, 674.008]"
f2_5[0],topmostSubform[0].Copy1[0].LeftCol[0].f2_5[0],copy1_0_left_col_0_f2_5_0,text,2,"[52.400, 624.007, 294.450, 650.007]"
f2_6[0],topmostSubform[0].Copy1[0].LeftCol[0].f2_6[0],copy1_0_left_col_0_f2_6_0,text,2,"[52.400, 600.006, 294.450, 614.007]"
f2_7[0],topmostSubform[0].Copy1[0].LeftCol[0].f2_7[0],copy1_0_left_col_0_f2_7_0,text,2,"[52.400, 576.008, 294.450, 590.009]"
f2_8[0],topmostSubform[0].Copy1[0].LeftCol[0].f2_8[0],copy1_0_left_col_0_f2_8_0,text,2,"[50.400, 552.007, 295.200, 566.008]"
c2_1[0],topmostSubform[0].Copy1[0].PgHeader[0].c2_1[0],copy1_0_pg_header_0_c2_1_0,checkbox,2,"[187.200, 757.508, 197.200, 767.508]"
c2_1[1],topmostSubform[0].Copy1[0].PgHeader[0].c2_1[1],copy1_0_pg_header_0_c2_1_1,checkbox,2,"[244.800, 757.508, 254.800, 767.508]"
f2_1[0],topmostSubform[0].Copy1[0].PgHeader[0].CalendarYear[0].f2_1[0],copy1_0_pg_header_0_calendar_year_0_f2_1_0,text,2,"[417.600, 687.008, 446.400, 696.007]"
f2_12[0],topmostSubform[0].Copy1[0].RightCol[0].Box5_ReadOrder[0].f2_12[0],copy1_0_right_col_0_box5_read_order_0_f2_12_0,text,2,"[302.400, 564.009, 372.400, 576.008]"
f2_13[0],topmostSubform[0].Copy1[0].RightCol[0].Box5_ReadOrder[0].f2_13[0],copy1_0_right_col_0_box5_read_order_0_f2_13_0,text,2,"[302.400, 552.010, 372.400, 564.009]"
f2_14[0],topmostSubform[0].Copy1[0].RightCol[0].Box6_ReadOrder[0].f2_14[0],copy1_0_right_col_0_box6_read_order_0_f2_14_0,text,2,"[374.400, 564.009, 496.800, 576.008]"
f2_15[0],topmostSubform[0].Copy1[0].RightCol[0].Box6_ReadOrder[0].f2_15[0],copy1_0_right_col_0_box6_read_order_0_f2_15_0,text,2,"[374.400, 552.010, 496.800, 564.009]"
f2_16[0],topmostSubform[0].Copy1[0].RightCol[0].Box7_ReadOrder[0].f2_16[0],copy1_0_right_col_0_box7_read_order_0_f2_16_0,text,2,"[504.000, 564.009, 576.000, 576.008]"
f2_17[0],topmostSubform[0].Copy1[0].RightCol[0].Box7_ReadOrder[0].f2_17[0],copy1_0_right_col_0_box7_read_order_0_f2_17_0,text,2,"[504.000, 552.010, 576.000, 564.009]"
c2_3[0],topmostSubform[0].Copy1[0].RightCol[0].c2_3[0],copy1_0_right_col_0_c2_3_0,checkbox,2,"[485.800, 644.007, 493.800, 652.007]"
f2_9[0],topmostSubform[0].Copy1[0].RightCol[0].f2_9[0],copy1_0_right_col_0_f2_9_0,text,2,"[302.400, 660.010, 494.800, 672.009]"
f2_10[0],topmostSubform[0].Copy1[0].RightCol[0].f2_10[0],copy1_0_right_col_0_f2_10_0,text,2,"[302.400, 612.008, 494.800, 624.007]"
f2_11[0],topmostSubform[0].Copy1[0].RightCol[0].f2_11[0],copy1_0_right_col_0_f2_11_0,text,2,"[302.400, 588.010, 494.800, 600.009]"
c2_1[0],topmostSubform[0].Copy2[0].c2_1[0],copy2_0_c2_1_0,checkbox,5,"[187.200, 757.508, 197.200, 767.508]"
c2_1[1],topmostSubform[0].Copy2[0].c2_1[1],copy2_0_c2_1_1,checkbox,5,"[244.800, 757.508, 254.800, 767.508]"
f2_2[0],topmostSubform[0].Copy2[0].LeftCol[0].f2_2[0],copy2_0_left_col_0_f2_2_0,text,5,"[52.400, 684.008, 294.450, 732.007]"
f2_3[0],topmostSubform[0].Copy2[0].LeftCol[0].f2_3[0],copy2_0_left_col_0_f2_3_0,text,5,"[50.400, 660.007, 172.800, 674.008]"
f2_4[0],topmostSubform[0].Copy2[0].LeftCol[0].f2_4[0],copy2_0_left_col_0_f2_4_0,text,5,"[172.800, 660.007, 295.200, 674.008]"
f2_5[0],topmostSubform[0].Copy2[0].LeftCol[0].f2_5[0],copy2_0_left_col_0_f2_5_0,text,5,"[52.400, 624.007, 294.450, 650.007]"
f2_6[0],topmostSubform[0].Copy2[0].LeftCol[0].f2_6[0],copy2_0_left_col_0_f2_6_0,text,5,"[52.400, 600.006, 294.450, 614.007]"
f2_7[0],topmostSubform[0].Copy2[0].LeftCol[0].f2_7[0],copy2_0_left_col_0_f2_7_0,text,5,"[52.400, 576.008, 294.450, 590.009]"
f2_8[0],topmostSubform[0].Copy2[0].LeftCol[0].f2_8[0],copy2_0_left_col_0_f2_8_0,text,5,"[50.400, 552.007, 295.200, 566.008]"
f2_1[0],topmostSubform[0].Copy2[0].PgHeader[0].CalendarYear[0].f2_1[0],copy2_0_pg_header_0_calendar_year_0_f2_1_0,text,5,"[417.600, 687.008, 446.400, 696.007]"
f2_12[0],topmostSubform[0].Copy2[0].RightCol[0].Box5_ReadOrder[0].f2_12[0],copy2_0_right_col_0_box5_read_order_0_f2_12_0,text,5,"[302.400, 564.009, 372.400, 576.008]"
f2_13[0],topmostSubform[0].Copy2[0].RightCol[0].Box5_ReadOrder[0].f2_13[0],copy2_0_right_col_0_box5_read_order_0_f2_13_0,text,5,"[302.400, 552.010, 372.400, 564.009]"
f2_14[0],topmostSubform[0].Copy2[0].RightCol[0].Box6_ReadOrder[0].f2_14[0],copy2_0_right_col_0_box6_read_order_0_f2_14_0,text,5,"[374.400, 564.009, 496.800, 576.008]"
f2_15[0],topmostSubform[0].Copy2[0].RightCol[0].Box6_ReadOrder[0].f2_15[0],copy2_0_right_col_0_box6_read_order_0_f2_15_0,text,5,"[374.400, 552.010, 496.800, 564.009]"
f2_16[0],topmostSubform[0].Copy2[0].RightCol[0].Box7_ReadOrder[0].f2_16[0],copy2_0_right_col_0_box7_read_order_0_f2_16_0,text,5,"[504.000, 564.009, 576.000, 576.008]"
f2_17[0],topmostSubform[0].Copy2[0].RightCol[0].Box7_ReadOrder[0].f2_17[0],copy2_0_right_col_0_box7_read_order_0_f2_17_0,text,5,"[504.000, 552.010, 576.000, 564.009]"
c2_3[0],topmostSubform[0].Copy2[0].RightCol[0].c2_3[0],copy2_0_right_col_0_c2_3_0,checkbox,5,"[485.800, 644.007, 493.800, 652.007]"
f2_9[0],topmostSubform[0].Copy2[0].RightCol[0].f2_9[0],copy2_0_right_col_0_f2_9_0,text,5,"[302.400, 660.010, 494.800, 672.009]"
f2_10[0],topmostSubform[0].Copy2[0].RightCol[0].f2_10[0],copy2_0_right_col_0_f2_10_0,text,5,"[302.400, 612.008, 494.800, 624.007]"
