old_field_name,semantic_field_name,field_type,pages_0_indexed,rect_first_occurrence
c1_1[0],copyA_void_checkbox,checkbox,"1","[187.200, 757.500, 197.200, 767.500]"
c1_1[1],copyA_corrected_checkbox,checkbox,"1","[244.800, 757.500, 254.800, 767.500]"
c1_3[0],copyA_fatca_filing_requirement_checkbox,checkbox,"1","[269.600, 474.000, 277.600, 482.000]"
c1_4[0],copyA_second_tin_notified_checkbox,checkbox,"1","[269.600, 446.002, 277.600, 454.002]"
f1_1[0],copyA_calendar_year,text,"1","[417.600, 663.002, 446.400, 672.001]"
f1_2[0],copyA_payer_name_address_phone,text,"1","[52.400, 659.999, 294.200, 735.000]"
f1_3[0],copyA_payer_tin,text,"1","[50.400, 612.000, 172.800, 647.999]"
f1_4[0],copyA_recipient_tin,text,"1","[172.800, 612.000, 295.200, 647.999]"
f1_5[0],copyA_recipient_name,text,"1","[52.400, 576.000, 294.200, 600.000]"
f1_6[0],copyA_recipient_street_address,text,"1","[52.400, 540.000, 294.200, 564.000]"
f1_7[0],copyA_recipient_city_state_zip,text,"1","[52.400, 504.000, 294.200, 528.000]"
f1_8[0],copyA_account_number,text,"1","[50.400, 432.000, 252.000, 456.000]"
f1_9[0],copyA_box1_original_issue_discount_for_the_year,text,"1","[302.400, 720.000, 395.000, 731.999]"
f1_10[0],copyA_box2_other_periodic_interest,text,"1","[302.400, 660.002, 395.000, 672.001]"
f1_11[0],copyA_box3_early_withdrawal_penalty,text,"1","[302.400, 636.001, 395.000, 648.000]"
f1_12[0],copyA_box4_federal_income_tax_withheld,text,"1","[403.200, 636.001, 495.800, 648.000]"
f1_13[0],copyA_box5_market_discount,text,"1","[302.400, 600.001, 395.000, 612.000]"
f1_14[0],copyA_box6_acquisition_premium,text,"1","[403.200, 600.001, 495.800, 612.000]"
f1_15[0],copyA_box7_description,text,"1","[296.200, 540.000, 495.800, 587.999]"
f1_16[0],copyA_box8_original_issue_discount_on_us_treasury_obligations,text,"1","[302.400, 504.000, 395.000, 515.999]"
f1_17[0],copyA_box9_investment_expenses,text,"1","[403.200, 504.000, 495.800, 515.999]"
f1_18[0],copyA_box10_bond_premium,text,"1","[302.400, 468.000, 395.000, 479.999]"
f1_19[0],copyA_box11_tax_exempt_oid,text,"1","[403.200, 468.000, 495.800, 479.999]"
f1_20[0],copyA_box12_state_1,text,"1","[295.200, 443.999, 324.000, 456.000]"
f1_21[0],copyA_box12_state_2,text,"1","[295.200, 432.000, 324.000, 443.999]"
f1_22[0],copyA_box13_state_identification_no_1,text,"1","[324.000, 443.999, 410.400, 456.000]"
f1_23[0],copyA_box13_state_identification_no_2,text,"1","[324.000, 432.000, 410.400, 443.999]"
f1_24[0],copyA_box14_state_tax_withheld_1,text,"1","[417.600, 444.002, 495.800, 456.001]"
f1_25[0],copyA_box14_state_tax_withheld_2,text,"1","[417.600, 432.000, 495.800, 443.999]"
c2_1[0],copyOther_void_checkbox,checkbox,"2,3,5","[187.200, 757.500, 197.200, 767.500]"
c2_1[1],copyOther_corrected_checkbox,checkbox,"2","[244.800, 757.500, 254.800, 767.500]"
c2_3[0],copyOther_fatca_filing_requirement_checkbox,checkbox,"2,3,5","[269.600, 474.000, 277.600, 482.000]"
f2_1[0],copyOther_calendar_year,text,"2,3,5","[417.600, 663.002, 446.400, 672.001]"
f2_2[0],copyOther_payer_name_address_phone,text,"2,3,5","[52.400, 659.999, 294.200, 735.000]"
f2_3[0],copyOther_payer_tin,text,"2,3,5","[50.400, 612.000, 172.800, 647.999]"
f2_4[0],copyOther_recipient_tin,text,"2,3,5","[172.800, 612.000, 295.200, 647.999]"
f2_5[0],copyOther_recipient_name,text,"2,3,5","[52.400, 576.000, 294.200, 600.000]"
f2_6[0],copyOther_recipient_street_address,text,"2,3,5","[52.400, 540.000, 294.200, 564.000]"
f2_7[0],copyOther_recipient_city_state_zip,text,"2,3,5","[52.400, 504.000, 294.200, 528.000]"
f2_8[0],copyOther_account_number,text,"2,3,5","[50.400, 432.000, 295.200, 456.000]"
f2_9[0],copyOther_box1_original_issue_discount_for_the_year,text,"2,3,5","[302.400, 720.000, 395.000, 731.999]"
f2_10[0],copyOther_box2_other_periodic_interest,text,"2,3,5","[302.400, 660.002, 395.000, 672.001]"
f2_11[0],copyOther_box3_early_withdrawal_penalty,text,"2,3,5","[302.400, 636.001, 395.000, 648.000]"
f2_12[0],copyOther_box4_federal_income_tax_withheld,text,"2,3,5","[403.200, 635.910, 495.800, 647.909]"
f2_13[0],copyOther_box5_market_discount,text,"2,3,5","[301.946, 600.001, 395.000, 612.000]"
f2_14[0],copyOther_box6_acquisition_premium,text,"2,3,5","[403.200, 600.001, 495.800, 612.000]"
f2_15[0],copyOther_box7_description,text,"2,3,5","[296.200, 540.000, 495.800, 587.999]"
f2_16[0],copyOther_box8_original_issue_discount_on_us_treasury_obligations,text,"2,3,5","[302.400, 504.000, 395.000, 515.999]"
f2_17[0],copyOther_box9_investment_expenses,text,"2,3,5","[403.200, 504.000, 495.800, 515.999]"
f2_18[0],copyOther_box10_bond_premium,text,"2,3,5","[302.400, 468.000, 395.000, 479.999]"
f2_19[0],copyOther_box11_tax_exempt_oid,text,"2,3,5","[403.200, 468.000, 495.800, 479.999]"
f2_20[0],copyOther_box12_state_1,text,"2,3,5","[295.200, 443.999, 324.000, 456.000]"
f2_21[0],copyOther_box12_state_2,text,"2,3,5","[295.200, 432.000, 324.000, 443.999]"
f2_22[0],copyOther_box13_state_identification_no_1,text,"2,3,5","[324.000, 443.999, 410.400, 456.000]"
f2_23[0],copyOther_box13_state_identification_no_2,text,"2,3,5","[324.000, 432.000, 410.400, 443.999]"
f2_24[0],copyOther_box14_state_tax_withheld_1,text,"2,3,5","[417.600, 444.002, 495.800, 456.001]"
f2_25[0],copyOther_box14_state_tax_withheld_2,text,"2,3,5","[417.600, 432.000, 495.800, 443.999]"
