old_field_name,old_full_name,semantic_field_name,field_type,pages_0_indexed,rect_first_occurrence
c1_1[0],topmostSubform[0].CopyA[0].c1_1[0],copy_a_0_c1_1_0,checkbox,1,"[187.200, 757.508, 197.200, 767.508]"
c1_1[1],topmostSubform[0].CopyA[0].c1_1[1],copy_a_0_c1_1_1,checkbox,1,"[244.800, 757.508, 254.800, 767.508]"
f1_1[0],topmostSubform[0].CopyA[0].CopyHeader[0].f1_1[0],copy_a_0_copy_header_0_f1_1_0,text,1,"[417.600, 687.008, 446.400, 696.007]"
c1_2[0],topmostSubform[0].CopyA[0].LeftCol[0].c1_2[0],copy_a_0_left_col_0_c1_2_0,checkbox,1,"[269.600, 555.010, 277.600, 563.010]"
f1_2[0],topmostSubform[0].CopyA[0].LeftCol[0].f1_2[0],copy_a_0_left_col_0_f1_2_0,text,1,"[52.400, 684.008, 294.200, 732.007]"
f1_3[0],topmostSubform[0].CopyA[0].LeftCol[0].f1_3[0],copy_a_0_left_col_0_f1_3_0,text,1,"[50.400, 660.007, 172.800, 674.008]"
f1_4[0],topmostSubform[0].CopyA[0].LeftCol[0].f1_4[0],copy_a_0_left_col_0_f1_4_0,text,1,"[172.800, 660.007, 295.200, 674.008]"
f1_5[0],topmostSubform[0].CopyA[0].LeftCol[0].f1_5[0],copy_a_0_left_col_0_f1_5_0,text,1,"[52.400, 624.007, 294.200, 650.007]"
f1_6[0],topmostSubform[0].CopyA[0].LeftCol[0].f1_6[0],copy_a_0_left_col_0_f1_6_0,text,1,"[52.400, 600.006, 294.200, 614.007]"
f1_7[0],topmostSubform[0].CopyA[0].LeftCol[0].f1_7[0],copy_a_0_left_col_0_f1_7_0,text,1,"[52.400, 576.008, 294.200, 590.009]"
f1_8[0],topmostSubform[0].CopyA[0].LeftCol[0].f1_8[0],copy_a_0_left_col_0_f1_8_0,text,1,"[50.400, 552.007, 252.000, 566.008]"
f1_12[0],topmostSubform[0].CopyA[0].RightCol[0].Box4_ReadOrder[0].f1_12[0],copy_a_0_right_col_0_box4_read_order_0_f1_12_0,text,1,"[309.600, 660.010, 395.000, 672.009]"
f1_14[0],topmostSubform[0].CopyA[0].RightCol[0].Box6_ReadOrder[0].f1_14[0],copy_a_0_right_col_0_box6_read_order_0_f1_14_0,text,1,"[309.600, 624.010, 395.000, 636.009]"
f1_16[0],topmostSubform[0].CopyA[0].RightCol[0].Box8_ReadOrder[0].f1_16[0],copy_a_0_right_col_0_box8_read_order_0_f1_16_0,text,1,"[309.600, 600.009, 395.000, 612.008]"
f1_18[0],topmostSubform[0].CopyA[0].RightCol[0].Box10_ReadOrder[0].f1_18[0],copy_a_0_right_col_0_box10_read_order_0_f1_18_0,text,1,"[309.600, 576.008, 395.000, 588.007]"
f1_20[0],topmostSubform[0].CopyA[0].RightCol[0].Box12_ReadOrder[0].f1_20[0],copy_a_0_right_col_0_box12_read_order_0_f1_20_0,text,1,"[309.600, 552.010, 438.200, 564.009]"
c1_3[0],topmostSubform[0].CopyA[0].RightCol[0].c1_3[0],copy_a_0_right_col_0_c1_3_0,checkbox,1,"[462.800, 555.010, 470.800, 563.010]"
f1_9[0],topmostSubform[0].CopyA[0].RightCol[0].f1_9[0],copy_a_0_right_col_0_f1_9_0,text,1,"[309.600, 732.010, 395.000, 744.009]"
f1_10[0],topmostSubform[0].CopyA[0].RightCol[0].f1_10[0],copy_a_0_right_col_0_f1_10_0,text,1,"[309.600, 708.009, 395.000, 720.008]"
f1_11[0],topmostSubform[0].CopyA[0].RightCol[0].f1_11[0],copy_a_0_right_col_0_f1_11_0,text,1,"[309.600, 684.008, 395.000, 696.007]"
f1_13[0],topmostSubform[0].CopyA[0].RightCol[0].f1_13[0],copy_a_0_right_col_0_f1_13_0,text,1,"[410.400, 660.010, 495.800, 672.009]"
f1_15[0],topmostSubform[0].CopyA[0].RightCol[0].f1_15[0],copy_a_0_right_col_0_f1_15_0,text,1,"[410.400, 624.010, 495.800, 636.009]"
f1_17[0],topmostSubform[0].CopyA[0].RightCol[0].f1_17[0],copy_a_0_right_col_0_f1_17_0,text,1,"[410.400, 600.009, 495.800, 612.008]"
f1_19[0],topmostSubform[0].CopyA[0].RightCol[0].f1_19[0],copy_a_0_right_col_0_f1_19_0,text,1,"[410.400, 576.008, 495.800, 588.007]"
c2_1[0],topmostSubform[0].CopyB[0].c2_1[0],copy_b_0_c2_1_0,checkbox,2,"[244.800, 757.508, 254.800, 767.508]"
f2_1[0],topmostSubform[0].CopyB[0].CopyHeader[0].f2_1[0],copy_b_0_copy_header_0_f2_1_0,text,2,"[417.600, 687.008, 446.400, 696.007]"
f2_2[0],topmostSubform[0].CopyB[0].LeftCol[0].f2_2[0],copy_b_0_left_col_0_f2_2_0,text,2,"[52.400, 684.008, 294.200, 732.007]"
f2_3[0],topmostSubform[0].CopyB[0].LeftCol[0].f2_3[0],copy_b_0_left_col_0_f2_3_0,text,2,"[50.400, 660.007, 172.800, 674.008]"
f2_4[0],topmostSubform[0].CopyB[0].LeftCol[0].f2_4[0],copy_b_0_left_col_0_f2_4_0,text,2,"[172.800, 660.007, 295.200, 674.008]"
f2_5[0],topmostSubform[0].CopyB[0].LeftCol[0].f2_5[0],copy_b_0_left_col_0_f2_5_0,text,2,"[52.400, 624.007, 294.200, 650.007]"
f2_6[0],topmostSubform[0].CopyB[0].LeftCol[0].f2_6[0],copy_b_0_left_col_0_f2_6_0,text,2,"[52.400, 600.006, 294.200, 614.007]"
f2_7[0],topmostSubform[0].CopyB[0].LeftCol[0].f2_7[0],copy_b_0_left_col_0_f2_7_0,text,2,"[52.400, 576.008, 294.200, 590.009]"
f2_8[0],topmostSubform[0].CopyB[0].LeftCol[0].f2_8[0],copy_b_0_left_col_0_f2_8_0,text,2,"[50.400, 552.007, 295.200, 566.008]"
f2_12[0],topmostSubform[0].CopyB[0].RightCol[0].Box4_ReadOrder[0].f2_12[0],copy_b_0_right_col_0_box4_read_order_0_f2_12_0,text,2,"[309.600, 660.510, 394.000, 672.009]"
f2_14[0],topmostSubform[0].CopyB[0].RightCol[0].Box6_ReadOrder[0].f2_14[0],copy_b_0_right_col_0_box6_read_order_0_f2_14_0,text,2,"[309.600, 624.010, 395.000, 636.009]"
f2_16[0],topmostSubform[0].CopyB[0].RightCol[0].Box8_ReadOrder[0].f2_16[0],copy_b_0_right_col_0_box8_read_order_0_f2_16_0,text,2,"[309.600, 600.009, 395.000, 612.008]"
f2_18[0],topmostSubform[0].CopyB[0].RightCol[0].Box10_ReadOrder[0].f2_18[0],copy_b_0_right_col_0_box10_read_order_0_f2_18_0,text,2,"[309.600, 576.008, 395.000, 588.007]"
f2_20[0],topmostSubform[0].CopyB[0].RightCol[0].Box12_ReadOrder[0].f2_20[0],copy_b_0_right_col_0_box12_read_order_0_f2_20_0,text,2,"[309.600, 552.010, 438.200, 564.009]"
c2_3[0],topmostSubform[0].CopyB[0].RightCol[0].c2_3[0],copy_b_0_right_col_0_c2_3_0,checkbox,2,"[462.800, 555.010, 470.800, 563.010]"
f2_9[0],topmostSubform[0].CopyB[0].RightCol[0].f2_9[0],copy_b_0_right_col_0_f2_9_0,text,2,"[309.600, 732.010, 395.000, 744.009]"
f2_10[0],topmostSubform[0].CopyB[0].RightCol[0].f2_10[0],copy_b_0_right_col_0_f2_10_0,text,2,"[309.600, 708.009, 395.000, 720.008]"
f2_11[0],topmostSubform[0].CopyB[0].RightCol[0].f2_11[0],copy_b_0_right_col_0_f2_11_0,text,2,"[309.600, 684.008, 395.000, 696.007]"
f2_13[0],topmostSubform[0].CopyB[0].RightCol[0].f2_13[0],copy_b_0_right_col_0_f2_13_0,text,2,"[410.400, 660.010, 495.800, 672.009]"
f2_15[0],topmostSubform[0].CopyB[0].RightCol[0].f2_15[0],copy_b_0_right_col_0_f2_15_0,text,2,"[410.400, 624.010, 495.800, 636.009]"
f2_17[0],topmostSubform[0].CopyB[0].RightCol[0].f2_17[0],copy_b_0_right_col_0_f2_17_0,text,2,"[410.400, 600.009, 495.800, 612.008]"
f2_19[0],topmostSubform[0].CopyB[0].RightCol[0].f2_19[0],copy_b_0_right_col_0_f2_19_0,text,2,"[410.400, 576.008, 495.800, 588.007]"
