old_field_name,old_full_name,semantic_field_name,field_type,pages_0_indexed,rect_first_occurrence
c1_1[0],topmostSubform[0].CopyA[0].c1_1[0],copy_a_0_c1_1_0,checkbox,0,"[187.200, 757.250, 197.200, 767.250]"
c1_1[1],topmostSubform[0].CopyA[0].c1_1[1],copy_a_0_c1_1_1,checkbox,0,"[244.800, 757.250, 254.800, 767.250]"
f1_1[0],topmostSubform[0].CopyA[0].CopyAHeader[0].YEAR[0].f1_1[0],copy_a_0_copy_aheader_0_year_0_f1_1_0,text,0,"[417.600, 687.000, 446.400, 695.999]"
f1_2[0],topmostSubform[0].CopyA[0].LeftColumn[0].f1_2[0],copy_a_0_left_column_0_f1_2_0,text,0,"[52.400, 684.000, 294.200, 736.000]"
f1_3[0],topmostSubform[0].CopyA[0].LeftColumn[0].f1_3[0],copy_a_0_left_column_0_f1_3_0,text,0,"[52.400, 659.999, 171.800, 672.000]"
f1_4[0],topmostSubform[0].CopyA[0].LeftColumn[0].f1_4[0],copy_a_0_left_column_0_f1_4_0,text,0,"[173.800, 659.999, 294.200, 672.000]"
f1_5[0],topmostSubform[0].CopyA[0].LeftColumn[0].f1_5[0],copy_a_0_left_column_0_f1_5_0,text,0,"[52.400, 623.999, 294.200, 647.999]"
f1_6[0],topmostSubform[0].CopyA[0].LeftColumn[0].f1_6[0],copy_a_0_left_column_0_f1_6_0,text,0,"[52.400, 599.998, 294.200, 611.999]"
f1_7[0],topmostSubform[0].CopyA[0].LeftColumn[0].f1_7[0],copy_a_0_left_column_0_f1_7_0,text,0,"[52.400, 576.000, 294.200, 588.001]"
f1_8[0],topmostSubform[0].CopyA[0].LeftColumn[0].f1_8[0],copy_a_0_left_column_0_f1_8_0,text,0,"[52.400, 551.999, 294.200, 564.000]"
f1_11[0],topmostSubform[0].CopyA[0].RightColumn[0].Box3_ReadOrder[0].f1_11[0],copy_a_0_right_column_0_box3_read_order_0_f1_11_0,text,0,"[302.400, 648.000, 395.000, 659.999]"
c1_3[0],topmostSubform[0].CopyA[0].RightColumn[0].Box5_ReadOrder[0].c1_3[0],copy_a_0_right_column_0_box5_read_order_0_c1_3_0,checkbox,0,"[316.800, 626.502, 324.800, 634.502]"
c1_3[1],topmostSubform[0].CopyA[0].RightColumn[0].Box5_ReadOrder[0].c1_3[1],copy_a_0_right_column_0_box5_read_order_0_c1_3_1,checkbox,0,"[316.800, 614.500, 324.800, 622.500]"
c1_3[2],topmostSubform[0].CopyA[0].RightColumn[0].Box5_ReadOrder[0].c1_3[2],copy_a_0_right_column_0_box5_read_order_0_c1_3_2,checkbox,0,"[316.800, 602.501, 324.800, 610.501]"
c1_2[0],topmostSubform[0].CopyA[0].RightColumn[0].c1_2[0],copy_a_0_right_column_0_c1_2_0,checkbox,0,"[417.600, 662.502, 425.600, 670.502]"
c1_2[1],topmostSubform[0].CopyA[0].RightColumn[0].c1_2[1],copy_a_0_right_column_0_c1_2_1,checkbox,0,"[417.600, 650.500, 425.600, 658.500]"
c1_4[0],topmostSubform[0].CopyA[0].RightColumn[0].c1_4[0],copy_a_0_right_column_0_c1_4_0,checkbox,0,"[484.399, 603.501, 492.399, 611.501]"
f1_9[0],topmostSubform[0].CopyA[0].RightColumn[0].f1_9[0],copy_a_0_right_column_0_f1_9_0,text,0,"[302.400, 720.000, 395.000, 731.999]"
f1_10[0],topmostSubform[0].CopyA[0].RightColumn[0].f1_10[0],copy_a_0_right_column_0_f1_10_0,text,0,"[302.400, 684.000, 395.000, 695.999]"
c1_1[0],topmostSubform[0].CopyB[0].c1_1[0],copy_b_0_c1_1_0,checkbox,1,"[244.800, 757.250, 254.800, 767.250]"
f1_1[0],topmostSubform[0].CopyB[0].CopyBHeader[0].YEAR[0].f1_1[0],copy_b_0_copy_bheader_0_year_0_f1_1_0,text,1,"[417.600, 687.000, 446.400, 695.999]"
f1_2[0],topmostSubform[0].CopyB[0].LeftColumn[0].f1_2[0],copy_b_0_left_column_0_f1_2_0,text,1,"[52.400, 684.000, 294.200, 736.000]"
f1_3[0],topmostSubform[0].CopyB[0].LeftColumn[0].f1_3[0],copy_b_0_left_column_0_f1_3_0,text,1,"[52.400, 659.999, 171.800, 672.000]"
f1_4[0],topmostSubform[0].CopyB[0].LeftColumn[0].f1_4[0],copy_b_0_left_column_0_f1_4_0,text,1,"[173.800, 659.999, 294.200, 672.000]"
f1_5[0],topmostSubform[0].CopyB[0].LeftColumn[0].f1_5[0],copy_b_0_left_column_0_f1_5_0,text,1,"[52.400, 623.999, 294.200, 647.999]"
f1_6[0],topmostSubform[0].CopyB[0].LeftColumn[0].f1_6[0],copy_b_0_left_column_0_f1_6_0,text,1,"[52.400, 599.998, 294.200, 611.999]"
f1_7[0],topmostSubform[0].CopyB[0].LeftColumn[0].f1_7[0],copy_b_0_left_column_0_f1_7_0,text,1,"[52.400, 576.000, 294.200, 588.001]"
f1_8[0],topmostSubform[0].CopyB[0].LeftColumn[0].f1_8[0],copy_b_0_left_column_0_f1_8_0,text,1,"[52.400, 551.999, 294.200, 564.000]"
f1_11[0],topmostSubform[0].CopyB[0].RghtCol[0].Box3_ReadOrder[0].f1_11[0],copy_b_0_rght_col_0_box3_read_order_0_f1_11_0,text,1,"[302.400, 648.000, 395.000, 659.999]"
c1_3[0],topmostSubform[0].CopyB[0].RghtCol[0].Box5_ReadOrder[0].c1_3[0],copy_b_0_rght_col_0_box5_read_order_0_c1_3_0,checkbox,1,"[316.800, 626.502, 324.800, 634.502]"
c1_3[1],topmostSubform[0].CopyB[0].RghtCol[0].Box5_ReadOrder[0].c1_3[1],copy_b_0_rght_col_0_box5_read_order_0_c1_3_1,checkbox,1,"[316.800, 614.500, 324.800, 622.500]"
c1_3[2],topmostSubform[0].CopyB[0].RghtCol[0].Box5_ReadOrder[0].c1_3[2],copy_b_0_rght_col_0_box5_read_order_0_c1_3_2,checkbox,1,"[316.800, 602.501, 324.800, 610.501]"
c1_2[0],topmostSubform[0].CopyB[0].RghtCol[0].c1_2[0],copy_b_0_rght_col_0_c1_2_0,checkbox,1,"[417.600, 662.502, 425.600, 670.502]"
c1_2[1],topmostSubform[0].CopyB[0].RghtCol[0].c1_2[1],copy_b_0_rght_col_0_c1_2_1,checkbox,1,"[417.600, 650.500, 425.600, 658.500]"
c1_4[0],topmostSubform[0].CopyB[0].RghtCol[0].c1_4[0],copy_b_0_rght_col_0_c1_4_0,checkbox,1,"[484.399, 603.501, 492.399, 611.501]"
f1_9[0],topmostSubform[0].CopyB[0].RghtCol[0].f1_9[0],copy_b_0_rght_col_0_f1_9_0,text,1,"[302.400, 720.000, 395.000, 731.999]"
f1_10[0],topmostSubform[0].CopyB[0].RghtCol[0].f1_10[0],copy_b_0_rght_col_0_f1_10_0,text,1,"[302.400, 684.000, 395.000, 695.999]"
