old_field_name,old_full_name,semantic_field_name,field_type,pages_0_indexed,rect_first_occurrence
f1_11[0],Form1099-QA[0].CopyA[0].Box3_ReadOrder[0].f1_11[0],form1099_qa_0_copy_a_0_box3_read_order_0_f1_11_0,text,0,"[302.400, 660.010, 395.000, 672.009]"
c1_3[0],Form1099-QA[0].CopyA[0].Box5_ReadOrder[0].c1_3[0],form1099_qa_0_copy_a_0_box5_read_order_0_c1_3_0,checkbox,0,"[383.599, 633.758, 391.599, 641.758]"
c1_2[0],Form1099-QA[0].CopyA[0].c1_2[0],form1099_qa_0_copy_a_0_c1_2_0,checkbox,0,"[484.399, 663.760, 492.399, 671.760]"
c1_4[0],Form1099-QA[0].CopyA[0].c1_4[0],form1099_qa_0_copy_a_0_c1_4_0,checkbox,0,"[484.399, 633.758, 492.399, 641.758]"
c1_1[0],Form1099-QA[0].CopyA[0].CopyHeader[0].c1_1[0],form1099_qa_0_copy_a_0_copy_header_0_c1_1_0,checkbox,0,"[187.200, 757.508, 197.200, 767.508]"
c1_1[1],Form1099-QA[0].CopyA[0].CopyHeader[0].c1_1[1],form1099_qa_0_copy_a_0_copy_header_0_c1_1_1,checkbox,0,"[244.800, 757.508, 254.800, 767.508]"
f1_1[0],Form1099-QA[0].CopyA[0].CopyHeader[0].f1_1[0],form1099_qa_0_copy_a_0_copy_header_0_f1_1_0,text,0,"[417.600, 687.008, 446.400, 696.007]"
f1_9[0],Form1099-QA[0].CopyA[0].f1_9[0],form1099_qa_0_copy_a_0_f1_9_0,text,0,"[302.400, 720.008, 395.000, 732.007]"
f1_10[0],Form1099-QA[0].CopyA[0].f1_10[0],form1099_qa_0_copy_a_0_f1_10_0,text,0,"[302.400, 684.008, 395.000, 696.007]"
f1_2[0],Form1099-QA[0].CopyA[0].LeftColumn[0].f1_2[0],form1099_qa_0_copy_a_0_left_column_0_f1_2_0,text,0,"[52.400, 684.008, 294.200, 732.007]"
f1_3[0],Form1099-QA[0].CopyA[0].LeftColumn[0].f1_3[0],form1099_qa_0_copy_a_0_left_column_0_f1_3_0,text,0,"[50.400, 660.007, 172.800, 674.008]"
f1_4[0],Form1099-QA[0].CopyA[0].LeftColumn[0].f1_4[0],form1099_qa_0_copy_a_0_left_column_0_f1_4_0,text,0,"[172.800, 660.007, 295.200, 674.008]"
f1_5[0],Form1099-QA[0].CopyA[0].LeftColumn[0].f1_5[0],form1099_qa_0_copy_a_0_left_column_0_f1_5_0,text,0,"[52.400, 624.007, 293.800, 650.007]"
f1_6[0],Form1099-QA[0].CopyA[0].LeftColumn[0].f1_6[0],form1099_qa_0_copy_a_0_left_column_0_f1_6_0,text,0,"[52.400, 600.006, 293.800, 614.007]"
f1_7[0],Form1099-QA[0].CopyA[0].LeftColumn[0].f1_7[0],form1099_qa_0_copy_a_0_left_column_0_f1_7_0,text,0,"[52.400, 576.008, 293.800, 590.009]"
f1_8[0],Form1099-QA[0].CopyA[0].LeftColumn[0].f1_8[0],form1099_qa_0_copy_a_0_left_column_0_f1_8_0,text,0,"[50.400, 552.007, 295.200, 566.008]"
f1_11[0],Form1099-QA[0].CopyB[0].Box3_ReadOrder[0].f1_11[0],form1099_qa_0_copy_b_0_box3_read_order_0_f1_11_0,text,1,"[302.400, 660.010, 395.000, 672.009]"
c1_3[0],Form1099-QA[0].CopyB[0].Box5_ReadOrder[0].c1_3[0],form1099_qa_0_copy_b_0_box5_read_order_0_c1_3_0,checkbox,1,"[383.599, 633.758, 391.599, 641.758]"
c1_2[0],Form1099-QA[0].CopyB[0].c1_2[0],form1099_qa_0_copy_b_0_c1_2_0,checkbox,1,"[484.399, 663.760, 492.399, 671.760]"
c1_4[0],Form1099-QA[0].CopyB[0].c1_4[0],form1099_qa_0_copy_b_0_c1_4_0,checkbox,1,"[484.399, 633.758, 492.399, 641.758]"
c1_1[0],Form1099-QA[0].CopyB[0].CopyHeader[0].c1_1[0],form1099_qa_0_copy_b_0_copy_header_0_c1_1_0,checkbox,1,"[244.800, 757.508, 254.800, 767.508]"
f1_1[0],Form1099-QA[0].CopyB[0].CopyHeader[0].f1_1[0],form1099_qa_0_copy_b_0_copy_header_0_f1_1_0,text,1,"[417.600, 687.008, 446.400, 696.007]"
f1_9[0],Form1099-QA[0].CopyB[0].f1_9[0],form1099_qa_0_copy_b_0_f1_9_0,text,1,"[302.400, 720.008, 395.000, 732.007]"
f1_10[0],Form1099-QA[0].CopyB[0].f1_10[0],form1099_qa_0_copy_b_0_f1_10_0,text,1,"[302.400, 684.008, 395.000, 696.007]"
f1_2[0],Form1099-QA[0].CopyB[0].LeftColumn[0].f1_2[0],form1099_qa_0_copy_b_0_left_column_0_f1_2_0,text,1,"[52.400, 684.008, 294.200, 732.007]"
f1_3[0],Form1099-QA[0].CopyB[0].LeftColumn[0].f1_3[0],form1099_qa_0_copy_b_0_left_column_0_f1_3_0,text,1,"[50.400, 660.007, 172.800, 674.008]"
f1_4[0],Form1099-QA[0].CopyB[0].LeftColumn[0].f1_4[0],form1099_qa_0_copy_b_0_left_column_0_f1_4_0,text,1,"[172.800, 660.007, 295.200, 674.008]"
f1_5[0],Form1099-QA[0].CopyB[0].LeftColumn[0].f1_5[0],form1099_qa_0_copy_b_0_left_column_0_f1_5_0,text,1,"[52.400, 624.007, 294.200, 650.007]"
f1_6[0],Form1099-QA[0].CopyB[0].LeftColumn[0].f1_6[0],form1099_qa_0_copy_b_0_left_column_0_f1_6_0,text,1,"[52.400, 600.006, 294.200, 614.007]"
f1_7[0],Form1099-QA[0].CopyB[0].LeftColumn[0].f1_7[0],form1099_qa_0_copy_b_0_left_column_0_f1_7_0,text,1,"[52.400, 576.008, 294.200, 590.009]"
f1_8[0],Form1099-QA[0].CopyB[0].LeftColumn[0].f1_8[0],form1099_qa_0_copy_b_0_left_column_0_f1_8_0,text,1,"[50.400, 552.007, 295.200, 566.008]"
