old_field_name,old_full_name,semantic_field_name,field_type,pages_0_indexed,rect_first_occurrence
f2_10[0],topmostSubform[0].Copy1[0].Box3_ReadOrder[0].f2_10[0],topmos_subform_0_copy1_0_box3_rea_order_0_f2_10_0,text,2,"[302.400,612.000,395.000,623.999]"
f2_12[0],topmostSubform[0].Copy1[0].Box5_ReadOrder[0].f2_12[0],topmos_subform_0_copy1_0_box5_rea_order_0_f2_12_0,text,2,"[302.400,564.001,395.000,576.000]"
c2_4[0],topmostSubform[0].Copy1[0].Box7_ReadOrder[0].c2_4[0],topmos_subform_0_copy1_0_box7_rea_order_0_c2_4_0,checkbox,2,"[377.300,529.501,387.300,539.501]"
f2_14[0],topmostSubform[0].Copy1[0].Box7_ReadOrder[0].f2_14[0],topmos_subform_0_copy1_0_box7_rea_order_0_f2_14_0,text,2,"[296.200,528.001,366.200,540.001]"
f2_17[0],topmostSubform[0].Copy1[0].Box9a_ReadOrder[0].f2_17[0],topmos_subform_0_copy1_0_box9a_rea_order_0_f2_17_0,text,2,"[352.800,504.000,386.000,515.999]"
f2_19[0],topmostSubform[0].Copy1[0].Box10[0].f2_19[0],topmos_subform_0_copy1_0_box10_0_f2_19_0,text,2,"[57.600,468.000,164.600,479.999]"
c2_5[0],topmostSubform[0].Copy1[0].Box12-13_ReadOrder[0].c2_5[0],topmos_subform_0_copy1_0_box12_13_rea_order_0_c2_5_0,checkbox,2,"[262.100,472.502,272.100,482.502]"
f2_21[0],topmostSubform[0].Copy1[0].Box12-13_ReadOrder[0].f2_21[0],topmos_subform_0_copy1_0_box12_13_rea_order_0_f2_21_0,text,2,"[237.600,432.000,295.200,444.000]"
f2_22[0],topmostSubform[0].Copy1[0].Box14_ReadOrder[0].f2_22[0],topmos_subform_0_copy1_0_box14_rea_order_0_f2_22_0,text,2,"[302.400,480.002,395.000,492.001]"
f2_23[0],topmostSubform[0].Copy1[0].Box14_ReadOrder[0].f2_23[0],topmos_subform_0_copy1_0_box14_rea_order_0_f2_23_0,text,2,"[302.400,468.000,395.000,479.999]"
f2_24[0],topmostSubform[0].Copy1[0].Box15_ReadOrder[0].f2_24[0],topmos_subform_0_copy1_0_box15_rea_order_0_f2_24_0,text,2,"[396.000,480.002,496.800,492.001]"
f2_25[0],topmostSubform[0].Copy1[0].Box15_ReadOrder[0].f2_25[0],topmos_subform_0_copy1_0_box15_rea_order_0_f2_25_0,text,2,"[396.000,468.000,496.800,479.999]"
f2_28[0],topmostSubform[0].Copy1[0].Box17_ReadOrder[0].f2_28[0],topmos_subform_0_copy1_0_box17_rea_order_0_f2_28_0,text,2,"[302.400,444.002,395.000,456.001]"
f2_29[0],topmostSubform[0].Copy1[0].Box17_ReadOrder[0].f2_29[0],topmos_subform_0_copy1_0_box17_rea_order_0_f2_29_0,text,2,"[302.400,432.000,395.000,443.999]"
f2_30[0],topmostSubform[0].Copy1[0].Box18_ReadOrder[0].f2_30[0],topmos_subform_0_copy1_0_box18_rea_order_0_f2_30_0,text,2,"[397.000,444.002,495.800,456.001]"
f2_31[0],topmostSubform[0].Copy1[0].Box18_ReadOrder[0].f2_31[0],topmos_subform_0_copy1_0_box18_rea_order_0_f2_31_0,text,2,"[397.000,432.000,495.800,443.999]"
c2_1[0],topmostSubform[0].Copy1[0].c2_1[0],topmos_subform_0_copy1_0_c2_1_0,checkbox,2,"[188.200,757.750,198.200,767.750]"
c2_1[1],topmostSubform[0].Copy1[0].c2_1[1],topmos_subform_0_copy1_0_c2_1_1,checkbox,2,"[245.800,757.750,255.800,767.750]"
c2_2[0],topmostSubform[0].Copy1[0].c2_2[0],topmos_subform_0_copy1_0_c2_2_0,checkbox,2,"[374.800,664.500,384.800,674.500]"
c2_3[0],topmostSubform[0].Copy1[0].c2_3[0],topmos_subform_0_copy1_0_c2_3_0,checkbox,2,"[461.200,664.500,471.200,674.500]"
f2_08[0],topmostSubform[0].Copy1[0].f2_08[0],topmos_subform_0_copy1_0_f2_08_0,text,2,"[302.400,720.000,395.000,731.999]"
f2_09[0],topmostSubform[0].Copy1[0].f2_09[0],topmos_subform_0_copy1_0_f2_09_0,text,2,"[302.400,684.000,395.000,695.999]"
