old_field_name,old_full_name,semantic_field_name,field_type,pages_0_indexed,rect_first_occurrence
c1_1[0],Form1099-S[0].CopyA[0].CopyHeader[0].c1_1[0],form1099_s_0_copy_a_0_copy_header_0_c1_1_0,checkbox,1,"[187.200, 757.875, 197.200, 767.875]"
c1_1[1],Form1099-S[0].CopyA[0].CopyHeader[0].c1_1[1],form1099_s_0_copy_a_0_copy_header_0_c1_1_1,checkbox,1,"[244.800, 757.875, 254.800, 767.875]"
f1_1[0],Form1099-S[0].CopyA[0].CopyHeader[0].f1_1[0],form1099_s_0_copy_a_0_copy_header_0_f1_1_0,text,1,"[424.800, 687.000, 446.400, 695.999]"
f1_2[0],Form1099-S[0].CopyA[0].LeftCol[0].f1_2[0],form1099_s_0_copy_a_0_left_col_0_f1_2_0,text,1,"[52.400, 684.000, 294.450, 732.000]"
f1_3[0],Form1099-S[0].CopyA[0].LeftCol[0].f1_3[0],form1099_s_0_copy_a_0_left_col_0_f1_3_0,text,1,"[50.400, 659.999, 172.800, 674.000]"
f1_4[0],Form1099-S[0].CopyA[0].LeftCol[0].f1_4[0],form1099_s_0_copy_a_0_left_col_0_f1_4_0,text,1,"[172.800, 659.999, 295.200, 674.000]"
f1_5[0],Form1099-S[0].CopyA[0].LeftCol[0].f1_5[0],form1099_s_0_copy_a_0_left_col_0_f1_5_0,text,1,"[52.400, 623.999, 294.450, 649.999]"
f1_6[0],Form1099-S[0].CopyA[0].LeftCol[0].f1_6[0],form1099_s_0_copy_a_0_left_col_0_f1_6_0,text,1,"[52.400, 599.998, 294.450, 613.999]"
f1_7[0],Form1099-S[0].CopyA[0].LeftCol[0].f1_7[0],form1099_s_0_copy_a_0_left_col_0_f1_7_0,text,1,"[52.400, 576.000, 294.450, 590.001]"
f1_8[0],Form1099-S[0].CopyA[0].LeftCol[0].f1_8[0],form1099_s_0_copy_a_0_left_col_0_f1_8_0,text,1,"[50.400, 551.999, 295.200, 566.000]"
c1_2[0],Form1099-S[0].CopyA[0].RightCol[0].c1_2[0],form1099_s_0_copy_a_0_right_col_0_c1_2_0,checkbox,1,"[482.400, 617.501, 492.400, 627.501]"
c1_3[0],Form1099-S[0].CopyA[0].RightCol[0].c1_3[0],form1099_s_0_copy_a_0_right_col_0_c1_3_0,checkbox,1,"[482.800, 584.500, 492.800, 594.500]"
f1_9[0],Form1099-S[0].CopyA[0].RightCol[0].f1_9[0],form1099_s_0_copy_a_0_right_col_0_f1_9_0,text,1,"[295.200, 720.000, 396.000, 746.000]"
f1_10[0],Form1099-S[0].CopyA[0].RightCol[0].f1_10[0],form1099_s_0_copy_a_0_right_col_0_f1_10_0,text,1,"[307.200, 684.000, 395.000, 695.999]"
f1_11[0],Form1099-S[0].CopyA[0].RightCol[0].f1_11[0],form1099_s_0_copy_a_0_right_col_0_f1_11_0,text,1,"[296.200, 636.001, 496.050, 674.000]"
f1_12[0],Form1099-S[0].CopyA[0].RightCol[0].f1_12[0],form1099_s_0_copy_a_0_right_col_0_f1_12_0,text,1,"[307.200, 552.002, 495.800, 564.001]"
c2_1[0],Form1099-S[0].CopyB[0].CopyHeader[0].c2_1[0],form1099_s_0_copy_b_0_copy_header_0_c2_1_0,checkbox,2,"[244.800, 757.875, 254.800, 767.875]"
f2_1[0],Form1099-S[0].CopyB[0].CopyHeader[0].f2_1[0],form1099_s_0_copy_b_0_copy_header_0_f2_1_0,text,2,"[424.800, 687.000, 446.400, 695.999]"
f2_2[0],Form1099-S[0].CopyB[0].LeftCol[0].f2_2[0],form1099_s_0_copy_b_0_left_col_0_f2_2_0,text,2,"[52.400, 684.000, 294.450, 732.000]"
f2_3[0],Form1099-S[0].CopyB[0].LeftCol[0].f2_3[0],form1099_s_0_copy_b_0_left_col_0_f2_3_0,text,2,"[50.400, 659.999, 172.800, 674.000]"
f2_4[0],Form1099-S[0].CopyB[0].LeftCol[0].f2_4[0],form1099_s_0_copy_b_0_left_col_0_f2_4_0,text,2,"[172.800, 659.999, 295.200, 674.000]"
f2_5[0],Form1099-S[0].CopyB[0].LeftCol[0].f2_5[0],form1099_s_0_copy_b_0_left_col_0_f2_5_0,text,2,"[52.400, 623.999, 294.450, 649.999]"
f2_6[0],Form1099-S[0].CopyB[0].LeftCol[0].f2_6[0],form1099_s_0_copy_b_0_left_col_0_f2_6_0,text,2,"[52.400, 599.998, 294.450, 613.999]"
f2_7[0],Form1099-S[0].CopyB[0].LeftCol[0].f2_7[0],form1099_s_0_copy_b_0_left_col_0_f2_7_0,text,2,"[52.400, 576.000, 294.450, 590.001]"
f2_8[0],Form1099-S[0].CopyB[0].LeftCol[0].f2_8[0],form1099_s_0_copy_b_0_left_col_0_f2_8_0,text,2,"[50.400, 551.999, 295.200, 566.000]"
c2_2[0],Form1099-S[0].CopyB[0].RightCol[0].c2_2[0],form1099_s_0_copy_b_0_right_col_0_c2_2_0,checkbox,2,"[482.400, 617.501, 492.400, 627.501]"
c2_3[0],Form1099-S[0].CopyB[0].RightCol[0].c2_3[0],form1099_s_0_copy_b_0_right_col_0_c2_3_0,checkbox,2,"[482.800, 586.000, 492.800, 596.000]"
f2_9[0],Form1099-S[0].CopyB[0].RightCol[0].f2_9[0],form1099_s_0_copy_b_0_right_col_0_f2_9_0,text,2,"[295.200, 720.000, 396.000, 746.000]"
f2_10[0],Form1099-S[0].CopyB[0].RightCol[0].f2_10[0],form1099_s_0_copy_b_0_right_col_0_f2_10_0,text,2,"[307.200, 684.000, 395.000, 695.999]"
f2_11[0],Form1099-S[0].CopyB[0].RightCol[0].f2_11[0],form1099_s_0_copy_b_0_right_col_0_f2_11_0,text,2,"[296.200, 636.001, 495.800, 674.000]"
f2_12[0],Form1099-S[0].CopyB[0].RightCol[0].f2_12[0],form1099_s_0_copy_b_0_right_col_0_f2_12_0,text,2,"[307.200, 552.002, 495.800, 564.001]"
