old_field_name,semantic_field_name,field_type,pages_0_indexed,rect_first_occurrence
c1_1[0],header_checkbox_indicator,checkbox,"0","[565.000, 662.968, 573.000, 670.968]"
c3_1[0],part3_line_08_checkbox_indicator,checkbox,"2","[481.200, 539.967, 489.200, 547.967]"
f1_1[0],taxpayer_name,text,"0","[36.000, 683.968, 474.450, 697.969]"
f1_2[0],taxpayer_ssn,text,"0","[475.200, 683.968, 576.000, 697.969]"
f1_3[0],home_address_street,text,"0","[152.200, 659.967, 424.050, 673.968]"
f1_4[0],home_address_apt_no,text,"0","[424.800, 659.967, 475.200, 673.968]"
f1_5[0],home_address_city_state_zip,text,"0","[152.200, 635.966, 575.250, 649.967]"
f1_6[0],foreign_country_name,text,"0","[152.200, 611.968, 308.850, 625.969]"
f1_7[0],foreign_province_state_county,text,"0","[310.600, 611.968, 474.450, 625.969]"
f1_8[0],foreign_postal_code,text,"0","[475.200, 611.968, 576.000, 625.969]"
f1_9[0],part1_line_01_amount,text,"0","[504.000, 527.969, 576.000, 539.968]"
f1_10[0],part1_line_02_amount,text,"0","[316.800, 503.968, 352.800, 515.967]"
f1_11[0],part1_line_03_amount,text,"0","[504.000, 503.968, 576.000, 515.967]"
f1_12[0],part1_line_04_amount,text,"0","[504.000, 491.969, 576.000, 503.968]"
f1_13[0],part1_line_05_amount,text,"0","[504.000, 479.970, 576.000, 491.969]"
f1_14[0],part1_line_06_amount,text,"0","[504.000, 407.970, 576.000, 419.969]"
f1_15[0],part1_line_07_amount,text,"0","[504.000, 395.968, 576.000, 407.967]"
f1_16[0],part1_line_08_amount,text,"0","[504.000, 383.969, 576.000, 395.968]"
f1_17[0],part1_line_09_amount,text,"0","[504.000, 371.970, 576.000, 383.969]"
f1_18[0],part1_line_10_amount,text,"0","[504.000, 323.968, 576.000, 335.967]"
f1_19[0],part1_line_11_amount,text,"0","[410.400, 299.970, 481.650, 311.969]"
f1_20[0],part1_line_12_amount,text,"0","[410.400, 287.968, 481.650, 299.967]"
f1_21[0],part1_line_13_amount,text,"0","[410.400, 263.970, 481.650, 275.969]"
f1_22[0],part1_line_14_amount,text,"0","[504.000, 251.968, 576.000, 263.967]"
f1_23[0],part1_line_15_amount,text,"0","[504.000, 239.969, 576.000, 251.968]"
f1_24[0],part1_line_16_amount,text,"0","[504.000, 227.970, 576.000, 239.969]"
f1_25[0],part1_line_17_amount,text,"0","[504.000, 215.968, 576.000, 227.967]"
f1_26[0],part1_line_18_amount,text,"0","[504.000, 191.970, 576.000, 203.969]"
f1_27[0],part1_line_19_amount,text,"0","[504.000, 143.968, 576.000, 155.967]"
f1_28[0],part1_line_20_amount,text,"0","[410.400, 119.970, 481.650, 131.969]"
f1_29[0],part1_line_21_amount,text,"0","[410.400, 107.968, 481.650, 119.967]"
f1_30[0],part1_line_22_amount,text,"0","[504.000, 95.969, 576.000, 107.968]"
f1_31[0],part1_line_23_amount,text,"0","[504.000, 83.970, 576.000, 95.969]"
f1_32[0],part1_line_24_amount,text,"0","[504.000, 71.968, 576.000, 83.967]"
f1_33[0],part1_line_25_amount,text,"0","[504.000, 59.969, 576.000, 71.968]"
f1_34[0],part1_line_26_amount,text,"0","[504.000, 35.968, 576.000, 47.967]"
f2_1[0],part2_line_01_amount,text,"1","[504.000, 707.969, 576.000, 719.968]"
f2_2[0],part2_line_02_amount,text,"1","[410.400, 683.968, 481.650, 695.967]"
f2_3[0],part2_line_03_amount,text,"1","[410.400, 671.969, 481.650, 683.968]"
f2_4[0],part2_line_04_amount,text,"1","[504.000, 659.970, 576.000, 671.969]"
f2_5[0],part2_line_05_amount,text,"1","[504.000, 647.968, 576.000, 659.967]"
f2_6[0],part2_line_06_amount,text,"1","[504.000, 635.969, 576.000, 647.968]"
f2_7[0],part2_line_07_amount,text,"1","[504.000, 623.970, 576.000, 635.969]"
f2_8[0],part2_line_08_amount,text,"1","[504.000, 599.969, 576.000, 611.968]"
f2_9[0],part2_line_09_amount,text,"1","[504.000, 563.969, 576.000, 575.968]"
f2_10[0],part2_line_10_amount,text,"1","[410.400, 539.968, 481.650, 551.967]"
f2_11[0],part2_line_11_amount,text,"1","[410.400, 527.969, 481.650, 539.968]"
f2_12[0],part2_line_12_amount,text,"1","[504.000, 515.970, 576.000, 527.969]"
f2_13[0],part2_line_13_amount,text,"1","[504.000, 503.968, 576.000, 515.967]"
f2_14[0],part2_line_14_amount,text,"1","[504.000, 491.969, 576.000, 503.968]"
f2_15[0],part2_line_15_amount,text,"1","[504.000, 479.970, 576.000, 491.969]"
f2_16[0],part2_line_16_amount,text,"1","[504.000, 443.970, 576.000, 455.969]"
f2_17[0],part2_line_17_amount,text,"1","[504.000, 395.968, 576.000, 407.967]"
f2_18[0],part2_line_18_amount,text,"1","[410.400, 371.970, 481.650, 383.969]"
f2_19[0],part2_line_19_amount,text,"1","[410.400, 359.968, 481.650, 371.967]"
f2_20[0],part2_line_20_amount,text,"1","[504.000, 347.969, 576.000, 359.968]"
f2_21[0],part2_line_21_amount,text,"1","[504.000, 335.970, 576.000, 347.969]"
f2_22[0],part2_line_22_amount,text,"1","[504.000, 323.968, 576.000, 335.967]"
f2_23[0],part2_line_23_amount,text,"1","[504.000, 311.969, 576.000, 323.968]"
f2_24[0],part2_line_24_amount,text,"1","[504.000, 287.968, 576.000, 299.967]"
f2_25[0],part2_line_25_amount,text,"1","[504.000, 251.968, 576.000, 263.967]"
f2_26[0],part2_line_26_amount,text,"1","[504.000, 227.970, 576.000, 239.969]"
