page,old_full_name,new_full_name,new_leaf_name,tooltip_label,type,rect
1,topmostSubform[0].Page1[0].c1_1[0],topmostSubform[0].Page1[0].line5a_battery_storage_capacity_at_least_3kwh_yes,line5a_battery_storage_capacity_at_least_3kwh_yes,Line5a Battery Storage Capacity At Least 3kwh Yes,CheckBox,"(511.2, 457.469, 520.2, 466.469)"
1,topmostSubform[0].Page1[0].c1_1[1],topmostSubform[0].Page1[0].line5a_battery_storage_capacity_at_least_3kwh_no,line5a_battery_storage_capacity_at_least_3kwh_no,Line5a Battery Storage Capacity At Least 3kwh No,CheckBox,"(550.2, 457.469, 559.2, 466.469)"
1,topmostSubform[0].Page1[0].c1_2[0],topmostSubform[0].Page1[0].line7a_fuel_cell_main_home_in_us_yes,line7a_fuel_cell_main_home_in_us_yes,Line7a Fuel Cell Main Home In Us Yes,CheckBox,"(511.2, 361.468, 520.2, 370.468)"
1,topmostSubform[0].Page1[0].c1_2[1],topmostSubform[0].Page1[0].line7a_fuel_cell_main_home_in_us_no,line7a_fuel_cell_main_home_in_us_no,Line7a Fuel Cell Main Home In Us No,CheckBox,"(550.2, 361.468, 559.2, 370.468)"
1,topmostSubform[0].Page1[0].c1_3[0],topmostSubform[0].Page1[0].line7c_joint_occupants_special_rule_check,line7c_joint_occupants_special_rule_check,Line7c Joint Occupants Special Rule Check,CheckBox,"(297.199, 277.969, 305.199, 285.969)"
1,topmostSubform[0].Page1[0].f1_01[0],topmostSubform[0].Page1[0].names_shown_on_return,names_shown_on_return,Names Shown On Return,Text,"(36, 683.968, 467.25, 697.969)"
1,topmostSubform[0].Page1[0].f1_02[0],topmostSubform[0].Page1[0].your_social_security_number,your_social_security_number,Your Social Security Number,Text,"(468, 683.968, 576, 697.969)"
1,topmostSubform[0].Page1[0].f1_03[0],topmostSubform[0].Page1[0].line1_5b_home_address_street,line1_5b_home_address_street,Line1 5b Home Address Street,Text,"(36, 611.965, 273.6, 623.967)"
1,topmostSubform[0].Page1[0].f1_04[0],topmostSubform[0].Page1[0].line1_5b_home_address_unit_no,line1_5b_home_address_unit_no,Line1 5b Home Address Unit No,Text,"(280.8, 611.965, 324, 623.967)"
1,topmostSubform[0].Page1[0].f1_05[0],topmostSubform[0].Page1[0].line1_5b_home_address_city,line1_5b_home_address_city,Line1 5b Home Address City,Text,"(331.2, 611.965, 482.4, 623.967)"
1,topmostSubform[0].Page1[0].f1_06[0],topmostSubform[0].Page1[0].line1_5b_home_address_state,line1_5b_home_address_state,Line1 5b Home Address State,Text,"(489.6, 611.965, 518.4, 623.967)"
1,topmostSubform[0].Page1[0].f1_07[0],topmostSubform[0].Page1[0].line1_5b_home_address_zip,line1_5b_home_address_zip,Line1 5b Home Address Zip,Text,"(525.6, 611.965, 576, 623.967)"
1,topmostSubform[0].Page1[0].f1_08[0],topmostSubform[0].Page1[0].line1_qualified_solar_electric_property_costs,line1_qualified_solar_electric_property_costs,Line1 Qualified Solar Electric Property Costs,Text,"(504, 575.968, 576, 587.967)"
1,topmostSubform[0].Page1[0].f1_09[0],topmostSubform[0].Page1[0].line2_qualified_solar_water_heating_property_costs,line2_qualified_solar_water_heating_property_costs,Line2 Qualified Solar Water Heating Property Costs,Text,"(504, 551.97, 576, 563.969)"
1,topmostSubform[0].Page1[0].f1_10[0],topmostSubform[0].Page1[0].line3_qualified_small_wind_energy_property_costs,line3_qualified_small_wind_energy_property_costs,Line3 Qualified Small Wind Energy Property Costs,Text,"(504, 527.969, 576, 539.968)"
1,topmostSubform[0].Page1[0].f1_11[0],topmostSubform[0].Page1[0].line4_qualified_geothermal_heat_pump_property_costs,line4_qualified_geothermal_heat_pump_property_costs,Line4 Qualified Geothermal Heat Pump Property Costs,Text,"(504, 503.968, 576, 515.967)"
1,topmostSubform[0].Page1[0].f1_12[0],topmostSubform[0].Page1[0].line5b_qualified_battery_storage_technology_costs,line5b_qualified_battery_storage_technology_costs,Line5b Qualified Battery Storage Technology Costs,Text,"(504, 443.97, 576, 455.969)"
1,topmostSubform[0].Page1[0].f1_13[0],topmostSubform[0].Page1[0].line6a_add_lines_1_through_5b,line6a_add_lines_1_through_5b,Line6a Add Lines 1 Through 5b,Text,"(504, 419.969, 576, 431.968)"
1,topmostSubform[0].Page1[0].f1_14[0],topmostSubform[0].Page1[0].line6b_multiply_line6a_by_30_percent,line6b_multiply_line6a_by_30_percent,Line6b Multiply Line6a By 30 Percent,Text,"(504, 395.968, 576, 407.967)"
1,topmostSubform[0].Page1[0].f1_15[0],topmostSubform[0].Page1[0].line7b_fuel_cell_home_address_street,line7b_fuel_cell_home_address_street,Line7b Fuel Cell Home Address Street,Text,"(64.8, 311.966, 237.60000000000002, 323.968)"
1,topmostSubform[0].Page1[0].f1_16[0],topmostSubform[0].Page1[0].line7b_fuel_cell_home_address_unit_no,line7b_fuel_cell_home_address_unit_no,Line7b Fuel Cell Home Address Unit No,Text,"(244.8, 311.966, 288, 323.968)"
1,topmostSubform[0].Page1[0].f1_17[0],topmostSubform[0].Page1[0].line7b_fuel_cell_home_address_city,line7b_fuel_cell_home_address_city,Line7b Fuel Cell Home Address City,Text,"(295.2, 311.966, 381.6, 323.968)"
1,topmostSubform[0].Page1[0].f1_18[0],topmostSubform[0].Page1[0].line7b_fuel_cell_home_address_state,line7b_fuel_cell_home_address_state,Line7b Fuel Cell Home Address State,Text,"(388.8, 311.966, 417.6, 323.968)"
