page,old_full_name,new_full_name,new_leaf_name,tooltip_label,type,rect
1,topmostSubform[0].Page1[0].f1_01[0],topmostSubform[0].Page1[0].parent_name,parent_name,Parent Name,Text,"(36, 683.968, 445.65, 697.969)"
1,topmostSubform[0].Page1[0].f1_02[0],topmostSubform[0].Page1[0].parent_ssn,parent_ssn,Parent Ssn,Text,"(447.4, 683.968, 576, 697.969)"
1,topmostSubform[0].Page1[0].f1_03[0],topmostSubform[0].Page1[0].child_name,child_name,Child Name,Text,"(36, 623.967, 445.65, 637.468)"
1,topmostSubform[0].Page1[0].f1_04[0],topmostSubform[0].Page1[0].child_ssn,child_ssn,Child Ssn,Text,"(447.4, 623.967, 576, 637.468)"
1,topmostSubform[0].Page1[0].c1_1[0],topmostSubform[0].Page1[0].box_c_more_than_one_form8814_attached_check,box_c_more_than_one_form8814_attached_check,Box C More Than One Form8814 Attached Check,CheckBox,"(565.6, 606.967, 575.6, 616.967)"
1,topmostSubform[0].Page1[0].f1_05[0],topmostSubform[0].Page1[0].line1a_child_taxable_interest_amount,line1a_child_taxable_interest_amount,Line1a Child Taxable Interest Amount,Text,"(504, 551.97, 576, 563.969)"
1,topmostSubform[0].Page1[0].f1_06[0],topmostSubform[0].Page1[0].line1b_child_tax_exempt_interest_amount,line1b_child_tax_exempt_interest_amount,Line1b Child Tax Exempt Interest Amount,Text,"(410.4, 539.968, 481.65, 551.967)"
1,topmostSubform[0].Page1[0].f1_07[0],topmostSubform[0].Page1[0].line2a_child_ordinary_dividends_amount,line2a_child_ordinary_dividends_amount,Line2a Child Ordinary Dividends Amount,Text,"(504, 515.97, 576, 527.969)"
1,topmostSubform[0].Page1[0].f1_08[0],topmostSubform[0].Page1[0].line2b_child_qualified_dividends_amount,line2b_child_qualified_dividends_amount,Line2b Child Qualified Dividends Amount,Text,"(410.4, 503.968, 481.65, 515.967)"
1,topmostSubform[0].Page1[0].f1_09[0],topmostSubform[0].Page1[0].line3_child_capital_gain_distributions_amount,line3_child_capital_gain_distributions_amount,Line3 Child Capital Gain Distributions Amount,Text,"(504, 479.97, 576, 491.969)"
1,topmostSubform[0].Page1[0].f1_10[0],topmostSubform[0].Page1[0].line4_add_lines_1a_2a_and_3_total_amount,line4_add_lines_1a_2a_and_3_total_amount,Line4 Add Lines 1a 2a And 3 Total Amount,Text,"(504, 443.97, 576, 455.969)"
1,topmostSubform[0].Page1[0].f1_11[0],topmostSubform[0].Page1[0].line11_right_margin_pdf_artifact_unused,line11_right_margin_pdf_artifact_unused,Line11 Right Margin Pdf Artifact Unused,Text,"(575, 431.968, 576, 443.967)"
1,topmostSubform[0].Page1[0].f1_12[0],topmostSubform[0].Page1[0].line6_subtract_2700_base_from_line4_amount,line6_subtract_2700_base_from_line4_amount,Line6 Subtract 2700 Base From Line4 Amount,Text,"(504, 419.969, 576, 431.968)"
1,topmostSubform[0].Page1[0].f1_13[0],topmostSubform[0].Page1[0].line7_divide_line2b_by_line4_ratio_whole_part,line7_divide_line2b_by_line4_ratio_whole_part,Line7 Divide Line2b By Line4 Ratio Whole Part,Text,"(410.4, 371.97, 453.6, 383.969)"
1,topmostSubform[0].Page1[0].f1_14[0],topmostSubform[0].Page1[0].line7_divide_line2b_by_line4_ratio_decimal_part,line7_divide_line2b_by_line4_ratio_decimal_part,Line7 Divide Line2b By Line4 Ratio Decimal Part,Text,"(459.6, 371.97, 482.4, 383.969)"
1,topmostSubform[0].Page1[0].f1_15[0],topmostSubform[0].Page1[0].line8_divide_line3_by_line4_ratio_whole_part,line8_divide_line3_by_line4_ratio_whole_part,Line8 Divide Line3 By Line4 Ratio Whole Part,Text,"(410.4, 347.969, 453.6, 359.968)"
1,topmostSubform[0].Page1[0].f1_16[0],topmostSubform[0].Page1[0].line8_divide_line3_by_line4_ratio_decimal_part,line8_divide_line3_by_line4_ratio_decimal_part,Line8 Divide Line3 By Line4 Ratio Decimal Part,Text,"(459.6, 347.969, 482.4, 359.968)"
1,topmostSubform[0].Page1[0].f1_17[0],topmostSubform[0].Page1[0].line9_multiply_line6_by_line7_to_form1040_line3a_amount,line9_multiply_line6_by_line7_to_form1040_line3a_amount,Line9 Multiply Line6 By Line7 To Form1040 Line3a Amount,Text,"(410.4, 323.968, 481.65, 335.967)"
1,topmostSubform[0].Page1[0].f1_18[0],topmostSubform[0].Page1[0].line10_multiply_line6_by_line8_to_form1040_line7a_or_schedule_d_amount,line10_multiply_line6_by_line8_to_form1040_line7a_or_schedule_d_amount,Line10 Multiply Line6 By Line8 To Form1040 Line7a Or Schedule D Amount,Text,"(410.4, 299.97, 481.65, 311.969)"
1,topmostSubform[0].Page1[0].f1_19[0],topmostSubform[0].Page1[0].line11_add_lines_9_and_10_amount,line11_add_lines_9_and_10_amount,Line11 Add Lines 9 And 10 Amount,Text,"(504, 287.968, 576, 299.967)"
1,topmostSubform[0].Page1[0].f1_20[0],topmostSubform[0].Page1[0].line12_subtract_line11_from_line6_to_schedule1_line8z_amount,line12_subtract_line11_from_line6_to_schedule1_line8z_amount,Line12 Subtract Line11 From Line6 To Schedule1 Line8z Amount,Text,"(504, 251.968, 576, 263.967)"
1,topmostSubform[0].Page1[0].f1_21[0],topmostSubform[0].Page1[0].line14_right_margin_pdf_artifact_unused,line14_right_margin_pdf_artifact_unused,Line14 Right Margin Pdf Artifact Unused,Text,"(575, 215.968, 576, 227.967)"
1,topmostSubform[0].Page1[0].f1_22[0],topmostSubform[0].Page1[0].line14_subtract_1350_from_line4_capped_at_1350_amount,line14_subtract_1350_from_line4_capped_at_1350_amount,Line14 Subtract 1350 From Line4 Capped At 1350 Amount,Text,"(504, 203.969, 576, 215.968)"
1,topmostSubform[0].Page1[0].Line15_ReadOrder[0].c1_2[0],topmostSubform[0].Page1[0].Line15_ReadOrder[0].line15_amount_on_line4_less_than_2700_no_branch_enter_135_check,line15_amount_on_line4_less_than_2700_no_branch_enter_135_check,Line15 Amount On Line4 Less Than 2700 No Branch Enter 135 Check,CheckBox,"(64.8, 181.968, 72.8, 189.968)"
1,topmostSubform[0].Page1[0].Line15_ReadOrder[0].c1_2[1],topmostSubform[0].Page1[0].Line15_ReadOrder[0].line15_amount_on_line4_less_than_2700_yes_branch_multiply_by_10_percent_check,line15_amount_on_line4_less_than_2700_yes_branch_multiply_by_10_percent_check,Line15 Amount On Line4 Less Than 2700 Yes Branch Multiply By 10 Percent Check,CheckBox,"(64.8, 169.969, 72.8, 177.969)"
1,topmostSubform[0].Page1[0].f1_23[0],topmostSubform[0].Page1[0].line15_tax_at_10_percent_max_135_to_form1040_line16_box1_amount,line15_tax_at_10_percent_max_135_to_form1040_line16_box1_amount,Line15 Tax At 10 Percent Max 135 To Form1040 Line16 Box1 Amount,Text,"(504, 179.968, 576, 191.967)"
