old_field_name,old_full_name,semantic_field_name,field_type,pages_0_indexed,rect_first_occurrence
c1_4[0],topmostSubform[0].Page1[0].c1_4[0],page1_0_c1_4_0,checkbox,0,"[504.000, 481.002, 514.000, 491.002]"
c1_4[1],topmostSubform[0].Page1[0].c1_4[1],page1_0_c1_4_1,checkbox,0,"[547.200, 481.002, 557.200, 491.002]"
c1_5[0],topmostSubform[0].Page1[0].c1_5[0],page1_0_c1_5_0,checkbox,0,"[504.000, 421.001, 514.000, 431.001]"
c1_5[1],topmostSubform[0].Page1[0].c1_5[1],page1_0_c1_5_1,checkbox,0,"[547.200, 421.001, 557.200, 431.001]"
c1_6[0],topmostSubform[0].Page1[0].c1_6[0],page1_0_c1_6_0,checkbox,0,"[504.000, 241.001, 514.000, 251.001]"
c1_6[1],topmostSubform[0].Page1[0].c1_6[1],page1_0_c1_6_1,checkbox,0,"[547.200, 241.001, 557.200, 251.001]"
c1_1[0],topmostSubform[0].Page1[0].Checkbox1_ReadOrder[0].c1_1[0],page1_0_checkbox1_read_order_0_c1_1_0,checkbox,0,"[110.400, 528.001, 120.400, 538.001]"
c1_2[0],topmostSubform[0].Page1[0].Checkbox2_ReadOrder[0].c1_2[0],page1_0_checkbox2_read_order_0_c1_2_0,checkbox,0,"[290.400, 528.001, 300.400, 538.001]"
c1_3[0],topmostSubform[0].Page1[0].Checkbox3_ReadOrder[0].c1_3[0],page1_0_checkbox3_read_order_0_c1_3_0,checkbox,0,"[492.000, 528.001, 502.000, 538.001]"
f1_10[0],topmostSubform[0].Page1[0].Child1_Birth_Ln8[0].f1_10[0],page1_0_child1_birth_ln8_0_f1_10_0,text,0,"[188.800, 120.002, 216.000, 132.001]"
f1_11[0],topmostSubform[0].Page1[0].Child1_Birth_Ln8[0].f1_11[0],page1_0_child1_birth_ln8_0_f1_11_0,text,0,"[226.000, 120.002, 252.000, 132.001]"
f1_07[0],topmostSubform[0].Page1[0].Child1_CombField[0].f1_07[0],page1_0_child1_comb_field_0_f1_07_0,text,0,"[98.800, 192.002, 136.800, 204.001]"
