old_field_name,old_full_name,semantic_field_name,field_type,pages_0_indexed,rect_first_occurrence
c1_1[0],topmostSubform[0].Page1[0].c1_1[0],page1_0_c1_1_0,checkbox,0,"[65.800,487.968,73.800,495.968]"
c1_1[1],topmostSubform[0].Page1[0].c1_1[1],page1_0_c1_1_1,checkbox,0,"[65.800,475.969,73.800,483.969]"
f1_01[0],topmostSubform[0].Page1[0].f1_01[0],page1_0_f1_01_0,text,0,"[36.000,683.968,460.050,697.969]"
f1_02[0],topmostSubform[0].Page1[0].f1_02[0],page1_0_f1_02_0,text,0,"[461.800,683.968,576.000,697.969]"
f1_03[0],topmostSubform[0].Page1[0].f1_03[0],page1_0_f1_03_0,text,0,"[446.400,623.970,576.000,635.969]"
f1_04[0],topmostSubform[0].Page1[0].f1_04[0],page1_0_f1_04_0,text,0,"[200.912,611.968,576.000,623.967]"
f1_05[0],topmostSubform[0].Page1[0].f1_05[0],page1_0_f1_05_0,text,0,"[251.200,599.969,432.000,611.968]"
f1_06[0],topmostSubform[0].Page1[0].f1_06[0],page1_0_f1_06_0,text,0,"[506.600,599.969,576.000,611.968]"
f1_07[0],topmostSubform[0].Page1[0].f1_07[0],page1_0_f1_07_0,text,0,"[160.590,575.968,576.000,587.967]"
f1_14[0],topmostSubform[0].Page1[0].f1_14[0],page1_0_f1_14_0,text,0,"[234.800,533.970,381.600,545.969]"
f1_15[0],topmostSubform[0].Page1[0].f1_15[0],page1_0_f1_15_0,text,0,"[225.800,521.968,374.400,533.967]"
f1_17[0],topmostSubform[0].Page1[0].f1_17[0],page1_0_f1_17_0,text,0,"[410.400,425.970,576.000,437.969]"
f1_18[0],topmostSubform[0].Page1[0].f1_18[0],page1_0_f1_18_0,text,0,"[489.600,395.968,576.000,407.967]"
f1_19[0],topmostSubform[0].Page1[0].f1_19[0],page1_0_f1_19_0,text,0,"[489.600,383.969,564.000,395.968]"
f1_20[0],topmostSubform[0].Page1[0].f1_20[0],page1_0_f1_20_0,text,0,"[489.600,371.970,576.000,383.969]"
f1_21[0],topmostSubform[0].Page1[0].f1_21[0],page1_0_f1_21_0,text,0,"[489.600,359.968,576.000,371.967]"
f1_22[0],topmostSubform[0].Page1[0].f1_22[0],page1_0_f1_22_0,text,0,"[489.600,347.969,576.000,359.968]"
f1_23[0],topmostSubform[0].Page1[0].f1_23[0],page1_0_f1_23_0,text,0,"[489.600,299.970,576.000,311.969]"
f1_24[0],topmostSubform[0].Page1[0].f1_24[0],page1_0_f1_24_0,text,0,"[575.000,287.968,576.000,299.967]"
f1_25[0],topmostSubform[0].Page1[0].f1_25[0],page1_0_f1_25_0,text,0,"[489.600,263.970,576.000,275.969]"
f1_26[0],topmostSubform[0].Page1[0].f1_26[0],page1_0_f1_26_0,text,0,"[489.600,191.970,576.000,203.969]"
f1_27[0],topmostSubform[0].Page1[0].f1_27[0],page1_0_f1_27_0,text,0,"[489.600,179.968,576.000,191.967]"
f1_28[0],topmostSubform[0].Page1[0].f1_28[0],page1_0_f1_28_0,text,0,"[575.000,167.969,576.000,179.968]"
f1_29[0],topmostSubform[0].Page1[0].f1_29[0],page1_0_f1_29_0,text,0,"[489.600,155.970,576.000,167.969]"
f1_16[0],topmostSubform[0].Page1[0].GEOID-Comb_Ln6b[0].f1_16[0],page1_0_geoid_comb_ln6b_0_f1_16_0,text,0,"[64.800,449.968,220.799,461.967]"
f1_08[0],topmostSubform[0].Page1[0].Latitude_CombFields[0].f1_08[0],page1_0_latitude_comb_fields_0_f1_08_0,text,0,"[180.000,557.968,191.999,569.967]"
f1_09[0],topmostSubform[0].Page1[0].Latitude_CombFields[0].f1_09[0],page1_0_latitude_comb_fields_0_f1_09_0,text,0,"[201.600,557.968,227.999,569.967]"
f1_10[0],topmostSubform[0].Page1[0].Latitude_CombFields[0].f1_10[0],page1_0_latitude_comb_fields_0_f1_10_0,text,0,"[237.600,557.968,321.599,569.967]"
c1_2[0],topmostSubform[0].Page1[0].Line13_ReadOrder[0].c1_2[0],page1_0_line13_read_order_0_c1_2_0,checkbox,0,"[391.800,315.469,399.800,323.469]"
c1_2[1],topmostSubform[0].Page1[0].Line13_ReadOrder[0].c1_2[1],page1_0_line13_read_order_0_c1_2_1,checkbox,0,"[433.000,315.469,441.000,323.469]"
c1_3[0],topmostSubform[0].Page1[0].Line17_ReadOrder[0].c1_3[0],page1_0_line17_read_order_0_c1_3_0,checkbox,0,"[65.800,229.970,73.800,237.970]"
c1_3[1],topmostSubform[0].Page1[0].Line17_ReadOrder[0].c1_3[1],page1_0_line17_read_order_0_c1_3_1,checkbox,0,"[65.700,217.968,73.700,225.968]"
f1_11[0],topmostSubform[0].Page1[0].Longitude_CombFields[0].f1_11[0],page1_0_longitude_comb_fields_0_f1_11_0,text,0,"[403.200,557.968,415.199,569.967]"
f1_12[0],topmostSubform[0].Page1[0].Longitude_CombFields[0].f1_12[0],page1_0_longitude_comb_fields_0_f1_12_0,text,0,"[424.800,557.968,465.599,569.967]"
f1_13[0],topmostSubform[0].Page1[0].Longitude_CombFields[0].f1_13[0],page1_0_longitude_comb_fields_0_f1_13_0,text,0,"[475.200,557.968,559.199,569.967]"
