page,old_full_name,new_full_name,new_leaf_name,tooltip_label,type,rect
1,topmostSubform[0].Page1[0].c1_1[0],topmostSubform[0].Page1[0].line4a_transferred_credit_to_dealer_yes,line4a_transferred_credit_to_dealer_yes,Line4a Transferred Credit To Dealer Yes,CheckBox,"(65.799, 512.001, 73.799, 520.001)"
1,topmostSubform[0].Page1[0].c1_1[1],topmostSubform[0].Page1[0].line4a_transferred_credit_to_dealer_no,line4a_transferred_credit_to_dealer_no,Line4a Transferred Credit To Dealer No,CheckBox,"(65.799, 500.002, 73.799, 508.002)"
1,topmostSubform[0].Page1[0].c1_2[0],topmostSubform[0].Page1[0].line4b_check_if_directed_by_line_8a_8d_13a_or_13c,line4b_check_if_directed_by_line_8a_8d_13a_or_13c,Line4b Check If Directed By Line 8a 8d 13a Or 13c,CheckBox,"(562.599, 488, 570.599, 496)"
1,topmostSubform[0].Page1[0].c1_3[0],topmostSubform[0].Page1[0].line5_new_clean_vehicle_yes,line5_new_clean_vehicle_yes,Line5 New Clean Vehicle Yes,CheckBox,"(65.799, 446.002, 73.799, 454.002)"
1,topmostSubform[0].Page1[0].c1_3[1],topmostSubform[0].Page1[0].line5_new_clean_vehicle_no,line5_new_clean_vehicle_no,Line5 New Clean Vehicle No,CheckBox,"(65.799, 434, 73.799, 442)"
1,topmostSubform[0].Page1[0].c1_4[0],topmostSubform[0].Page1[0].line6_previously_owned_clean_vehicle_yes,line6_previously_owned_clean_vehicle_yes,Line6 Previously Owned Clean Vehicle Yes,CheckBox,"(65.799, 392.002, 73.799, 400.002)"
1,topmostSubform[0].Page1[0].c1_4[1],topmostSubform[0].Page1[0].line6_previously_owned_clean_vehicle_no,line6_previously_owned_clean_vehicle_no,Line6 Previously Owned Clean Vehicle No,CheckBox,"(65.799, 380, 73.799, 388)"
1,topmostSubform[0].Page1[0].c1_5[0],topmostSubform[0].Page1[0].line7_qualified_commercial_clean_vehicle_yes,line7_qualified_commercial_clean_vehicle_yes,Line7 Qualified Commercial Clean Vehicle Yes,CheckBox,"(65.799, 338.002, 73.799, 346.002)"
1,topmostSubform[0].Page1[0].c1_5[1],topmostSubform[0].Page1[0].line7_qualified_commercial_clean_vehicle_no,line7_qualified_commercial_clean_vehicle_no,Line7 Qualified Commercial Clean Vehicle No,CheckBox,"(65.799, 326, 73.799, 334)"
1,topmostSubform[0].Page1[0].c1_6[0],topmostSubform[0].Page1[0].line8a_resold_within_30_days_yes,line8a_resold_within_30_days_yes,Line8a Resold Within 30 Days Yes,CheckBox,"(65.799, 278.001, 73.799, 286.001)"
1,topmostSubform[0].Page1[0].c1_6[1],topmostSubform[0].Page1[0].line8a_resold_within_30_days_no,line8a_resold_within_30_days_no,Line8a Resold Within 30 Days No,CheckBox,"(65.799, 254, 73.799, 262)"
1,topmostSubform[0].Page1[0].c1_7[0],topmostSubform[0].Page1[0].line8b_filing_with_individual_return_yes,line8b_filing_with_individual_return_yes,Line8b Filing With Individual Return Yes,CheckBox,"(65.799, 224.001, 73.799, 232.001)"
1,topmostSubform[0].Page1[0].c1_7[1],topmostSubform[0].Page1[0].line8b_filing_with_individual_return_no,line8b_filing_with_individual_return_no,Line8b Filing With Individual Return No,CheckBox,"(65.799, 212.002, 73.799, 220.002)"
1,topmostSubform[0].Page1[0].c1_8[0],topmostSubform[0].Page1[0].line8c_line2_more_than_part_ii_iii_limits_yes,line8c_line2_more_than_part_ii_iii_limits_yes,Line8c Line2 More Than Part Ii Iii Limits Yes,CheckBox,"(65.799, 170.001, 73.799, 178.001)"
1,topmostSubform[0].Page1[0].c1_8[1],topmostSubform[0].Page1[0].line8c_line2_more_than_part_ii_iii_limits_no,line8c_line2_more_than_part_ii_iii_limits_no,Line8c Line2 More Than Part Ii Iii Limits No,CheckBox,"(65.799, 152.001, 73.799, 160.001)"
1,topmostSubform[0].Page1[0].c1_9[0],topmostSubform[0].Page1[0].line8d_line4_more_than_part_ii_iii_limits_yes,line8d_line4_more_than_part_ii_iii_limits_yes,Line8d Line4 More Than Part Ii Iii Limits Yes,CheckBox,"(65.799, 98.001, 73.799, 106.001)"
1,topmostSubform[0].Page1[0].c1_9[1],topmostSubform[0].Page1[0].line8d_line4_more_than_part_ii_iii_limits_no,line8d_line4_more_than_part_ii_iii_limits_no,Line8d Line4 More Than Part Ii Iii Limits No,CheckBox,"(65.799, 74, 73.799, 82)"
1,topmostSubform[0].Page1[0].f1_1[0],topmostSubform[0].Page1[0].names_shown_on_return,names_shown_on_return,Names Shown On Return,Text,"(36, 671.998, 445.65, 685.999)"
1,topmostSubform[0].Page1[0].f1_2[0],topmostSubform[0].Page1[0].identifying_number,identifying_number,Identifying Number,Text,"(446.4, 671.998, 576, 685.999)"
1,topmostSubform[0].Page1[0].f1_3[0],topmostSubform[0].Page1[0].line1a_vehicle_year,line1a_vehicle_year,Line1a Vehicle Year,Text,"(446.4, 618.001, 576, 630)"
1,topmostSubform[0].Page1[0].f1_4[0],topmostSubform[0].Page1[0].line1b_vehicle_make,line1b_vehicle_make,Line1b Vehicle Make,Text,"(446.4, 600.001, 576, 612)"
1,topmostSubform[0].Page1[0].f1_5[0],topmostSubform[0].Page1[0].line1c_vehicle_model,line1c_vehicle_model,Line1c Vehicle Model,Text,"(446.4, 582.001, 576, 594)"
1,topmostSubform[0].Page1[0].f1_7[0],topmostSubform[0].Page1[0].line3_date_placed_in_service,line3_date_placed_in_service,Line3 Date Placed In Service,Text,"(446.4, 540, 576, 551.999)"
1,topmostSubform[0].Page1[0].f1_8[0],topmostSubform[0].Page1[0].line4a_transferred_amount_from_sellers_report,line4a_transferred_amount_from_sellers_report,Line4a Transferred Amount From Sellers Report,Text,"(446.4, 510.001, 576, 522)"
1,topmostSubform[0].Page1[0].Line2_Comb[0].f1_6[0],topmostSubform[0].Page1[0].Line2_Comb[0].line2_vehicle_identification_number,line2_vehicle_identification_number,Line2 Vehicle Identification Number,Text,"(302.4, 560, 574.401, 572)"
2,topmostSubform[0].Page2[0].c2_1[0],topmostSubform[0].Page2[0].line8e_acquired_for_use_or_lease_not_resale_yes,line8e_acquired_for_use_or_lease_not_resale_yes,Line8e Acquired For Use Or Lease Not Resale Yes,CheckBox,"(65.799, 692.001, 73.799, 700.001)"
2,topmostSubform[0].Page2[0].c2_1[1],topmostSubform[0].Page2[0].line8e_acquired_for_use_or_lease_not_resale_no,line8e_acquired_for_use_or_lease_not_resale_no,Line8e Acquired For Use Or Lease Not Resale No,CheckBox,"(65.799, 680.002, 73.799, 688.002)"
2,topmostSubform[0].Page2[0].c2_3[0],topmostSubform[0].Page2[0].line13a_resold_within_30_days_yes,line13a_resold_within_30_days_yes,Line13a Resold Within 30 Days Yes,CheckBox,"(65.799, 524, 73.799, 532)"
2,topmostSubform[0].Page2[0].c2_3[1],topmostSubform[0].Page2[0].line13a_resold_within_30_days_no,line13a_resold_within_30_days_no,Line13a Resold Within 30 Days No,CheckBox,"(65.799, 500.002, 73.799, 508.002)"
2,topmostSubform[0].Page2[0].c2_4[0],topmostSubform[0].Page2[0].line13b_line2_more_than_part_iv_limits_yes,line13b_line2_more_than_part_iv_limits_yes,Line13b Line2 More Than Part Iv Limits Yes,CheckBox,"(65.799, 458.001, 73.799, 466.001)"
2,topmostSubform[0].Page2[0].c2_4[1],topmostSubform[0].Page2[0].line13b_line2_more_than_part_iv_limits_no,line13b_line2_more_than_part_iv_limits_no,Line13b Line2 More Than Part Iv Limits No,CheckBox,"(65.799, 446.002, 73.799, 454.002)"
