page,old_full_name,new_full_name,new_leaf_name,tooltip_label,type,rect
1,topmostSubform[0].Page1[0].f1_01[0],topmostSubform[0].Page1[0].taxpayer_name,taxpayer_name,Taxpayer Name,Text,"(36, 683.968, 452.85, 697.969)"
1,topmostSubform[0].Page1[0].f1_02[0],topmostSubform[0].Page1[0].taxpayer_ssn,taxpayer_ssn,Taxpayer Ssn,Text,"(454.6, 683.968, 576, 697.969)"
1,topmostSubform[0].Page1[0].Table_PartI[0].RowA[0].f1_03[0],topmostSubform[0].Page1[0].Table_PartI[0].RowA[0].part1_row1_trade_or_business_name,part1_row1_trade_or_business_name,Part1 Row1 Trade Or Business Name,Text,"(65.8, 539.965, 301.65, 551.966)"
1,topmostSubform[0].Page1[0].Table_PartI[0].RowA[0].c1_1[0],topmostSubform[0].Page1[0].Table_PartI[0].RowA[0].part1_row1_specified_service_trade_or_business_check,part1_row1_specified_service_trade_or_business_check,Part1 Row1 Specified Service Trade Or Business Check,CheckBox,"(330.3, 542.466, 339.3, 551.466)"
1,topmostSubform[0].Page1[0].Table_PartI[0].RowA[0].c1_2[0],topmostSubform[0].Page1[0].Table_PartI[0].RowA[0].part1_row1_aggregated_check,part1_row1_aggregated_check,Part1 Row1 Aggregated Check,CheckBox,"(395.1, 542.466, 404.1, 551.466)"
1,topmostSubform[0].Page1[0].Table_PartI[0].RowA[0].f1_04[0],topmostSubform[0].Page1[0].Table_PartI[0].RowA[0].part1_row1_employer_identification_number,part1_row1_employer_identification_number,Part1 Row1 Employer Identification Number,Text,"(432.75, 539.965, 510.45, 551.966)"
1,topmostSubform[0].Page1[0].Table_PartI[0].RowA[0].c1_3[0],topmostSubform[0].Page1[0].Table_PartI[0].RowA[0].part1_row1_patron_of_cooperative_check,part1_row1_patron_of_cooperative_check,Part1 Row1 Patron Of Cooperative Check,CheckBox,"(539.1, 542.716, 548.1, 551.716)"
1,topmostSubform[0].Page1[0].Table_PartI[0].RowB[0].f1_05[0],topmostSubform[0].Page1[0].Table_PartI[0].RowB[0].part1_row2_trade_or_business_name,part1_row2_trade_or_business_name,Part1 Row2 Trade Or Business Name,Text,"(65.8, 515.964, 301.65, 527.965)"
1,topmostSubform[0].Page1[0].Table_PartI[0].RowB[0].c1_4[0],topmostSubform[0].Page1[0].Table_PartI[0].RowB[0].part1_row2_specified_service_trade_or_business_check,part1_row2_specified_service_trade_or_business_check,Part1 Row2 Specified Service Trade Or Business Check,CheckBox,"(330.3, 518.465, 339.3, 527.465)"
1,topmostSubform[0].Page1[0].Table_PartI[0].RowB[0].c1_5[0],topmostSubform[0].Page1[0].Table_PartI[0].RowB[0].part1_row2_aggregated_check,part1_row2_aggregated_check,Part1 Row2 Aggregated Check,CheckBox,"(395.1, 518.465, 404.1, 527.465)"
1,topmostSubform[0].Page1[0].Table_PartI[0].RowB[0].f1_06[0],topmostSubform[0].Page1[0].Table_PartI[0].RowB[0].part1_row2_employer_identification_number,part1_row2_employer_identification_number,Part1 Row2 Employer Identification Number,Text,"(432.75, 515.964, 510.45, 527.965)"
1,topmostSubform[0].Page1[0].Table_PartI[0].RowB[0].c1_6[0],topmostSubform[0].Page1[0].Table_PartI[0].RowB[0].part1_row2_patron_of_cooperative_check,part1_row2_patron_of_cooperative_check,Part1 Row2 Patron Of Cooperative Check,CheckBox,"(539.1, 518.715, 548.1, 527.715)"
1,topmostSubform[0].Page1[0].Table_PartI[0].RowC[0].f1_07[0],topmostSubform[0].Page1[0].Table_PartI[0].RowC[0].part1_row3_trade_or_business_name,part1_row3_trade_or_business_name,Part1 Row3 Trade Or Business Name,Text,"(65.8, 491.963, 301.65, 503.964)"
1,topmostSubform[0].Page1[0].Table_PartI[0].RowC[0].c1_7[0],topmostSubform[0].Page1[0].Table_PartI[0].RowC[0].part1_row3_specified_service_trade_or_business_check,part1_row3_specified_service_trade_or_business_check,Part1 Row3 Specified Service Trade Or Business Check,CheckBox,"(330.3, 494.464, 339.3, 503.464)"
1,topmostSubform[0].Page1[0].Table_PartI[0].RowC[0].c1_8[0],topmostSubform[0].Page1[0].Table_PartI[0].RowC[0].part1_row3_aggregated_check,part1_row3_aggregated_check,Part1 Row3 Aggregated Check,CheckBox,"(395.1, 494.464, 404.1, 503.464)"
1,topmostSubform[0].Page1[0].Table_PartI[0].RowC[0].f1_08[0],topmostSubform[0].Page1[0].Table_PartI[0].RowC[0].part1_row3_employer_identification_number,part1_row3_employer_identification_number,Part1 Row3 Employer Identification Number,Text,"(432.75, 491.963, 510.45, 503.964)"
1,topmostSubform[0].Page1[0].Table_PartI[0].RowC[0].c1_9[0],topmostSubform[0].Page1[0].Table_PartI[0].RowC[0].part1_row3_patron_of_cooperative_check,part1_row3_patron_of_cooperative_check,Part1 Row3 Patron Of Cooperative Check,CheckBox,"(539.1, 494.714, 548.1, 503.714)"
1,topmostSubform[0].Page1[0].Table_PartII[0].Row2[0].f1_09[0],topmostSubform[0].Page1[0].Table_PartII[0].Row2[0].part2_line2_qualified_business_income_or_loss_trade_a,part2_line2_qualified_business_income_or_loss_trade_a,Part2 Line2 Qualified Business Income Or Loss Trade A,Text,"(360, 431.965, 431.25, 443.966)"
1,topmostSubform[0].Page1[0].Table_PartII[0].Row2[0].f1_10[0],topmostSubform[0].Page1[0].Table_PartII[0].Row2[0].part2_line2_qualified_business_income_or_loss_trade_b,part2_line2_qualified_business_income_or_loss_trade_b,Part2 Line2 Qualified Business Income Or Loss Trade B,Text,"(432, 431.965, 503.25, 443.966)"
1,topmostSubform[0].Page1[0].Table_PartII[0].Row2[0].f1_11[0],topmostSubform[0].Page1[0].Table_PartII[0].Row2[0].part2_line2_qualified_business_income_or_loss_trade_c,part2_line2_qualified_business_income_or_loss_trade_c,Part2 Line2 Qualified Business Income Or Loss Trade C,Text,"(504, 431.965, 576, 443.966)"
1,topmostSubform[0].Page1[0].Table_PartII[0].Row3[0].f1_12[0],topmostSubform[0].Page1[0].Table_PartII[0].Row3[0].part2_line3_multiply_line2_by_20_percent_trade_a,part2_line3_multiply_line2_by_20_percent_trade_a,Part2 Line3 Multiply Line2 By 20 Percent Trade A,Text,"(360, 395.965, 431.25, 407.965)"
1,topmostSubform[0].Page1[0].Table_PartII[0].Row3[0].f1_13[0],topmostSubform[0].Page1[0].Table_PartII[0].Row3[0].part2_line3_multiply_line2_by_20_percent_trade_b,part2_line3_multiply_line2_by_20_percent_trade_b,Part2 Line3 Multiply Line2 By 20 Percent Trade B,Text,"(432, 395.965, 503.25, 407.965)"
