old_field_name,old_full_name,semantic_field_name,field_type,pages_0_indexed,rect_first_occurrence
c1_1[0],topmostSubform[0].CopyA[0].Void_ReadOrder[0].c1_1[0],copya_void,checkbox,1,"[132.481,740.007,142.481,750.007]"
f1_01[0],topmostSubform[0].CopyA[0].BoxA_ReadOrder[0].f1_01[0],copya_employee_ssn_box_a,text,1,"[153.200,732.010,278.800,744.009]"
f1_02[0],topmostSubform[0].CopyA[0].Col_Left[0].f1_02[0],copya_employer_ein_box_b,text,1,"[38.000,708.009,330.200,720.008]"
f1_09[0],topmostSubform[0].CopyA[0].Col_Right[0].Box1_ReadOrder[0].f1_09[0],copya_wages_tips_other_compensation_box1,text,1,"[333.200,708.009,451.600,720.008]"
f1_10[0],topmostSubform[0].CopyA[0].Col_Right[0].f1_10[0],copya_american_samoa_income_tax_withheld_box2,text,1,"[455.600,708.009,574.000,720.008]"
f1_11[0],topmostSubform[0].CopyA[0].Col_Right[0].Box3_ReadOrder[0].f1_11[0],copya_social_security_wages_box3,text,1,"[332.200,684.008,452.600,696.007]"
f1_12[0],topmostSubform[0].CopyA[0].Col_Right[0].f1_12[0],copya_social_security_tax_withheld_box4,text,1,"[454.600,684.008,574.000,696.007]"
f1_13[0],topmostSubform[0].CopyA[0].Col_Right[0].Box5_ReadOrder[0].f1_13[0],copya_medicare_wages_and_tips_box5,text,1,"[332.200,660.010,452.600,672.009]"
f1_14[0],topmostSubform[0].CopyA[0].Col_Right[0].f1_14[0],copya_medicare_tax_withheld_box6,text,1,"[454.600,660.010,574.000,672.009]"
f1_15[0],topmostSubform[0].CopyA[0].Col_Right[0].Box7_ReadOrder[0].f1_15[0],copya_social_security_tips_box7,text,1,"[332.200,636.009,452.600,648.008]"
f1_16[0],topmostSubform[0].CopyA[0].Col_Right[0].f1_16[0],copya_allocated_tips_box8,text,1,"[454.600,636.009,574.000,648.008]"
f1_03[0],topmostSubform[0].CopyA[0].Col_Left[0].f1_03[0],copya_employer_name_address_zip_box_c,text,1,"[38.000,636.006,330.200,696.007]"
f1_17[0],topmostSubform[0].CopyA[0].Col_Right[0].f1_17[0],copya_box9_blank,text,1,"[346.600,624.010,452.600,636.009]"
f1_04[0],topmostSubform[0].CopyA[0].Col_Left[0].f1_04[0],copya_control_number_box_d,text,1,"[38.000,612.008,330.200,624.007]"
f1_18[0],topmostSubform[0].CopyA[0].Col_Right[0].Box10_ReadOrder[0].f1_18[0],copya_dependent_care_benefits_box10,text,1,"[454.600,612.008,574.000,624.007]"
f1_19[0],topmostSubform[0].CopyA[0].Col_Right[0].f1_19[0],copya_nonqualified_plans_box11,text,1,"[332.200,600.009,452.600,612.008]"
f1_05[0],topmostSubform[0].CopyA[0].Col_Left[0].FirstName_ReadOrder[0].f1_05[0],copya_employee_first_name_initial_box_e,text,1,"[38.000,588.010,171.800,600.009]"
f1_06[0],topmostSubform[0].CopyA[0].Col_Left[0].LastName_ReadOrder[0].f1_06[0],copya_employee_last_name_box_e,text,1,"[173.800,588.010,308.600,600.009]"
f1_07[0],topmostSubform[0].CopyA[0].Col_Left[0].f1_07[0],copya_employee_name_suffix_box_e,text,1,"[310.600,588.010,330.200,600.009]"
f1_20[0],topmostSubform[0].CopyA[0].Col_Right[0].Box12_ReadOrder[0].f1_20[0],copya_box12a_code,text,1,"[462.800,588.010,488.600,600.009]"
f1_21[0],topmostSubform[0].CopyA[0].Col_Right[0].Box12_ReadOrder[0].f1_21[0],copya_box12a_amount,text,1,"[490.600,588.010,574.000,600.009]"
c1_2[0],topmostSubform[0].CopyA[0].Col_Right[0].Statutory_ReadOrder[0].c1_2[0],copya_statutory_employee_box13,checkbox,1,"[348.600,577.709,358.600,587.709]"
c1_3[0],topmostSubform[0].CopyA[0].Col_Right[0].Retirement_ReadOrder[0].c1_3[0],copya_retirement_plan_box13,checkbox,1,"[384.600,577.709,394.600,587.709]"
c1_4[0],topmostSubform[0].CopyA[0].Col_Right[0].c1_4[0],copya_third_party_sick_pay_box13,checkbox,1,"[420.600,577.709,430.600,587.709]"
f1_22[0],topmostSubform[0].CopyA[0].Col_Right[0].Box12_ReadOrder[0].f1_22[0],copya_box12b_code,text,1,"[462.800,564.009,488.600,576.008]"
f1_23[0],topmostSubform[0].CopyA[0].Col_Right[0].Box12_ReadOrder[0].f1_23[0],copya_box12b_amount,text,1,"[490.600,564.009,574.000,576.008]"
f1_24[0],topmostSubform[0].CopyA[0].Col_Right[0].Box12_ReadOrder[0].f1_24[0],copya_box12c_code,text,1,"[462.800,540.008,488.600,552.007]"
f1_25[0],topmostSubform[0].CopyA[0].Col_Right[0].Box12_ReadOrder[0].f1_25[0],copya_box12c_amount,text,1,"[490.600,540.008,574.000,552.007]"
f1_28[0],topmostSubform[0].CopyA[0].Col_Right[0].f1_28[0],copya_other_box14,text,1,"[332.200,540.008,452.600,564.009]"
f1_08[0],topmostSubform[0].CopyA[0].Col_Left[0].f1_08[0],copya_employee_address_zip_box_f,text,1,"[38.000,528.006,330.200,586.007]"
f1_26[0],topmostSubform[0].CopyA[0].Col_Right[0].Box12_ReadOrder[0].f1_26[0],copya_box12d_code,text,1,"[462.800,516.010,488.600,528.009]"
f1_27[0],topmostSubform[0].CopyA[0].Col_Right[0].Box12_ReadOrder[0].f1_27[0],copya_box12d_amount,text,1,"[490.600,516.010,574.000,528.009]"
f1_29[0],topmostSubform[0].CopyA[0].Col_Right[0].f1_29[0],copya_other_box14_line2_description,text,1,"[332.200,516.010,391.400,528.009]"
