old_field_name,old_full_name,semantic_field_name,field_type,pages_0_indexed,rect_first_occurrence
c1_3[0],topmostSubform[0].Page1[0].LeftCol[0].c1_3[0],part1_d_publicly_traded_partnership,checkbox,0,"[57.600, 542.250, 65.600, 550.250]"
c1_4[0],topmostSubform[0].Page1[0].LeftCol[0].c1_4[0],part2_g_general_partner_or_llc_member_manager,checkbox,0,"[57.600, 446.002, 65.600, 454.002]"
c1_4[1],topmostSubform[0].Page1[0].LeftCol[0].c1_4[1],part2_g_limited_partner_or_other_llc_member,checkbox,0,"[180.000, 446.002, 188.000, 454.002]"
c1_5[0],topmostSubform[0].Page1[0].LeftCol[0].c1_5[0],part2_h1_domestic_partner,checkbox,0,"[57.600, 422.001, 65.600, 430.001]"
c1_5[1],topmostSubform[0].Page1[0].LeftCol[0].c1_5[1],part2_h1_foreign_partner,checkbox,0,"[180.000, 422.001, 188.000, 430.001]"
c1_6[0],topmostSubform[0].Page1[0].LeftCol[0].c1_6[0],part2_h2_disregarded_entity,checkbox,0,"[57.600, 410.002, 65.600, 418.002]"
c1_7[0],topmostSubform[0].Page1[0].LeftCol[0].c1_7[0],part2_i2_retirement_plan,checkbox,0,"[294.400, 373.002, 302.400, 381.002]"
c1_8[0],topmostSubform[0].Page1[0].LeftCol[0].c1_8[0],part2_j_decrease_due_to_sale,checkbox,0,"[57.600, 290.000, 65.600, 298.000]"
c1_8[1],topmostSubform[0].Page1[0].LeftCol[0].c1_8[1],part2_j_decrease_due_to_exchange,checkbox,0,"[100.800, 290.000, 108.800, 298.000]"
c1_11[0],topmostSubform[0].Page1[0].LeftCol[0].c1_11[0],part2_m_built_in_gain_property_contributed_yes,checkbox,0,"[57.600, 74.000, 65.600, 82.000]"
c1_11[1],topmostSubform[0].Page1[0].LeftCol[0].c1_11[1],part2_m_built_in_gain_property_contributed_no,checkbox,0,"[100.800, 74.000, 108.800, 82.000]"
f1_6[0],topmostSubform[0].Page1[0].LeftCol[0].f1_6[0],part1_a_partnership_ein,text,0,"[36.000, 612.000, 309.600, 623.999]"
f1_7[0],topmostSubform[0].Page1[0].LeftCol[0].f1_7[0],part1_b_partnership_name_address_city_state_zip,text,0,"[38.000, 564.001, 309.600, 600.001]"
f1_8[0],topmostSubform[0].Page1[0].LeftCol[0].f1_8[0],part1_c_irs_center_where_partnership_filed_return,text,0,"[189.200, 552.002, 309.600, 564.001]"
f1_9[0],topmostSubform[0].Page1[0].LeftCol[0].f1_9[0],part2_e_partner_ssn_or_tin,text,0,"[36.000, 504.000, 309.600, 515.999]"
f1_10[0],topmostSubform[0].Page1[0].LeftCol[0].f1_10[0],part2_f_partner_name_address_city_state_zip,text,0,"[38.000, 456.001, 309.600, 492.001]"
f1_11[0],topmostSubform[0].Page1[0].LeftCol[0].f1_11[0],part2_h2_disregarded_entity_tin,text,0,"[72.000, 396.000, 136.800, 407.999]"
f1_12[0],topmostSubform[0].Page1[0].LeftCol[0].f1_12[0],part2_h2_disregarded_entity_name,text,0,"[165.600, 396.000, 302.400, 407.999]"
f1_13[0],topmostSubform[0].Page1[0].LeftCol[0].f1_13[0],part2_i1_partner_entity_type,text,0,"[173.254, 384.001, 302.400, 396.000]"
f1_18[0],topmostSubform[0].Page1[0].LeftCol[0].LineJTable[0].Capital[0].f1_18[0],part2_j_capital_percent_beginning,text,0,"[79.200, 312.004, 180.000, 324.003]"
f1_19[0],topmostSubform[0].Page1[0].LeftCol[0].LineJTable[0].Capital[0].f1_19[0],part2_j_capital_percent_ending,text,0,"[194.400, 312.004, 288.000, 324.003]"
f1_16[0],topmostSubform[0].Page1[0].LeftCol[0].LineJTable[0].Loss[0].f1_16[0],part2_j_loss_percent_beginning,text,0,"[79.200, 324.003, 180.000, 336.002]"
f1_17[0],topmostSubform[0].Page1[0].LeftCol[0].LineJTable[0].Loss[0].f1_17[0],part2_j_loss_percent_ending,text,0,"[194.400, 324.003, 288.000, 336.002]"
f1_14[0],topmostSubform[0].Page1[0].LeftCol[0].LineJTable[0].Profit[0].f1_14[0],part2_j_profit_percent_beginning,text,0,"[79.200, 336.002, 180.000, 348.001]"
f1_15[0],topmostSubform[0].Page1[0].LeftCol[0].LineJTable[0].Profit[0].f1_15[0],part2_j_profit_percent_ending,text,0,"[194.400, 336.002, 288.000, 348.001]"
c1_9[0],topmostSubform[0].Page1[0].LeftCol[0].LineK1Table[0].c1_9[0],part2_k2_liability_includes_lower_tier_partnership_amounts,checkbox,0,"[294.400, 205.501, 302.400, 213.501]"
c1_10[0],topmostSubform[0].Page1[0].LeftCol[0].LineK1Table[0].c1_10[0],part2_k3_liability_subject_to_guarantees_or_other_payment_obligations,checkbox,0,"[294.400, 183.751, 302.400, 191.751]"
f1_20[0],topmostSubform[0].Page1[0].LeftCol[0].LineK1Table[0].LineK1Table[0].Nonrecourse[0].f1_20[0],part2_k1_nonrecourse_beginning,text,0,"[144.000, 252.003, 215.250, 264.002]"
