old_field_name,old_full_name,semantic_field_name,field_type,pages_0_indexed,rect_first_occurrence
c1_01[0],topmostSubform[0].Page1[0].c1_01[0],header_final_k1,checkbox,0,"[324.000, 746.001, 332.000, 754.001]"
c1_02[0],topmostSubform[0].Page1[0].c1_02[0],header_amended_k1,checkbox,0,"[403.200, 746.001, 411.200, 754.001]"
f1_01[0],topmostSubform[0].Page1[0].Header[0].ForCalendarYear[0].f1_01[0],header_tax_year_beginning_month_day,text,0,"[100.800, 684.000, 122.400, 695.999]"
f1_02[0],topmostSubform[0].Page1[0].Header[0].ForCalendarYear[0].f1_02[0],header_tax_year_beginning_year,text,0,"[125.268, 684.000, 144.000, 695.999]"
f1_03[0],topmostSubform[0].Page1[0].Header[0].ForCalendarYear[0].f1_03[0],header_tax_year_ending_month,text,0,"[223.200, 684.000, 244.800, 695.999]"
f1_04[0],topmostSubform[0].Page1[0].Header[0].ForCalendarYear[0].f1_04[0],header_tax_year_ending_day,text,0,"[247.668, 684.000, 266.400, 695.999]"
f1_05[0],topmostSubform[0].Page1[0].Header[0].ForCalendarYear[0].f1_05[0],header_tax_year_ending_year,text,0,"[269.268, 684.000, 302.400, 695.999]"
f1_06[0],topmostSubform[0].Page1[0].LeftCol[0].f1_06[0],part1_a_corporation_ein,text,0,"[37.000, 600.001, 308.600, 612.000]"
f1_07[0],topmostSubform[0].Page1[0].LeftCol[0].f1_07[0],part1_b_corporation_name_address_city_state_zip,text,0,"[37.000, 527.998, 308.600, 587.999]"
f1_08[0],topmostSubform[0].Page1[0].LeftCol[0].f1_08[0],part1_c_irs_center_where_corporation_filed_return,text,0,"[37.000, 504.000, 308.600, 515.999]"
f1_09[0],topmostSubform[0].Page1[0].LeftCol[0].f1_09[0],part1_d_corporation_total_number_of_shares_beginning,text,0,"[208.800, 480.002, 302.400, 492.001]"
f1_10[0],topmostSubform[0].Page1[0].LeftCol[0].f1_10[0],part1_d_corporation_total_number_of_shares_ending,text,0,"[208.800, 468.000, 302.400, 479.999]"
f1_11[0],topmostSubform[0].Page1[0].LeftCol[0].f1_11[0],part2_e_shareholder_identifying_number,text,0,"[37.000, 408.002, 308.600, 420.001]"
