page,old_full_name,new_full_name,new_leaf_name,tooltip_label,type,rect
1,topmostSubform[0].Page1[0].f1_01[0],topmostSubform[0].Page1[0].taxpayer_name,taxpayer_name,Taxpayer Name,Text,"(36, 684, 467.25, 698.001)"
1,topmostSubform[0].Page1[0].f1_02[0],topmostSubform[0].Page1[0].taxpayer_ssn,taxpayer_ssn,Taxpayer Ssn,Text,"(468, 684, 576, 698.001)"
1,topmostSubform[0].Page1[0].Line1_ReadOrder[0].f1_03[0],topmostSubform[0].Page1[0].Line1_ReadOrder[0].line1_interest_payer_01,line1_interest_payer_01,Line1 Interest Payer 01,Text,"(129.6, 636.001, 460.8, 648)"
1,topmostSubform[0].Page1[0].f1_04[0],topmostSubform[0].Page1[0].line1_interest_amount_01,line1_interest_amount_01,Line1 Interest Amount 01,Text,"(489.6, 636.001, 576, 648)"
1,topmostSubform[0].Page1[0].f1_05[0],topmostSubform[0].Page1[0].line1_interest_payer_02,line1_interest_payer_02,Line1 Interest Payer 02,Text,"(129.6, 624.002, 460.8, 636.001)"
1,topmostSubform[0].Page1[0].f1_06[0],topmostSubform[0].Page1[0].line1_interest_amount_02,line1_interest_amount_02,Line1 Interest Amount 02,Text,"(489.6, 624.002, 576, 636.001)"
1,topmostSubform[0].Page1[0].f1_07[0],topmostSubform[0].Page1[0].line1_interest_payer_03,line1_interest_payer_03,Line1 Interest Payer 03,Text,"(129.6, 612, 460.8, 623.999)"
1,topmostSubform[0].Page1[0].f1_08[0],topmostSubform[0].Page1[0].line1_interest_amount_03,line1_interest_amount_03,Line1 Interest Amount 03,Text,"(489.6, 612, 576, 623.999)"
1,topmostSubform[0].Page1[0].f1_09[0],topmostSubform[0].Page1[0].line1_interest_payer_04,line1_interest_payer_04,Line1 Interest Payer 04,Text,"(129.6, 600.001, 460.8, 612)"
1,topmostSubform[0].Page1[0].f1_10[0],topmostSubform[0].Page1[0].line1_interest_amount_04,line1_interest_amount_04,Line1 Interest Amount 04,Text,"(489.6, 600.001, 576, 612)"
1,topmostSubform[0].Page1[0].f1_11[0],topmostSubform[0].Page1[0].line1_interest_payer_05,line1_interest_payer_05,Line1 Interest Payer 05,Text,"(129.6, 588.002, 460.8, 600.001)"
1,topmostSubform[0].Page1[0].f1_12[0],topmostSubform[0].Page1[0].line1_interest_amount_05,line1_interest_amount_05,Line1 Interest Amount 05,Text,"(489.6, 588.002, 576, 600.001)"
1,topmostSubform[0].Page1[0].f1_13[0],topmostSubform[0].Page1[0].line1_interest_payer_06,line1_interest_payer_06,Line1 Interest Payer 06,Text,"(129.6, 576, 460.8, 587.999)"
1,topmostSubform[0].Page1[0].f1_14[0],topmostSubform[0].Page1[0].line1_interest_amount_06,line1_interest_amount_06,Line1 Interest Amount 06,Text,"(489.6, 576, 576, 587.999)"
1,topmostSubform[0].Page1[0].f1_15[0],topmostSubform[0].Page1[0].line1_interest_payer_07,line1_interest_payer_07,Line1 Interest Payer 07,Text,"(129.6, 564.001, 460.8, 576)"
1,topmostSubform[0].Page1[0].f1_16[0],topmostSubform[0].Page1[0].line1_interest_amount_07,line1_interest_amount_07,Line1 Interest Amount 07,Text,"(489.6, 564.001, 576, 576)"
1,topmostSubform[0].Page1[0].f1_17[0],topmostSubform[0].Page1[0].line1_interest_payer_08,line1_interest_payer_08,Line1 Interest Payer 08,Text,"(129.6, 552.002, 460.8, 564.001)"
1,topmostSubform[0].Page1[0].f1_18[0],topmostSubform[0].Page1[0].line1_interest_amount_08,line1_interest_amount_08,Line1 Interest Amount 08,Text,"(489.6, 552.002, 576, 564.001)"
1,topmostSubform[0].Page1[0].f1_19[0],topmostSubform[0].Page1[0].line1_interest_payer_09,line1_interest_payer_09,Line1 Interest Payer 09,Text,"(129.6, 540, 460.8, 551.999)"
